"B" "CD4" "CD8" "MO" "NE" "NK"
"cg25131632" 0.0684907224016515 0.908940809105343 0.9093900959857 0.947080039806776 0.945155852714188 0.930191573353867
"cg02212339" 0.0896983800954273 0.935835806042268 0.941801041203842 0.950370653341549 0.942628590186186 0.945855587976196
"cg26692003" 0.103850032373658 0.954691030851808 0.961088533153137 0.95197726202188 0.947818580979938 0.953607860979257
"cg11773391" 0.0572626471480966 0.899231906256681 0.91464039757704 0.911474577989259 0.906231322400518 0.902367550002788
"cg08017518" 0.0655881657685764 0.918327327190391 0.921347448196542 0.91987664775558 0.908210848281946 0.893234986423736
"cg19276014" 0.0895215538267931 0.930609154647839 0.943647107959144 0.929079572788946 0.939475554162395 0.935325683787646
"cg04828493" 0.0685955383216627 0.941122726590482 0.948027718282148 0.842483943978516 0.95379845113336 0.863766807525234
"cg15241519" 0.0666272863861909 0.922450956001236 0.900239360366254 0.860034051117057 0.936370834789508 0.921661622926829
"cg23370196" 0.0655939631310227 0.895259418778407 0.903913026520092 0.914644280420231 0.914523408545132 0.90939470208773
"cg15819435" 0.0655579290371082 0.900215131658054 0.917638346371945 0.870712094717748 0.922654325265494 0.920381085820061
"cg00464927" 0.114548526540585 0.955407446473597 0.964498459053176 0.942730047251163 0.953500540609291 0.950900886154745
"cg14337149" 0.0696664415288456 0.882859269946774 0.909600242567949 0.913489601641419 0.914556784487582 0.917035069966395
"cg04985318" 0.0854509695702637 0.915659322531604 0.923806161152502 0.923314995835839 0.915838362999539 0.91907318831915
"cg09422942" 0.0546855564230686 0.900943635426701 0.900894167786397 0.878676629531997 0.874396454139604 0.883097367515643
"cg05005728" 0.0764475396581138 0.889054659347843 0.916873281578591 0.922022087785985 0.912307078811171 0.905721677232228
"cg27106643" 0.0924915082330961 0.918891132640835 0.929084626121317 0.927758596840148 0.921740730321706 0.922430420792276
"cg15139660" 0.0704767717501758 0.901828992349003 0.912347694132883 0.902736674175822 0.895346151512816 0.895103288141078
"cg05062263" 0.0674290301826514 0.892972871458699 0.904280872724801 0.897245289248967 0.895436807075091 0.902584800157047
"cg15348679" 0.04639099787909 0.829019934353811 0.948947733375755 0.848316812184222 0.849260702352498 0.91838838963365
"cg04100392" 0.0624779761212102 0.888435536898211 0.89172209315005 0.903798330779467 0.89027313424425 0.892034942528393
"cg15021006" 0.0772545297933703 0.907568762978857 0.905486399347333 0.907980901290234 0.898054116816774 0.911265064446869
"cg13738327" 0.116687811787035 0.932706984551632 0.931007944683017 0.960847571005495 0.960734656369652 0.93738503309818
"cg10196258" 0.0906722280272045 0.910920108656642 0.919958114699012 0.92564263093467 0.919710305903226 0.910774042879315
"cg02371766" 0.0589144597734568 0.902226812795605 0.912339284623441 0.811408493879427 0.900397492977268 0.891197551817666
"cg06993524" 0.072671842421164 0.90362006924097 0.906867323950371 0.901400400272456 0.885989358594451 0.888925953070894
"cg24547614" 0.0771819062737532 0.894852378168192 0.912566620065436 0.903412966169338 0.903191364996416 0.89088339779167
"cg25792138" 0.0834705645251653 0.902775452441022 0.914266734478959 0.908247287217395 0.902024941503973 0.903197424303586
"cg11699517" 0.142783485850435 0.97372115010153 0.97647490863441 0.954408003037944 0.941981234180276 0.973709031021247
"cg11118428" 0.0618657722755881 0.905969064340269 0.909048643081572 0.898985886603378 0.897467911156375 0.797376908824984
"cg18591982" 0.0593258649210205 0.866625991869936 0.842603731820976 0.915425756372904 0.895479332434185 0.881370719266365
"cg10196751" 0.0781675405679155 0.903097892269784 0.91202915988718 0.92037468279342 0.905164036505059 0.848776840143168
"cg21248060" 0.111726788608339 0.933721816121297 0.939807130161034 0.937345922590716 0.927686288106215 0.916093756608692
"cg20340870" 0.0583020742984522 0.895971812788753 0.896818201790775 0.871173376230779 0.83995113605831 0.880299817179677
