"CD4" "NK" "MO" "CD8" "GR" "B"
"cg00366435" 0.0763485028817075 0.873543506369702 0.90334851462104 0.299979373860293 0.90798017008758 0.917530265316087
"cg07679948" 0.152290706930901 0.940382446716428 0.950486522138753 0.365369428809065 0.952198703763223 0.959267533143931
"cg11848483" 0.0835349110471874 0.891702921702564 0.902201961673162 0.187895617222603 0.908177019539017 0.894635426015248
"cg01154505" 0.148510447365541 0.9376864027566 0.93696163350486 0.466390170110452 0.946021027027211 0.774808390227369
"cg01874152" 0.0950884459237225 0.783256295441959 0.8622460315155 0.416770885528963 0.861145017082481 0.829990439538947
"cg10837404" 0.201642057752759 0.892381964338049 0.906412439945381 0.646917825338139 0.907310695784606 0.915623790939318
"cg16452866" 0.147660848246144 0.921734295765361 0.945754612810921 0.222126123255724 0.944048648438495 0.953587732388234
"cg26166854" 0.101683140982348 0.634313182820697 0.858719869141163 0.48344739019311 0.87579087693988 0.877688929736433
"cg05705140" 0.106174559749135 0.834188817971169 0.893645489077709 0.337192072415539 0.889749820009727 0.793828402853295
"cg14477767" 0.189535781859612 0.805211334254846 0.878766698023364 0.714697504491135 0.877742840032708 0.872767286536054
"cg19001909" 0.162178155029275 0.8982186355717 0.94278216491874 0.259437748599106 0.950221301599374 0.957900552778769
"cg11710595" 0.184090039018875 0.835546409884774 0.874437621903441 0.620922739358106 0.886411761585839 0.894543256875517
"cg07970799" 0.187637524729504 0.781416665100176 0.923722245815074 0.546481167809855 0.928132029593627 0.925990707711296
"cg26852712" 0.184446894681191 0.851867795757864 0.914656854556738 0.518546949320932 0.913732507845197 0.871655386816986
"cg24841244" 0.0751065406967042 0.756213824640231 0.885782904938556 0.0958695668816689 0.879860792555281 0.901209586509457
"cg03388043" 0.087712437834471 0.688901475237282 0.917851658411645 0.0973210410474567 0.92605038057802 0.94152004104186
"cg18735089" 0.108424295634977 0.817629386313621 0.898761353223387 0.156180846641532 0.905151358773504 0.900695235717015
