"probe_id" "refU" "refM"
"cg00907920" 4.98784036020181 8.10646580476486
"cg03822658" 6.58095492121999 9.10637003911461
"cg04373587" 9.10976696139604 8.78059591928155
"cg06288270" 7.90876644013878 8.69178868032675
"cg10071036" 8.47520876620958 9.17870782861492
"cg12449211" 5.41033155723184 9.10317504678732
"cg13151500" 6.77199639293333 8.08853303186966
"cg13326999" 8.57002787710034 8.37401001643065
"cg14239049" 8.45032289084274 8.74605278670054
"cg15388264" 8.89822672745291 7.683039757812
"cg17054449" 8.86470949928334 9.11628167460599
"cg18407858" 5.51710687217173 9.13544929893146
"cg21662836" 8.70298099130214 8.92001767850731
"cg23170483" 6.6594910124165 7.94067194127368
"cg23508627" 8.92225725299685 7.32202857679742
"cg24606370" 7.05055988645829 7.78084058884827
"cg26598749" 6.16081095933768 7.4875946870043
"cg26968620" 7.93601620259583 7.78166036378826
"cg00318766" 9.53539756719805 5.13389923753043
"cg00662489" 9.36416934908236 6.07363757836111
"cg00753692" 9.08175095657471 9.14118545723131
"cg00858196" 6.2230524436089 7.24870334298325
"cg01925393" 8.84612002110958 6.79229257268591
"cg02052894" 7.63133736814198 8.60060473834653
"cg02066716" 4.97038756304184 8.91443817544393
"cg03047965" 8.8295180833578 6.86881352023123
"cg03146951" 7.72002947954895 8.20788257917127
"cg03962214" 5.30489836108624 9.01937516151598
"cg04091628" 6.51506787431452 7.8356684094158
"cg04339290" 9.32874363410036 4.90490516653775
"cg04725313" 6.10802089195012 7.37408779780696
"cg04917688" 7.53243143884053 8.19164264448913
"cg04981885" 9.53450517699038 5.77325127641278
"cg05135541" 9.17787750116216 7.92966663014582
"cg06619807" 6.87475732831807 8.01167416207101
"cg06649681" 7.49887860155195 8.459579053877
"cg06662140" 5.60878662545639 9.46965192430826
"cg06871311" 9.33640069024115 8.05226842736337
"cg06951217" 9.5039619700318 6.32588980185512
"cg07399417" 8.44217714053361 5.36173177888434
"cg07797421" 8.1892713889913 8.56110780083389
"cg07969588" 6.49431565502552 7.33959540359236
"cg08118287" 5.37769150858665 7.57457522992742
"cg08138025" 9.34130972093527 7.39162785681252
"cg09362543" 5.63339630842968 9.1922044664342
"cg09662920" 9.15724658187782 7.81403125924315
"cg09789536" 8.93973927657794 8.28717831802112
"cg10115022" 9.20756122816923 9.03174557797145
"cg10126715" 9.00440938842332 8.20471970291714
"cg10555853" 8.82201458590603 8.87793773532933
"cg10589602" 8.86909786960024 8.61121445334929
"cg10625090" 6.18341114171341 8.8592385022834
"cg11072045" 7.10119432703841 8.61488572367062
"cg11154559" 9.44041786735531 8.73980167450461
"cg11732134" 5.72141975042341 8.84608534324179
"cg11812143" 7.42017254233554 7.70274783521767
"cg11814935" 8.85285299598297 5.69927663991987
"cg11955508" 8.24476086721856 8.45669343186971
"cg12389786" 8.11254099667345 8.09633887127718
"cg12435824" 5.48029721678734 9.26375702163847
"cg12486756" 5.62104647275134 9.15204715185085
"cg12748612" 6.82312362809802 6.97961386051644
"cg13081150" 8.11273110407144 8.53599479394573
"cg13103143" 8.77888172541559 8.56567332167779
"cg13173369" 7.36760543382608 7.9957901473237
"cg13461762" 7.94001584940295 9.05631772050838
"cg13910983" 8.90238429181792 4.99299430619799
"cg14475772" 9.25906612068063 8.00922722818249
"cg14848555" 9.2503562988989 7.17358602618403
"cg15988897" 6.8658199762485 7.60948358675293
"cg15994267" 9.02069268068398 8.53306743924458
"cg16120709" 6.13021096250342 9.06078761138364
"cg16652841" 5.59678494221925 9.44613196583697
"cg17034360" 8.57364240544743 8.87032380378822
"cg17403881" 5.71818114257942 9.24372633886246
"cg17405122" 9.23756406377465 9.17022292728149
"cg18948941" 6.9797640990217 7.55791205950176
"cg19358594" 9.08113245581459 8.0379511353247
"cg19631585" 8.94012845084302 8.78882323293038
"cg19694923" 8.95116423099953 8.79667721025912
"cg19694957" 6.90791265610185 9.36972416770329
"cg19816994" 5.73840965331934 8.7979738598303
"cg20511534" 8.24296049769865 8.47914120760603
"cg20677143" 9.0674259152547 8.60775211397767
"cg21584823" 8.77914142675082 9.26035963796461
"cg21812670" 8.26678853093391 7.85195719537963
"cg21959316" 9.20053129609948 7.806762943628
"cg22114309" 9.35182415056205 9.06523658898001
"cg22284302" 8.19760702991002 7.4838100633278
"cg22502179" 7.9839295387404 8.17602170198773
"cg22519947" 5.98080625974494 9.30996698321263
