"GR" "NK" "B" "CD4" "CD8" "MO"
"cg16802439" 0.0416594701996155 0.961306063117143 0.979128903360829 0.978956649557966 0.97650114604445 0.763672777377014
"cg05398700" 0.0754789976174587 0.96129439656777 0.950286881792144 0.962104673224166 0.958422269367472 0.907128344458487
"cg25739938" 0.0546236713162886 0.8814781695387 0.916879117423147 0.914714678921636 0.915291421030059 0.88730049913818
"cg06270401" 0.0489022167671969 0.852510423315148 0.91861091659394 0.893724124883928 0.891124931683075 0.869045679470523
"cg22381196" 0.0447244906741848 0.91496270755019 0.939768451931827 0.937936071601533 0.932749544135931 0.719887028034952
"cg19037107" 0.0615403764634782 0.884907739814584 0.91762066740647 0.911286629172194 0.906327187707684 0.864642046409155
"cg05936004" 0.0508081258235184 0.857778833720716 0.911018457802805 0.911199874971478 0.907631353383898 0.809027584854516
"cg08253808" 0.0521958737000969 0.898715528118483 0.905032489095342 0.918664518987562 0.922432444617186 0.767008360308407
"cg25600606" 0.0849422635869277 0.902520844657739 0.921115481130101 0.923319542451249 0.923104053392392 0.871827103925972
"cg05627557" 0.0309493378338985 0.859115182433851 0.897602142292109 0.896559155000651 0.890760738340978 0.728027919492128
"cg25074794" 0.102045259785796 0.916635164272593 0.935544739300641 0.937361607717974 0.936971125516029 0.845199162501522
"cg13652008" 0.0791137663352302 0.879979484429875 0.917012314381809 0.913490156960027 0.91426309594876 0.815419344466444
"cg21285555" 0.0626980344529943 0.785377030780466 0.894845316461942 0.893863505133012 0.89026162516645 0.820704615003895
"cg11070172" 0.139292720767908 0.954466613304477 0.955892933378892 0.957216511186108 0.932979133420778 0.936361384038817
"cg13595556" 0.0506779012097092 0.849870995751582 0.918059339435547 0.903137163815936 0.898223430105216 0.712927833987814
"cg00705730" 0.064470146391494 0.894250013073165 0.891674562094761 0.878714634416878 0.867296406894234 0.840470833024449
"cg12483340" 0.0644205000077499 0.818542832263903 0.890489790337576 0.895582883048243 0.89641458485411 0.804844059641666
"cg08154963" 0.0632552490802197 0.851271709731207 0.882913527031286 0.885495819521214 0.891591149367398 0.811460302505998
"cg15878616" 0.0695450101785397 0.959299242339242 0.974457653631386 0.978926518948878 0.97688857711845 0.552881745113505
"cg00660167" 0.122982951359411 0.952216056987075 0.967276418672189 0.967093390592934 0.964900975991625 0.800531773731641
"cg15658793" 0.0516212201032126 0.907492525915556 0.87361918163211 0.924687943957727 0.898902883876536 0.708501937935774
"cg11014468" 0.107369836274959 0.893022009102084 0.914594884746711 0.910641723695503 0.911549530404052 0.896528992238346
"cg23819411" 0.0920522161003101 0.912241862885754 0.9218165346678 0.935401071960862 0.936177470719283 0.758173031801833
"cg18023065" 0.0345827339828328 0.95809026978994 0.978683503734014 0.974104018873834 0.971936331193287 0.381209315099556
"cg10487428" 0.0717632307448848 0.824524940162665 0.897395115514285 0.89105526251209 0.887962724696945 0.800391656132487
"cg13468144" 0.0808788689619122 0.879971086339961 0.906093791069525 0.824929622356393 0.893123722822039 0.878673911553937
"cg03146219" 0.159310261261075 0.957751417938118 0.95796027923602 0.960190884154088 0.961754700941646 0.930993832568676
"cg10611016" 0.0633044188261015 0.910979023769837 0.905054237358616 0.915254351549047 0.913306888700422 0.680960484117366
"cg17852482" 0.0763120430652029 0.837425552749903 0.874884327646977 0.877247451145142 0.87572554787574 0.847265336447325
"cg03340036" 0.0668166865554677 0.888042757411698 0.886211530512917 0.889101299203244 0.896741748882145 0.746443851865102
"cg13618969" 0.100065947253298 0.87656194073101 0.880662002595077 0.897908960448145 0.899556499477634 0.876933623516698
"cg01692842" 0.0579638030462555 0.843520239559458 0.863448169442037 0.849128489990612 0.85084399723817 0.810618582281233
"cg21792134" 0.11735114918314 0.915290245469584 0.920054173476979 0.91437723181164 0.914686045600529 0.856143323352939
"cg24504014" 0.0797972656080275 0.908666807706569 0.919222004509798 0.927026704417708 0.924387384810215 0.677324895576561
"cg01699630" 0.0996012946754291 0.872608938962203 0.890031257066134 0.885436667466267 0.872771516525658 0.875899343814044
"cg11153071" 0.118430984337006 0.962354431327834 0.979596702607443 0.982205708503707 0.978680170786423 0.642703805942765
"cg00439981" 0.0527664075917838 0.90452496388767 0.902073252679433 0.907059316670323 0.90666486967008 0.597286505983243
"cg21685770" 0.0553267867237003 0.882281258268276 0.83804979478827 0.886452893238247 0.889636832299477 0.703885266069759
"cg24737761" 0.0899232897735293 0.837742108215641 0.88588710088717 0.889626461985813 0.873223518735059 0.810296075978093
"cg04855678" 0.0714406403541745 0.834472073819804 0.91510958554791 0.92965597115017 0.928483856670784 0.601261084891848
"cg04858164" 0.0975826563087033 0.902139473376403 0.876686453706807 0.894067473646561 0.885715813911267 0.809864020855881
"cg23169883" 0.0741575580857353 0.957737906641192 0.970970811251582 0.973997041942893 0.970265520310466 0.449256074450989
"cg13178361" 0.0889067695579919 0.885378554167238 0.889921015571089 0.894405682557868 0.898583793548962 0.749501681364719
"cg11313468" 0.0565381214152167 0.823295493054158 0.858065107528994 0.855723484749405 0.850885569821318 0.742364145702837
"cg13852284" 0.0830353821749579 0.827783386341152 0.877189545264803 0.847383069114206 0.836054759826551 0.851823215429764
"cg04757806" 0.0439765907625134 0.921742428611743 0.966510733114208 0.957338179273144 0.957290256302337 0.355274931535441
"cg04609694" 0.0931180230412281 0.875964667177524 0.871810576373259 0.880287739923366 0.88080892334082 0.803845124810913
"cg09859659" 0.11425971639513 0.766954552872656 0.875798725259349 0.896350464775969 0.897097830278274 0.871760516541543
"cg09166556" 0.0889771133922569 0.903425201586758 0.871210632909231 0.919802603634493 0.916282908722888 0.700393655577096
"cg12809098" 0.0982809449238548 0.898044844783631 0.912391035525642 0.908787916562929 0.907730433882644 0.699242076178091
"cg17322655" 0.936560784565281 0.602507531329267 0.51502114226409 0.0771211211335018 0.147764778547068 0.829766952698974
"cg21830221" 0.800483962125123 0.109064803082999 0.0818139278205844 0.107254167676638 0.102944862206433 0.778197948769622
"cg19510565" 0.805648669311268 0.0668311338869299 0.171356841413289 0.0514029719316434 0.0535583111950376 0.809343655775745
"cg11316887" 0.886750115324607 0.0977829537717124 0.149733180873557 0.259359723937324 0.165165116125368 0.839567961290008
"cg16219283" 0.865848719402814 0.306792137900268 0.0995435340815538 0.123952522801972 0.191082680882936 0.864635372904555
"cg18148314" 0.855528705804858 0.0812671760537416 0.221757802001582 0.0947292387909319 0.0847536193890625 0.858611074118206
"cg14165142" 0.843842992299016 0.130164235169045 0.207906819268499 0.0605405394512559 0.066061120692585 0.851844744492222
"cg03526142" 0.850319443091203 0.0611723819160565 0.318952920931877 0.0542454811433626 0.0636319292562448 0.781426808563726
"cg21359303" 0.923452080149956 0.150571612416138 0.347481357975767 0.112715763015099 0.134029622324974 0.90982650404818
"cg14480046" 0.91442564662126 0.642344362904145 0.321415168922058 0.0834605972146834 0.0845422868266596 0.880324090346738
"cg03889044" 0.864149645114522 0.514398452993421 0.453473271545404 0.0820864070429315 0.12646414501501 0.525428511475407
"cg17587997" 0.865071106500013 0.107027196338129 0.107586721298323 0.148647357947128 0.151769903960465 0.842671593509771
"cg09621572" 0.894881383700254 0.189345565625319 0.117337123860333 0.144069996471327 0.193845585601256 0.90273749522081
"cg14597739" 0.915573571485002 0.34455695932429 0.127718836863354 0.150810790235722 0.220476723181434 0.91843502342024
"cg02787852" 0.927412795704069 0.702847703274053 0.278378747394259 0.0986737267627377 0.103081793704354 0.923022238133772
"cg15903956" 0.874979162459907 0.761252416960371 0.0707975559125926 0.206044564154686 0.177737524641431 0.715413967541327
"cg09221159" 0.75246977461281 0.10390216377869 0.146037013529288 0.0672340923051277 0.0753486878810712 0.481144493206811
"cg26404422" 0.828188019447528 0.16134943312849 0.11618647696622 0.0923040646446012 0.108007168132904 0.748352428532739
"cg12810837" 0.792610170381871 0.108753270255129 0.0684103199008936 0.0576442382547735 0.0611944993823359 0.723361101147315
"cg07069934" 0.836420377612969 0.489182985671955 0.0692170197146532 0.0581038204176942 0.0665148915234573 0.829770374156873
"cg26106166" 0.808892983488633 0.0948498005832291 0.126543596378395 0.100235589605671 0.104389146898292 0.645820393552642
"cg01170124" 0.90055786007775 0.372552864477044 0.302536686733209 0.0575062666635427 0.0580355806318238 0.885755634425779
"cg02402436" 0.844606168063334 0.164291118902375 0.0513043425913422 0.073520754233343 0.117748548803683 0.859657939586661
"cg15519096" 0.882389361112939 0.249268472526474 0.212487077286207 0.0691200388330494 0.109606672967205 0.851128678586558
"cg17078393" 0.880949763815127 0.459928366794132 0.112909490703636 0.103818656966738 0.0989139612031681 0.877897099437925
