"GR" "MO" "B" "CD4" "CD8" "NK" "nRBC"
"cg05398700" 0.078003807835886 0.845697429226225 0.924660521215568 0.934879745483903 0.943636803408918 0.878448004165474 0.855917640816307
"cg16802439" 0.0806166221823608 0.754698821102982 0.973721045434042 0.975032141056593 0.974704785374292 0.836476994664625 0.793900848304806
"cg25739938" 0.0895581986952864 0.860289543388087 0.899745095626257 0.90574313721591 0.906283785959051 0.842416214997401 0.803280371138828
"cg00705730" 0.0711389307102524 0.826377133239842 0.890397307294582 0.887076860777498 0.87897609585107 0.831258257342613 0.731870721078533
"cg06270401" 0.0678677284807558 0.808988370497995 0.910932776301297 0.90381097100999 0.9021067945874 0.809285036447876 0.673205788176781
"cg22381196" 0.0550071090117414 0.653270993330308 0.930755015492906 0.926367663318485 0.930266505407754 0.865422261400565 0.767858719631896
"cg15658793" 0.0656938242612561 0.69477943152005 0.953815406606208 0.944746950624727 0.940218594193651 0.803666645813897 0.704182172972725
"cg19037107" 0.106718126865776 0.84102460043215 0.904954342853369 0.909061367003427 0.905429181060295 0.854472005557089 0.800047826084391
"cg01692842" 0.082108666296633 0.812739996202221 0.894239179685085 0.888268422369784 0.893259327088688 0.821637565428226 0.74499261969306
"cg07409471" 0.102401378882408 0.777437513913533 0.903463098520782 0.900269705425081 0.920309043239844 0.849362771463457 0.838911122904586
"cg08154963" 0.0768706149663142 0.7843481364462 0.887801071299157 0.893260253448495 0.885254365564563 0.803892131994541 0.713462604830731
"cg00660167" 0.152273315948078 0.814710977273356 0.946686593529056 0.948987994425906 0.951630365952678 0.905661733346284 0.89793522383222
"cg05936004" 0.101745646780303 0.782776848810488 0.913710659473184 0.908485618611031 0.909572853506702 0.813339186911714 0.80038949481822
"cg11313468" 0.0799177700155678 0.757116188807013 0.890048918233277 0.890785929832911 0.888591767797875 0.796707692816149 0.776002820179637
"cg12483340" 0.0814238435741926 0.730590165134802 0.904999212342088 0.900834610517235 0.898161949700765 0.828670785824804 0.732121155094399
"cg08253808" 0.0699169601897996 0.689014341200981 0.875179214908017 0.888605991981739 0.892257435625943 0.820074547856387 0.750520445836691
"cg17852482" 0.0979268968666389 0.806982461838822 0.884345702506799 0.886102920982062 0.878163946585478 0.790786667934666 0.744677114666714
"cg15878616" 0.0924852710724919 0.528566424552898 0.97141816811624 0.972102406529445 0.974749275729449 0.900375343011988 0.871856094452847
"cg11596902" 0.078951144823699 0.683877251357174 0.914711039769313 0.894302876657907 0.901903022492255 0.833231254987434 0.733936850799077
"cg00439981" 0.0691952434127942 0.583109170257296 0.913928839969018 0.91786294324207 0.916455420935272 0.868870198964825 0.798946980874506
"cg07790752" 0.083128617753228 0.711987502924893 0.914264137320509 0.899665245046454 0.908409030202056 0.823110463394029 0.696350767447216
"cg23819411" 0.113771133630749 0.730914413949852 0.932038395635826 0.930731856434675 0.93533419396249 0.8392411230499 0.759196868533387
"cg03340036" 0.104581776230299 0.743952031084123 0.891173870297176 0.888525577332482 0.893724396145459 0.852097395994445 0.756918494181205
"cg13595556" 0.0601037296132278 0.601600269263214 0.915020532781599 0.910740468175188 0.912459686599431 0.739179798041094 0.728445889075733
