"MO" "B" "CD4" "CD8" "GR" "NK" "nRBC"
"cg26872907" 0.0895622543257212 0.925605922125714 0.935259414463673 0.929725755442878 0.915823492588419 0.928677917587302 0.800574219363078
"cg23244761" 0.146861357552169 0.956750788385102 0.958993776987109 0.96145463071095 0.954748956925739 0.95823414857166 0.900287959600078
"cg12655112" 0.128570508636014 0.895249301744641 0.937393758619726 0.944632716526689 0.773819519680948 0.930767797454221 0.752306920573666
"cg11597902" 0.0706232145825147 0.953828795971207 0.959217188862555 0.960671497249917 0.309357511716371 0.937878396468361 0.883642989171623
"cg10480329" 0.14068111226718 0.90236708464017 0.908313010940272 0.913896466507861 0.849839548580661 0.903197960312391 0.883414868814313
"cg05923857" 0.127735092390031 0.900491255634809 0.853562247051361 0.913551222102497 0.834196205435117 0.916448147432075 0.83245005528563
"cg20559385" 0.106955506065821 0.879575197680705 0.876218700334516 0.876792514515755 0.826565231635915 0.870379139179873 0.734754168694577
"cg01476222" 0.143225854042799 0.854967064190803 0.901584560895995 0.904167322588236 0.852382770514877 0.85857886928278 0.845629808030333
"cg16429499" 0.100529658922604 0.608783230855792 0.90329468453529 0.907218882807111 0.880707810643313 0.877260234008048 0.724238770300543
"cg20610950" 0.119155000534638 0.899360629953021 0.905768298636096 0.904139742484025 0.610963216125346 0.89812398288805 0.876674408564386
"cg08908131" 0.122268776543986 0.865307465730298 0.873561443452129 0.871768317987288 0.832621743593756 0.844149658825127 0.674535191024161
"cg24788483" 0.185177477758624 0.905245324264413 0.893906689748253 0.942332683494994 0.887526154354339 0.939842105483793 0.835796155354805
"cg23146741" 0.123892110623411 0.860026037938628 0.869849492433427 0.862858080112079 0.776812149205824 0.853255025654783 0.755493058369884
"cg24954967" 0.110106508710369 0.771232520136184 0.891813851176516 0.888589086319725 0.759018406810285 0.861945894659801 0.671270156583958
"cg00288598" 0.182620253057054 0.940812737968885 0.870755044655332 0.934856186887186 0.752584581299996 0.928656823328572 0.907006020815018
"cg18990407" 0.18634413232924 0.908824818055513 0.917753525626466 0.917744314873995 0.809738646381785 0.913003877795435 0.8050767766027
"cg09322573" 0.12899446159859 0.868205613291658 0.87989243912 0.880641833396565 0.708309153585072 0.852217664152312 0.715836354822986
"cg10278149" 0.126269888626301 0.826739783064803 0.875808080890823 0.882383450922954 0.716545862702639 0.867342580404533 0.716262102212138
"cg12422199" 0.121505139862541 0.780101863722773 0.855723277239429 0.842198346306789 0.840684415562782 0.795633206118222 0.780820755691037
"cg16636767" 0.178579758372838 0.885985965090274 0.888612595704427 0.889921501658419 0.857942329302987 0.882267135071958 0.825392671690836
"cg22675702" 0.145712169995431 0.851679244269975 0.847800802741569 0.848795029854539 0.814450414889736 0.843018685840071 0.84667831897038
"cg10499974" 0.104225657329763 0.874059751479505 0.900652185633703 0.906512924679047 0.492644869292526 0.883339556232594 0.652529481911033
"cg02244028" 0.164689027310257 0.883105139968731 0.878456164321553 0.880764774514665 0.805569308080492 0.871783917883248 0.721303322215513
"cg26538782" 0.167501918194845 0.868437670684302 0.867271585592123 0.864800581513021 0.83456671815148 0.868822570374573 0.787891414555605
"cg19835973" 0.20416098841785 0.91332873383327 0.900329873436244 0.900769023308753 0.888238340443059 0.895880230651556 0.788491895972092
"cg24037651" 0.144919063228373 0.839955889994797 0.844551052041331 0.855210753999908 0.840691277717401 0.813481194949647 0.743960688229887
"cg27366072" 0.150444654977128 0.845667753737852 0.887675863892514 0.882813447539332 0.732059127339952 0.870696849448617 0.766851366633428
"cg04468741" 0.160999953544877 0.878940130690782 0.837869528053755 0.866988467589107 0.800617152338434 0.869330676471578 0.825533718681637
"cg09220326" 0.15063721202909 0.889279952620692 0.894912401341959 0.890679699788912 0.667627931812006 0.876951158125499 0.771990871232852
"cg22259797" 0.102326511103432 0.925130612923679 0.878738589420429 0.910246601789993 0.35086988571485 0.906485801366505 0.775149996252044
"cg18066690" 0.208283753507032 0.900916305030812 0.903700996068181 0.899320642398843 0.891133427587648 0.900818170601372 0.813106839589607
"cg18835472" 0.132689856307923 0.843329573073393 0.859507932382979 0.866890314785165 0.696739162977947 0.848022457348959 0.759528106792986
"cg08442088" 0.121497243352021 0.85286635972117 0.851345422619041 0.786120550264579 0.700249056915106 0.829176200233069 0.824678026869388
"cg14109551" 0.160426482563107 0.897283781970714 0.890525867185823 0.894972019377137 0.724639951898386 0.88404092604387 0.637823197907247
"cg18770149" 0.17730367077188 0.881113527971566 0.883982070996163 0.883752320302842 0.841899533910819 0.858130108764985 0.694051421848267
"cg11186858" 0.195868449421787 0.946164898668916 0.962147860433584 0.963132430608823 0.559241455305514 0.936614618684453 0.914409998540231
"cg00101629" 0.185634756313158 0.888212268900639 0.891193431500635 0.892642852720661 0.805397673490474 0.884512862764735 0.740876867111896
"cg26690127" 0.150523060688521 0.803698745460044 0.858404079918934 0.892849678803645 0.724379755040129 0.889401551509011 0.75667840911681
"cg16736889" 0.142487866692624 0.759994411081342 0.834463016054187 0.84560139294479 0.843228264735935 0.829506229996262 0.76231239706748
"cg07002540" 0.143417900309861 0.884657343203126 0.849545264875148 0.875521954313337 0.725529052044769 0.821156142773433 0.625619296141436
