"MO" "B" "CD4" "CD8" "GR" "NK" "nRBC"
"cg26872907" 0.0759335356402367 0.945676295573633 0.938619980408512 0.937232157502816 0.925209971449759 0.934335032945337 0.800574219363078
"cg23244761" 0.123031153383571 0.966908391840971 0.963112976736143 0.967943407041445 0.956727788109837 0.961526127334665 0.900287959600078
"cg10480329" 0.108722974181377 0.896074992163642 0.907687816619384 0.912500428398075 0.834375371803304 0.901910476867084 0.874533269784372
"cg05923857" 0.102154553080772 0.911438258789077 0.84723193285196 0.91765699322795 0.806168141359278 0.910742755969596 0.831619537439361
"cg12655112" 0.107120960277613 0.892728498674903 0.901201867131893 0.945216237108116 0.735142989653253 0.931188640418243 0.752306920573666
"cg20610950" 0.0842590661189972 0.907164988282843 0.903333303800605 0.916067651712568 0.55546424797875 0.902698488508498 0.866315493209983
"cg11597902" 0.059394711149318 0.955748162288012 0.955063282015346 0.960659873840562 0.214602231640499 0.933331330765039 0.88277235558836
"cg18066690" 0.150179875926128 0.902724514949703 0.901913314714354 0.912337081283581 0.893101334610611 0.900574599348023 0.799506236269136
"cg16636767" 0.133411209733438 0.874307733138921 0.891342947039329 0.900528371191221 0.860436311646672 0.880012472605812 0.809826642024338
"cg22675702" 0.106773444267396 0.846755745820397 0.850461316821035 0.860682950353497 0.813170095674573 0.851660753695063 0.835133317824778
"cg01476222" 0.107621915918305 0.784045311178058 0.883370968549878 0.857213004791805 0.852708273582033 0.832622038815578 0.834088348869288
"cg12422199" 0.0771661437732329 0.710606513385885 0.861833746524047 0.850457515247346 0.844252633467729 0.795824175804402 0.764765122027474
"cg26538782" 0.109607807201109 0.788765768733747 0.873493169526092 0.886544789978552 0.822001311253662 0.874850645348072 0.767652072080087
"cg24788483" 0.175121726531642 0.923732386363091 0.889119613230368 0.951756071617209 0.867675945211252 0.939794796767237 0.835016370355472
"cg04468741" 0.127618447058402 0.887908905585814 0.855977670945071 0.879168587467133 0.801659857263977 0.874603926891954 0.814219556668015
"cg10278149" 0.0866720927754826 0.803081576592814 0.883149546396959 0.87755061512513 0.672908373143686 0.859697050533924 0.696219425464609
"cg16429499" 0.0765995770515709 0.511278900275417 0.891282844848364 0.893619610432319 0.867459857532707 0.869021664532947 0.705006437900398
