"CD4" "NK" "MO" "CD8" "GR" "B"
"cg00366435" 0.0735020237970368 0.875994799058055 0.90017120122984 0.318601535041168 0.904870913752872 0.911263144003788
"cg07679948" 0.132228523872567 0.954097968357924 0.953832283702671 0.341010075399299 0.958949807644604 0.96091907265488
"cg11848483" 0.0788822741832651 0.896694017618294 0.903031081977106 0.170382291447838 0.908083512191946 0.892204900224724
"cg01874152" 0.0834799777168973 0.795169099394812 0.865242770869326 0.393314646130518 0.864247152950492 0.827962331433713
"cg16452866" 0.132237489913755 0.943715900461168 0.944879536026972 0.196231136254095 0.948648069966781 0.953846709181639
"cg01154505" 0.162773566649857 0.947265671028744 0.941086498904322 0.491687070732204 0.953508649019382 0.796158720059256
"cg14477767" 0.17906377957861 0.830959799406471 0.884168673141342 0.715400927065619 0.886133922838765 0.886523959878013
"cg05705140" 0.0979769684922192 0.850357877962655 0.894699826345158 0.308805002958046 0.891528360859884 0.79539245873577
"cg19001909" 0.147589242682321 0.910544469143299 0.942625309092917 0.217980455942853 0.950085358425799 0.955393728760115
"cg24841244" 0.0609843253950908 0.802614358276802 0.884730830281281 0.0766832720993558 0.877597122315287 0.90141286568309
"cg03388043" 0.0760116917883951 0.738465712864896 0.918931365513983 0.0891520053342943 0.928735182096923 0.938446491344269
"cg26852712" 0.178454028425401 0.886038100168474 0.915450086984415 0.530524689379196 0.919786887713283 0.857337809404874
"cg26166854" 0.104117285326446 0.65494080609495 0.8610273231567 0.44334180402465 0.881379718578345 0.877859083642712
"cg10837404" 0.221045479767697 0.900126904326532 0.903392450576077 0.641861345967518 0.909873447934697 0.91429751411286
"cg06915826" 0.0867839645234517 0.831089621197393 0.855125759136244 0.193043846937475 0.851266252967471 0.860021161021198
"cg11710595" 0.188157914274661 0.851472129576434 0.870984283412215 0.599822535850413 0.882425669676423 0.885727344151085
"cg24441810" 0.0842076635535951 0.856956376015079 0.886043476034418 0.0937923757969217 0.883759657746242 0.825950307296255
"cg13750061" 0.0759244086383739 0.841475637741749 0.844340405280995 0.0844882645769131 0.866468080804969 0.868818258245268
"cg07015803" 0.163918307031574 0.930715815253053 0.923876343830412 0.221028865516782 0.926160603707477 0.938929283285659
"cg09526469" 0.0967709433899366 0.803607731103312 0.857259516751151 0.355086475359643 0.863772910293079 0.706943403674345
"cg18735089" 0.113982459079127 0.812569818960882 0.899148890867593 0.163150075347876 0.905915778520593 0.892752492128758
"cg07545925" 0.0537218991476511 0.719303824112645 0.869855088296173 0.0638511913317937 0.868683706778501 0.843668403241435
"cg07970799" 0.193236255930407 0.784743691222497 0.920097953644131 0.511932599145238 0.921714945180292 0.920481864338698
