"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg00366435" 0.0748913970091413 0.873192223055649 0.733246489258063 0.909373163169973 0.909417335495189 0.232391062227878 0.913076920736101
"cg11848483" 0.0818342278308675 0.893840389235035 0.741358454650373 0.881926574545201 0.899625184678016 0.151113320985365 0.908758394400349
"cg07679948" 0.167259843094222 0.955327967370789 0.954894993454788 0.95795485101762 0.958812855964887 0.348460349779344 0.962361634682744
"cg16452866" 0.147480912344564 0.947373982610779 0.905696463323278 0.951846612192492 0.947485536353498 0.222166673379113 0.956722734578934
"cg03388043" 0.0888552291640663 0.752375365932097 0.890428551981578 0.9352165617899 0.933515800446271 0.10405682798234 0.94733974170696
"cg01874152" 0.0931427804983444 0.818001024741353 0.592784614701895 0.84543516597163 0.877716995107614 0.443257718240122 0.86741233807124
"cg26852712" 0.181296360533661 0.894133525332109 0.932755209393983 0.912100410228116 0.920099004914785 0.568026240432392 0.929392274547953
"cg19001909" 0.170311619844654 0.92037836337905 0.860069264476636 0.957012683983237 0.951344990312301 0.241539035709191 0.959552303462597
"cg18735089" 0.101809684295437 0.83692161215372 0.715575608874455 0.901480361897232 0.899397683344135 0.134283299762341 0.910316180521286
"cg05705140" 0.097407077234578 0.828783589356856 0.66281325634022 0.778266084645056 0.894254961960083 0.345447290385937 0.888612299201101
"cg14522718" 0.103711875314262 0.740745111986157 0.93845430547419 0.92697458449521 0.926974599500408 0.103231118486634 0.925619538595732
"cg13750061" 0.0810049842164012 0.840678012770134 0.645028398161701 0.862285568305607 0.866731141486139 0.10198007142937 0.867531762426716
"cg23357533" 0.13711432504344 0.870212711711792 0.863923452199822 0.884751554369161 0.871663222502504 0.370567421116328 0.872638952586594
"cg10837404" 0.195927673249436 0.892399883411538 0.884264861481417 0.907621403034284 0.904917236642709 0.625585007514926 0.908172515061146
"cg05931551" 0.180192090282075 0.865812630115373 0.80037144206662 0.870914366985812 0.867463981887975 0.736988746485269 0.873024317491096
"cg08338281" 0.110711864846356 0.837611797382001 0.885977103350825 0.862051619081395 0.890488717472358 0.152307744446899 0.900272449608977
"cg11710595" 0.168923035875024 0.859168085093137 0.610403665526461 0.888620502048372 0.873502417927934 0.640129551640014 0.88605782330737
"cg06915826" 0.0892353424939908 0.823086279542498 0.748553174209855 0.851463869124316 0.852183348434972 0.180496557121109 0.852706622476612
