"GR" "MO" "B" "CD4" "CD8" "NK"
"cg05398700" 0.0815855485403034 0.846342350733416 0.907157853090144 0.930974727667303 0.932179767111782 0.923289880338317
"cg22381196" 0.0565017332387428 0.63740136996523 0.879646764043849 0.889748771870368 0.897860334738043 0.889853926917186
"cg15878616" 0.0862815804977521 0.533697868189571 0.939896409508524 0.943679073287472 0.954667212065074 0.945248040058924
"cg00705730" 0.076757979674356 0.804566683518205 0.854106364254468 0.860093730689108 0.861837097132495 0.853745238554908
"cg06270401" 0.0753609173512863 0.783728203352628 0.851767322908434 0.868557302304107 0.870769106825447 0.849516063308229
"cg25739938" 0.101210304158559 0.836083670383448 0.866876362605124 0.877576056695924 0.878808090008642 0.881410094543741
"cg25600606" 0.100836274652026 0.808814652453317 0.872582795213601 0.886466522324145 0.883283809065457 0.886536432298728
"cg13468144" 0.0986534130187829 0.850123410817749 0.863241032760427 0.873556836100068 0.873329082269683 0.856014821151467
"cg21685770" 0.0694404962000497 0.633174350457788 0.865286271651579 0.879940760078894 0.88395783890183 0.881223771199778
"cg23819411" 0.0940331491321602 0.697368820180919 0.880664725677049 0.895479624284536 0.897569221726483 0.894282854601675
"cg12483340" 0.0708172995701795 0.706243089187882 0.844334516229716 0.858009920291045 0.863671926216699 0.861348636782366
"cg01692842" 0.0888897892339984 0.783230023504995 0.853616384158436 0.860021995848622 0.870782482191167 0.839542876545779
"cg11313468" 0.0710175853895139 0.712996002516994 0.849317460075505 0.858473276674893 0.852708424794072 0.837759375496701
"cg16802439" 0.102879152457594 0.670178659221581 0.889923092190744 0.901324421165169 0.912569373346069 0.898487558438369
"cg03340036" 0.0924617772101284 0.738676982813274 0.867260962965983 0.866001566191545 0.875428714546876 0.868790269003305
"cg07790752" 0.0787329943799635 0.694544767233525 0.865753776527457 0.872575199509247 0.868316271442803 0.845061322389795
"cg19037107" 0.114723609755582 0.818324530450069 0.866721110207991 0.879040649701108 0.879461280903809 0.873422493635671
"cg00439981" 0.0701553488618503 0.538057711951396 0.874476592167221 0.883209356324918 0.899588108736615 0.891785729106768
"cg05936004" 0.104358902438111 0.767283056723522 0.872718231253782 0.879735472278066 0.874793110078576 0.847374189170092
"cg15658793" 0.0885323794657773 0.672473567915682 0.875921838801394 0.878971785182385 0.880820867958552 0.852348849903541
"cg08154963" 0.0829595008517923 0.755848823269084 0.833381611180044 0.846011049348839 0.854197370210999 0.84155123412883
"cg25605731" 0.09105718021617 0.449513123739523 0.925422703665086 0.924503997274287 0.937551705308623 0.932798896335016
"cg08253808" 0.0648027922942467 0.663268208963504 0.814225605184836 0.845446084538352 0.861389791628933 0.8379149260536
"cg01040749" 0.0907446784910704 0.710671525510974 0.848463338915147 0.85878006397394 0.867645964242972 0.864764085297578
"cg25693317" 0.104289244672075 0.760733722596137 0.856490907146754 0.863931261869247 0.865973554016495 0.85501458601562
"cg10611016" 0.0910956388688786 0.618392807329276 0.865831718514991 0.876134207594862 0.888789897996918 0.884792323599271
