"MO" "B" "CD4" "CD8" "GR" "NK" "nRBC"
"cg26872907" 0.0890798944285304 0.940967792059551 0.934989734007046 0.930736838649592 0.918306945700089 0.929918562012765 0.800574219363078
"cg23244761" 0.141390825356869 0.965417053280976 0.960776433693749 0.963558062831261 0.955458968976095 0.960795507855347 0.900287959600078
"cg20559385" 0.0787108870378665 0.890896873615441 0.889891243528122 0.894376163644062 0.838068877999899 0.880338449762646 0.717449465222486
"cg10480329" 0.121423416236146 0.895604812981377 0.905674488917961 0.911489571690201 0.849893456205277 0.896489573755048 0.874533269784372
"cg05923857" 0.100699290879877 0.896250095685339 0.850147072027651 0.918657599483428 0.811169527222387 0.89665237808487 0.831619537439361
"cg11597902" 0.0538719336027797 0.963564991595636 0.963990993912947 0.967929630952011 0.1820432071272 0.92789501703003 0.88277235558836
"cg12655112" 0.12448357059774 0.906408283999249 0.937988875101946 0.943419541299053 0.778312833127464 0.91947310203026 0.752306920573666
"cg01476222" 0.115898061325718 0.847416692286453 0.900016629976023 0.905207997498034 0.835106678435745 0.849121719684848 0.834088348869288
"cg20610950" 0.0904980761138941 0.898823017085941 0.900495457816148 0.91017199144654 0.531028875541348 0.895403285398287 0.866315493209983
"cg12422199" 0.0884168684194709 0.786846216811541 0.874886810040576 0.86349732827136 0.848452119717352 0.798067200105581 0.764765122027474
"cg24788483" 0.172639659342946 0.908902766170092 0.90251859314095 0.954195570018171 0.886207062870938 0.936866232966839 0.835016370355472
"cg00288598" 0.16020585597226 0.943376024598609 0.869734801760798 0.933126434176141 0.769416912053082 0.912737160243891 0.907006020815018
"cg22675702" 0.117773140517299 0.857673816622226 0.849928023318748 0.856440689012072 0.815112016693615 0.84826220436798 0.835133317824778
"cg26538782" 0.12345986316848 0.86368119083392 0.866756350207247 0.881863512440254 0.831364926173487 0.878231270678349 0.767652072080087
"cg23146741" 0.0954953581180169 0.850341756249204 0.861305180616984 0.867449047441271 0.769607301816337 0.838802093881647 0.734276731670199
"cg18066690" 0.159591350093667 0.902527039845234 0.898077240380391 0.899531872831981 0.8905156903305 0.897404856655954 0.799506236269136
"cg16429499" 0.081793672612315 0.62470111899506 0.883416291246501 0.888061403667068 0.862134425588441 0.853469501278264 0.705006437900398
"cg04468741" 0.136960867041856 0.894142404209333 0.848388176501041 0.878656578713426 0.809187710595659 0.87688663471166 0.814219556668015
"cg08908131" 0.101704740567213 0.864283089668056 0.864398932505404 0.860796145243728 0.826983111241295 0.838496508776369 0.654661691615452
"cg16636767" 0.148715561508897 0.880725036372092 0.879454977009987 0.895298918037722 0.8517315024295 0.869641723976168 0.809826642024338
"cg10278149" 0.0956436807033448 0.832291725577511 0.886296566110207 0.890437494785392 0.711159130950008 0.864644374896014 0.696219425464609
"cg10649130" 0.102566106895332 0.837180667620627 0.864929607117434 0.87374991622945 0.700269543493234 0.857029517357404 0.761667822730615
"cg05669832" 0.142829014122077 0.809749963105703 0.86568648825392 0.906045871070327 0.848671602258722 0.873058833789532 0.808604292179268
"cg16736889" 0.108646018976708 0.766094526266442 0.837642248138137 0.854259021367607 0.850685654298472 0.836897728606233 0.745791709012121
"cg24954967" 0.0878897490986358 0.754814041047763 0.885443362123139 0.882752414832736 0.748911842016059 0.85199770553048 0.649634216272025
"cg09322573" 0.10315053961087 0.865108744630878 0.876667674638199 0.870625413871327 0.701659197096173 0.849040130906458 0.692254976400539
"cg09220326" 0.124946946047262 0.89380158810433 0.891788770506843 0.895837770833177 0.681312147180632 0.865057082447534 0.755692824666073
"cg00101629" 0.144500384726352 0.891841698745283 0.895925946177466 0.899992558728899 0.805931754327684 0.876828941400867 0.721380591386191
"cg22259797" 0.08985248504793 0.932363510528382 0.88302957608091 0.915090164893836 0.380993559848265 0.879928354163198 0.775149996252044
"cg11186858" 0.158129039285546 0.951935124358308 0.965357297171619 0.969036408955426 0.436054477765746 0.926262175451225 0.91392539734342
"cg27366072" 0.118726494314252 0.835588788687897 0.882846590477176 0.882361646376114 0.694371884145759 0.858536173887555 0.751631537619188
"cg18990407" 0.18332731386526 0.918178482488175 0.920526692847048 0.926476417019745 0.796699653152651 0.919073025080602 0.8050767766027
"cg24037651" 0.115591146141034 0.825674852196946 0.837141763907667 0.85129098195033 0.832607677940317 0.797425981285609 0.725237466713131
"cg08442088" 0.116279877144705 0.861163254030769 0.856640639311301 0.810063753504004 0.682525002330041 0.837244043634789 0.814020363581327
"cg10558233" 0.113925240030532 0.845386336215745 0.811406173703609 0.833643941163228 0.799382160251112 0.829746091793111 0.718086022669652
"cg26690127" 0.11769147851578 0.80529881456488 0.855184977268036 0.887121025605518 0.71536513954523 0.870993084502781 0.738337597716461
"cg23261319" 0.0902572789498937 0.884437509754081 0.82285981139227 0.8729891705316 0.530394908979218 0.838587653556917 0.725687594098602
"cg10499974" 0.0859757137171196 0.872738811868134 0.8989448193294 0.909880967853277 0.475351954746658 0.858432148148694 0.632228139937022
"cg07213487" 0.184473597085684 0.790915997274813 0.913402182040853 0.917769960562301 0.89874677737582 0.83551160860098 0.850094250866628
"cg18770149" 0.154168865512359 0.884130918424455 0.888278797149005 0.892303717253943 0.83828653512493 0.851165785159496 0.676100665520658
"cg18835472" 0.114045703995717 0.834268911195877 0.850378653762692 0.862054249683124 0.67451614461421 0.815905731296234 0.740519286995438
"cg27059140" 0.087995676425062 0.886316711207661 0.875013273531689 0.884077786497929 0.442843977708058 0.827742361060114 0.716173589173551
"cg03313271" 0.110847797170501 0.87745792525004 0.897306075101706 0.910030484990496 0.439166644642432 0.843247035644972 0.799975189016322
"cg19835973" 0.189782796354564 0.906946928896995 0.883775092388078 0.875143246564579 0.879218250275825 0.880334489554787 0.788491895972092
"cg02244028" 0.152556224027871 0.88058405391141 0.872304692522251 0.881371146234937 0.793235548875523 0.859562232061554 0.705118966671071
"cg04478930" 0.165963933608365 0.900220296946854 0.91087965861496 0.913406686073154 0.74355815714861 0.881934498287113 0.718836340078671
"cg19145082" 0.0959191473240167 0.796949403393853 0.817061199704005 0.836904783489792 0.66891296566781 0.795598269692524 0.728180976016245
"cg07002540" 0.111791288794397 0.885967224485415 0.84455434573503 0.876931065239816 0.716272839591391 0.812221548038784 0.602351085123731
"cg25517015" 0.13683155510852 0.867510666575261 0.866217697616647 0.881768257725447 0.658298994972441 0.85726863914298 0.730424694320756
"cg03337218" 0.116248105331993 0.847801022229286 0.831880224394563 0.870753049730359 0.755738009933455 0.693477373329047 0.717308035751256
"cg06495803" 0.744758938186361 0.427386273842763 0.383291911919064 0.301922442705026 0.728555754812423 0.422353963866139 0.446762132315187
"cg01986630" 0.436810973572121 0.181206389967103 0.0811713997055539 0.120309161721215 0.236723251187519 0.070482516376369 0.184388447100919
"cg11775828" 0.597330027254773 0.425062285080635 0.141331154188826 0.182071435052303 0.41867140528311 0.16165178733697 0.481752812500185
"cg17830204" 0.482301023279243 0.144056240121514 0.0700645529506179 0.0733592969102365 0.321843414426 0.092591524938208 0.421954274963141
"cg19638572" 0.46277183003403 0.108854645019101 0.0606733748959059 0.0536315608457171 0.469610027702887 0.109350792038263 0.174898510406431
"cg00781658" 0.493331808152171 0.202667926395229 0.0987933601299824 0.0646335439100517 0.392280159324742 0.109137967494481 0.236097907938626
"cg14392772" 0.485745625666722 0.0499935101606327 0.0542710890722003 0.0535908196311573 0.422753047078189 0.123035674463544 0.318579426693392
"cg13027206" 0.551483775691601 0.282171801588853 0.0698387786026569 0.063087172082694 0.280584531151924 0.177041210592369 0.512493114867972
"cg12708109" 0.76910444134872 0.345906430385376 0.3145661452981 0.221643917893192 0.768678085043881 0.486269224336477 0.481629794075719
"cg26601310" 0.547086763943457 0.140949964623985 0.0734121680130848 0.0682941678548583 0.546801034222143 0.11372674387015 0.330847625830205
"cg18437480" 0.587329585496388 0.157600145400487 0.08300450685581 0.0886749968021859 0.545710283260199 0.192535426763194 0.426448210713866
"cg13721397" 0.740710062487182 0.274054449041747 0.2311353005441 0.211268184909336 0.713708152324831 0.447875881906371 0.510057870911507
"cg04661929" 0.592945496073891 0.090180038976132 0.109207818574802 0.107441289908081 0.549543249742448 0.187822819312165 0.433872589464165
"cg26509250" 0.705651209592747 0.22230252192582 0.457980878682326 0.392162252129331 0.102626154039661 0.447796892321876 0.491743372702158
"cg20491695" 0.733404530434466 0.271797196007113 0.313137804009638 0.315182904126845 0.722605339047958 0.277842514286457 0.304987557278315
"cg02291020" 0.595880186607822 0.619194514327938 0.125835010683777 0.0905902640186133 0.103652036716819 0.1190202253888 0.249663584907329
"cg09621572" 0.558301375091873 0.056249190955893 0.0528417628951375 0.0494127278996033 0.524608719151388 0.090520816541274 0.287028063608414
"cg15464148" 0.814338045865611 0.267676401126359 0.480417906525615 0.30302766923971 0.813835221263038 0.348853073170282 0.362676326560887
"cg14711743" 0.709048685143939 0.35796236179093 0.20780255760786 0.0940049148905281 0.668736946336871 0.169818812051822 0.41049636518696
"cg05088356" 0.834680953457308 0.364942511097589 0.329551949332614 0.295492157298737 0.861329628297134 0.284420444215145 0.535816629508506
"cg04444104" 0.677298432773884 0.15471330368444 0.123467621577598 0.147415456487689 0.638059175720945 0.430586286014006 0.265263377754998
