"GR" "CD4" "CD8" "B" "MO" "NK"
"cg05398700" 0.0911328585981578 0.96977871989359 0.969885641137058 0.964292623952982 0.922074651294259 0.965525121673671
"cg22381196" 0.0651024604988192 0.933495156597098 0.940125505825186 0.930081564818549 0.723451123738402 0.919756909450927
"cg25739938" 0.0840459508966628 0.906092962583772 0.912715255935671 0.906983414048403 0.873836031946596 0.889691419337191
"cg00660167" 0.107642340330304 0.9660314146489 0.964579714315281 0.965609091562682 0.755986762565202 0.951482816368519
"cg16802439" 0.116857609639311 0.973272905690952 0.98205950899137 0.973994161408405 0.751858586756033 0.957196856203715
"cg00705730" 0.0871682545057508 0.882846367217162 0.889752661537917 0.910361242056088 0.848297459800617 0.900612135211021
"cg08253808" 0.0785814971618818 0.917380375188966 0.923683382613426 0.896860654693604 0.746798327948661 0.901904413028603
"cg19037107" 0.0930521871520375 0.902621000106591 0.891020804280742 0.911734016690833 0.852039892829478 0.886733252296842
"cg06270401" 0.0842984009113065 0.888142365921152 0.874920397982806 0.905427643442692 0.847319312932246 0.859009571116102
"cg05936004" 0.0844803722060762 0.898408051394985 0.897545924576182 0.901782020290305 0.794268637436899 0.869232214066365
"cg03637218" 0.102808040934032 0.885879705539743 0.879970606736093 0.904898907261742 0.88266377534457 0.872370135006833
"cg15878616" 0.102829417015285 0.971829448198604 0.980622642725814 0.974996723569718 0.566702000504431 0.959132524890089
"cg00439981" 0.0695540471868924 0.920193997080912 0.929083772276757 0.924460713805675 0.607696137348464 0.896499423644922
"cg12483340" 0.0828679576076998 0.892789237248917 0.89797904875263 0.894389136385366 0.785046623124184 0.843805645132228
"cg04858164" 0.117227940074784 0.894448153858007 0.913506036565654 0.905112674116086 0.856949227329324 0.897451777966243
"cg10611016" 0.0901502210287513 0.916834774991672 0.925366320453259 0.915889897316548 0.66120111342142 0.910980389786472
"cg05627557" 0.0648294130735988 0.873739950601612 0.875996176959064 0.871589690904225 0.710740592404782 0.855618696179249
"cg06526020" 0.111879225290774 0.882968755811244 0.910895504596314 0.906773071526674 0.824703797518849 0.89198072136235
"cg23819411" 0.112335035413997 0.933341484101207 0.941565819625356 0.914367614426117 0.710543877038448 0.919004330048063
"cg03340036" 0.0857602546176297 0.877705748522511 0.894640468040183 0.884000004867917 0.731182753265885 0.890422198007207
