"MO" "B" "CD4" "CD8" "GR" "NK" "nRBC"
"cg26872907" 0.0929370658822724 0.947362479968161 0.909983305574834 0.941544067429621 0.935630589946537 0.903749423367505 0.800574219363078
"cg23244761" 0.142597090632873 0.970137536068622 0.948871916587601 0.970302992128177 0.964278413370953 0.94138223160744 0.900287959600078
"cg10480329" 0.122276531769499 0.905366512237192 0.904194775708737 0.917637205181354 0.853009880722912 0.887856850458129 0.874533269784372
"cg05923857" 0.10403877497462 0.906356064282867 0.823074603969833 0.923770494142198 0.826676684265992 0.878765172126602 0.831619537439361
"cg12655112" 0.118356752026792 0.898233572953227 0.912705388012283 0.945563300099821 0.732983912886192 0.904905909884467 0.752306920573666
"cg20610950" 0.0866121908426951 0.908091989335473 0.890466194329169 0.918501488750773 0.541967443140845 0.886610400617068 0.866315493209983
"cg11597902" 0.0512584085954859 0.960557911996925 0.942758970341946 0.972968478558077 0.19075479864397 0.909223361836919 0.88277235558836
"cg18066690" 0.15182085868069 0.905825122073542 0.892206017905287 0.905391708023147 0.900971511910396 0.889724265733635 0.799506236269136
"cg24788483" 0.176162493240665 0.92376849646031 0.88862042916224 0.957193963838234 0.900089463485705 0.913364417083673 0.835016370355472
"cg26538782" 0.111107627720194 0.797960176566062 0.860923015041019 0.893904693500058 0.83221343448247 0.865098533620415 0.767652072080087
"cg16636767" 0.143785816464351 0.880761797512425 0.875421713250003 0.89828858035141 0.859346979201206 0.859482681920645 0.809826642024338
"cg04468741" 0.138835329695399 0.903011554123575 0.849085024812188 0.886927242956295 0.828819770907241 0.862975069576385 0.814219556668015
"cg01476222" 0.118305590177839 0.8031597013804 0.881448886129685 0.851051741940961 0.856781513522829 0.789769825952772 0.834088348869288
"cg12422199" 0.0879753883280962 0.714878626719646 0.833644451419623 0.86117181747031 0.851915203537675 0.77599511157342 0.764765122027474
"cg22675702" 0.118934868225996 0.843328351619945 0.835606124136516 0.851251762950765 0.809805923679941 0.82856987761175 0.835133317824778
"cg08908131" 0.1047991252007 0.859792059141407 0.840034312292557 0.830511779669332 0.843448807454319 0.810390165672665 0.654661691615452
"cg10278149" 0.094453627529455 0.835227114390654 0.871660658204997 0.886351598534289 0.680254263128443 0.84895793259447 0.696219425464609
"cg16429499" 0.0792777590092594 0.511303402490924 0.867101556455254 0.893959581171376 0.869225155440646 0.838831096643292 0.705006437900398
"cg23146741" 0.0903242079421206 0.795379224239687 0.816982542988787 0.82040605912718 0.768069983358535 0.784275884990125 0.734276731670199
"cg18990407" 0.173156045745134 0.828179210288688 0.919688255379225 0.941515183618821 0.815533213276734 0.911716134131784 0.8050767766027
"cg09220326" 0.107864075704072 0.895134377312555 0.881002028174959 0.901378521316056 0.563025805953818 0.857795874242164 0.755692824666073
"cg00288598" 0.162288913993268 0.946294251907542 0.792968047863708 0.892849208048039 0.759886214316528 0.894765769401887 0.907006020815018
"cg27366072" 0.123168872949718 0.824886162936253 0.882451453193154 0.888410337308471 0.714561080210178 0.851569378088628 0.751631537619188
"cg20559385" 0.0792810894209997 0.803765476981863 0.761425467804959 0.736498876439288 0.829618119643532 0.763800350051559 0.717449465222486
"cg05669832" 0.147112570641266 0.721260976159809 0.879221223249263 0.909712749155811 0.858108720200614 0.866584966933492 0.808604292179268
"cg09322573" 0.100425337876993 0.841725800236981 0.864160237812566 0.871940665335154 0.642876856786886 0.831973671127053 0.692254976400539
"cg10624395" 0.198376094372981 0.907704312038683 0.890205827561424 0.906152494403731 0.911010470321006 0.87872324851071 0.791800823956252
"cg11186858" 0.155593437644508 0.953454897514461 0.95607053955001 0.97659372241696 0.434804550008249 0.916224952297398 0.91392539734342
"cg07002540" 0.106400289859266 0.886113280181426 0.830725335876451 0.878553322813184 0.714813385549702 0.800657256969563 0.602351085123731
"cg02244028" 0.155510630135021 0.88621805441031 0.868807154953701 0.884089018881111 0.821346200406453 0.849394760740979 0.705118966671071
"cg14109551" 0.138921587628112 0.906766061106584 0.881602232014123 0.903509146118692 0.714725428631188 0.863656627891364 0.619284681443924
"cg00101629" 0.148272809403947 0.830500604932325 0.874270260790345 0.865481706291659 0.811413739805164 0.855649336268766 0.721380591386191
"cg10499974" 0.0774217698176555 0.864975532713213 0.888533178399174 0.919211937044435 0.421477341306833 0.852956770918701 0.632228139937022
"cg18835472" 0.106037556021163 0.818577365329866 0.832311994246216 0.870187069493688 0.658008618673734 0.813822883279404 0.740519286995438
"cg23391288" 0.201603094156019 0.890246780207066 0.877128408985927 0.898607705859984 0.910755649631966 0.878561202919213 0.809212706445591
"cg19835973" 0.206487660906456 0.928799488744803 0.877494393922655 0.897617973750629 0.911564671806425 0.877816221170647 0.788491895972092
"cg20641531" 0.171048720513768 0.89752908913246 0.886815878917511 0.90165950200162 0.72525700858809 0.873947520406327 0.83448599855359
"cg27059140" 0.0829179352318019 0.890501038392114 0.871980836435566 0.88147638149039 0.419185251724293 0.830608977544527 0.716173589173551
"cg26690127" 0.117458378881057 0.711869334823691 0.85524596470252 0.892960240601645 0.71754925526691 0.854475458374686 0.738337597716461
