"B" "CD4" "CD8" "GR" "MO"
"cg26692003" 0.0768640408958666 0.974292881949558 0.975499679231482 0.97296329660506 0.97089414858926
"cg02212339" 0.0678282582776295 0.959125880142443 0.956776503537341 0.961091340355709 0.960874419487182
"cg00464927" 0.0711199985860733 0.963019879706112 0.963709193980786 0.961970912703758 0.955544881441886
"cg15241519" 0.0435139117592163 0.950892071745067 0.91742903699106 0.963642389117757 0.887510550091353
"cg15348679" 0.0269809409708564 0.887343047548448 0.967478604969192 0.894875801620034 0.886389138900446
"cg17995557" 0.0432956034496424 0.912269297145036 0.913387878976703 0.914767115374383 0.911545065447599
"cg27106643" 0.070098649062421 0.930450079157347 0.937683904303559 0.948169678745037 0.930799002860043
"cg11699517" 0.101957087036272 0.975992120896314 0.974454663930345 0.944260213916461 0.959548629580217
"cg25131632" 0.0758917091044076 0.924756481539211 0.912508306898821 0.948525486540729 0.942075714002029
"cg21248060" 0.0910957630849064 0.948378360342236 0.93706394329569 0.944809304475884 0.94826369853029
"cg08162476" 0.0589736234771917 0.941973015683101 0.942563718195903 0.925477852435548 0.834593677666018
"cg26552743" 0.0351068761877569 0.903449896011965 0.904764774797571 0.857059628426138 0.875965443367935
"cg14936008" 0.0563002053776303 0.910163384969431 0.899966163011876 0.912820755988267 0.89823862240913
"cg16148346" 0.0559491959823873 0.907649749893606 0.906288034526382 0.905215675958012 0.900050977969924
"cg17768768" 0.108113099777992 0.95512522742027 0.956721096595968 0.960883356262521 0.946713475673532
"cg13738327" 0.10547007946181 0.943866660438593 0.926781315956777 0.967234974068876 0.967819329606027
"cg22212560" 0.0254734635016472 0.927725056862476 0.929182870577024 0.897559286529097 0.735457612881965
"cg26438284" 0.0458849981487349 0.911831305223881 0.857711775917093 0.885899486756031 0.911488467251455
"cg14482811" 0.0739855810966407 0.933474123017361 0.928858727780488 0.896166003928549 0.910019437786098
"cg05480110" 0.122679933427726 0.964099601889771 0.962797097961852 0.970033460093632 0.962529197108108
"cg11661493" 0.0448631108314526 0.892850381872928 0.892211751807767 0.880247793492114 0.875921435511592
"cg16210395" 0.0465173714984695 0.87328017498345 0.857018825552935 0.910655995546555 0.903796244942066
"cg19260718" 0.0590549731016824 0.90060044998048 0.892692379986372 0.896036992458108 0.89904175196911
"cg00760938" 0.0455044199938682 0.884143071095049 0.876726401430966 0.878018515995242 0.889460281271795
"cg21596498" 0.0664495751321227 0.906990128320382 0.908457960186215 0.899691032050644 0.885126817580216
