"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg16452866" 0.142433912838352 0.923491521583848 0.905696463323278 0.954051203042163 0.962987506842955 0.261655639793922 0.967982851868219
"cg00366435" 0.117576186431583 0.868112255587027 0.745172739153924 0.910523348062831 0.927169157485857 0.487872630624462 0.924675633103205
"cg07679948" 0.171816579301465 0.938982572810574 0.954894993454788 0.959394725021098 0.970439919636392 0.456283222097821 0.965456220290156
"cg03388043" 0.096175792643027 0.746050883319461 0.890966929553677 0.9460612694422 0.964572633106182 0.100576527317872 0.966357886662471
"cg26852712" 0.133770742056072 0.866052081437596 0.932755209393983 0.863416681482231 0.935684216136891 0.369403950193201 0.939955005046754
"cg11848483" 0.123713574710556 0.882113561520011 0.753127380711959 0.893749583271553 0.915900686172272 0.323960455097868 0.920052752704731
"cg07015803" 0.159609819883487 0.906822752157886 0.835216364013149 0.946208105527253 0.952168073112533 0.276053264777599 0.948626398007693
"cg01874152" 0.123266463486509 0.845017144897326 0.608775374875508 0.848664686194444 0.91697682188831 0.482656439849532 0.897336071628342
"cg06915826" 0.107687425629371 0.827302012729173 0.760550726124482 0.871293016704841 0.874914770810489 0.331597780605925 0.872941181549357
"cg04347414" 0.147841630071095 0.849085356485817 0.688593538718832 0.889345244789933 0.932648303309304 0.302806857159922 0.9310314844285
"cg08338281" 0.112301773389714 0.798188534815918 0.885977103350825 0.818894183989102 0.900489768567061 0.159428652483716 0.90659899870032
"cg07970799" 0.174119934472072 0.736143767298639 0.83306686980417 0.921213435923475 0.944320341724649 0.50870076346839 0.950569357937837
"cg13750061" 0.12032784901044 0.827470114099731 0.659555331643387 0.868136609609198 0.885606632447525 0.166241746276446 0.880792605475103
"cg14522718" 0.169812693908186 0.758549825499727 0.93845430547419 0.918227708016097 0.943388779375248 0.316010346822718 0.931670435597838
"cg10240150" 0.124416930115252 0.789434318215186 0.61642326321148 0.876371562239492 0.874429643442446 0.344502385864755 0.865058023950926
"cg05705140" 0.121040971186436 0.790934132664713 0.676390455084219 0.787566161813806 0.90411883731792 0.305267169709148 0.891656790014158
"cg18735089" 0.160127631039004 0.823695550459077 0.728015056336054 0.899165686309995 0.913192870513565 0.277077792541704 0.918722243485344
"cg23357533" 0.183457297955399 0.868453892298144 0.87119550792106 0.899537409866188 0.890379606263031 0.508432918488201 0.880524916298892
"cg24662823" 0.148383021270339 0.711348026227875 0.713653677734893 0.889933536688482 0.912778250301569 0.459265853345581 0.905580057101201
"cg22230912" 0.13646280859286 0.842208370413914 0.509742737555992 0.900490275594555 0.882986487346188 0.326205263431857 0.833216976603595
"cg18650518" 0.132766550368108 0.676079383668762 0.802095767560057 0.876866682286348 0.908180695274292 0.285803828857867 0.909605667971387
"cg04340595" 0.104739195466929 0.528081549920661 0.834372932213881 0.865326996381324 0.939090533563579 0.175327900045315 0.9355071203335
"cg10837404" 0.233341843475049 0.8882684523606 0.890472343557974 0.911155833716795 0.919152971382676 0.747890886425374 0.914531011662162
"cg07545925" 0.0938161992116049 0.679176589643547 0.582945626298725 0.841158671776307 0.883122608847088 0.116156666628999 0.878813293430235
"cg12353788" 0.157977690390413 0.840223964517885 0.62483651170328 0.882923232207728 0.879538377901895 0.379635343529348 0.86535785204776
"cg24841244" 0.122496728172302 0.720024258387966 0.693243712307966 0.876215821395899 0.88679380681881 0.16314772651247 0.883695382405843
"cg20661080" 0.11751522152543 0.710408266773159 0.644072115124866 0.858924977374028 0.863972871593345 0.287479448261 0.878585166763426
"cg26166854" 0.103624494545017 0.576920690971817 0.725596420842614 0.852047251473919 0.864715768906385 0.417276023975129 0.889112825872821
"cg23896695" 0.146222563011262 0.825722609170266 0.626284003782523 0.852415948797354 0.880970390139619 0.364159139540398 0.854394237164984
"cg10111816" 0.112447763315512 0.764353327665983 0.758199829623879 0.846182221322351 0.853688610785733 0.158349379932671 0.828282498100467
"cg24441810" 0.0985334193413556 0.737947520284194 0.77676554703483 0.762982396951888 0.854631258751439 0.133685066073379 0.869603609066178
"cg16230121" 0.134869774829842 0.776804168185285 0.685421314946994 0.850244410851112 0.859717442592813 0.317011369209954 0.86348427473701
"cg19001909" 0.257444625652711 0.9199961718921 0.860069264476636 0.965207668609077 0.967483105279381 0.446968645735375 0.971366591507693
"cg06164961" 0.109743673301368 0.65155562350862 0.609608010253054 0.875769930735481 0.894434491795358 0.126426054978548 0.89874704640646
"cg16193207" 0.157434340151066 0.798327282652611 0.775392535368415 0.851409784238207 0.872414490648431 0.389984639787571 0.86661615745531
"cg16775598" 0.165178107767879 0.82944699427283 0.663269671275008 0.886918652987895 0.880963118995735 0.300776166716472 0.884945091491251
"cg00620024" 0.212686646117538 0.861584352084224 0.879854148999546 0.892931594730114 0.906987289983199 0.509968061212227 0.904865655740675
"cg04180114" 0.136053065822422 0.805774435930302 0.784805025446488 0.816796628231391 0.833138514723628 0.275541309032664 0.861090595200337
"cg00122659" 0.125316423752556 0.730601756283844 0.646427039430257 0.837098564164821 0.865654836507717 0.330852298930503 0.838717909427143
"cg18758433" 0.140670531727835 0.687392509296818 0.79159963977236 0.877283624395124 0.857576423423136 0.28360356234247 0.909551693602555
"cg07930673" 0.121173576740255 0.699917041288956 0.673678580246758 0.859127827806174 0.875065133364609 0.162088770216713 0.873571598752781
"cg09695307" 0.163149100647406 0.793976720502169 0.592044106629407 0.8342413757543 0.901041355711731 0.42359395513222 0.887904346645866
"cg25486399" 0.131134669443264 0.816830112452874 0.314229013000094 0.855533328124845 0.845833601069535 0.457218876311234 0.811361873426761
"cg24612198" 0.154961666551467 0.758335485656252 0.620695378956792 0.893169713861904 0.905367358011752 0.167576293547885 0.909457479492896
"cg05070273" 0.223775111648998 0.891455642038365 0.742273756201893 0.906215204986193 0.903244985868945 0.574112471990493 0.901838518347934
"cg11710595" 0.206414210380455 0.848511217165469 0.62511457258854 0.893944920279667 0.888795067110331 0.612631174765309 0.90081199254534
"cg01490728" 0.15702330393987 0.828724599948725 0.52220586155138 0.835522169913244 0.863272572314416 0.447587451935736 0.850142727728674
"cg11210357" 0.136235616738284 0.740608343893262 0.814382361610786 0.827406605043087 0.869483631403682 0.187293111807109 0.867473165961026
"cg25599673" 0.185864732511555 0.857847323911674 0.684529106209143 0.854642414807481 0.862116734093565 0.532416798157625 0.865321397868789
"cg26400113" 0.121838080329475 0.783904047605948 0.556408441664914 0.816869562347945 0.840056367224464 0.257555647938836 0.830006989810303
"cg21593001" 0.717272439222332 0.217509545329936 0.0475226854523772 0.206563279342175 0.0689184436472559 0.758387847784767 0.0770590442531981
"cg20281375" 0.731629286085456 0.34471894304966 0.109103206589051 0.177569758612516 0.0616967360675887 0.66818157943509 0.0584593368744939
"cg19548859" 0.800411469089509 0.345689875479365 0.521331827581442 0.120057530446772 0.0615833749063555 0.691975549954405 0.329807859780812
"cg07598385" 0.656309906962754 0.0938327096431813 0.0393590527588252 0.179492105490479 0.0451155848287974 0.51911618318884 0.0506620964547249
"cg22742001" 0.836273961409089 0.709551605961477 0.392999155036073 0.143507376639836 0.0544605607172881 0.888200183272852 0.0500231628854166
"cg26681770" 0.652587252097594 0.0942569359502838 0.0401852026119632 0.103855374212788 0.0389407054417812 0.663749855109664 0.0427070672544927
"cg11377213" 0.814960594105114 0.666268048652833 0.287644039787396 0.149271307636813 0.0509210969181745 0.774225156896533 0.0552340943824199
"cg06760238" 0.77334900975409 0.13180766676668 0.477540708406209 0.482376209044604 0.0618369481291648 0.712321704940503 0.0727515467385003
"cg04742550" 0.672523905734296 0.0435686676347558 0.126385822581938 0.45064492959767 0.0279412375934093 0.217515928810509 0.0220497307432095
"cg04682193" 0.834275946645235 0.111990814831074 0.737323113181374 0.789236260625586 0.0630684833380974 0.665201314892101 0.0477121966120138
"cg22193912" 0.710998465192651 0.211033289218252 0.0296309188801796 0.193535217618538 0.0334194365885474 0.824879614485957 0.0593717250543215
"cg04905719" 0.638303097595683 0.0923811816604232 0.0285210062300223 0.050711355386078 0.0264943438152067 0.653094044519888 0.0300704422600178
"cg09169413" 0.780349939121474 0.419352680422097 0.32940275720649 0.0940359196332171 0.0769379366452552 0.773853536574865 0.143287822517234
"cg25031824" 0.783249206070242 0.439284517874007 0.0686444218137474 0.208272188741408 0.0744749932773255 0.807011667876328 0.0823083978100585
"cg01233897" 0.694579164531242 0.249132977008134 0.0570914412636693 0.0786436586068779 0.0662639156574569 0.598001214397573 0.0683949889338178
"cg21360910" 0.716777594760179 0.213439740983934 0.149013733706742 0.090999797957592 0.135101006140439 0.520268975833676 0.124361096006644
"cg10099758" 0.676104880817449 0.0780748399173036 0.0890573787515822 0.0913335960237321 0.0708629488809077 0.53994624800801 0.149821324500299
"cg19369955" 0.742251295318641 0.263341871390519 0.437961294639628 0.147226016486673 0.0630217312626993 0.727852281276033 0.0646322387090185
"cg01543184" 0.797771207326085 0.332288739938114 0.0753803881424857 0.302023904277558 0.092464894595932 0.862887678914791 0.0987884895078268
"cg23582982" 0.80079575256298 0.382090161362656 0.302291257181532 0.279914473188146 0.0695629066712063 0.804596650628268 0.071520506688026
"cg07837085" 0.754333661939689 0.134481878141256 0.411347938792844 0.422283977299453 0.0785028346111935 0.460622901012627 0.0670810637661744
"cg16261114" 0.81916835757828 0.486493858330314 0.187356228495542 0.263400762453544 0.0789855929814796 0.813898327830194 0.0670151642271339
"cg04642300" 0.648684310932055 0.0585195039848928 0.0622896079567828 0.0958081078763002 0.0437686186724457 0.497564620370501 0.0441440273198415
"cg09037630" 0.651574456758009 0.0690173869755344 0.217901625690406 0.0491532044085407 0.0398829985347491 0.499579642240739 0.0490480442848363
