"GR" "MO" "B" "CD4" "CD8" "NK" "nRBC"
"cg05398700" 0.0761312447397208 0.857176825954233 0.904786079347799 0.927385358387984 0.925773407408288 0.912148134208243 0.869804449773372
"cg22381196" 0.0464669687787708 0.654979201227698 0.877796135386758 0.886971383714539 0.893121946129334 0.87357186329681 0.782443437825349
"cg25739938" 0.0892023081740859 0.853008375900644 0.860965187776076 0.875649712357812 0.871867078382764 0.863591772007271 0.763533311410097
"cg00705730" 0.06452271648174 0.821495174928784 0.853194785477437 0.858182624015285 0.851485383745964 0.84436462949869 0.675345573477412
"cg06270401" 0.0607662192453165 0.808958175722761 0.853648524418459 0.865956797428648 0.865904510539058 0.834026565942485 0.597415600045383
"cg15878616" 0.0801270443689723 0.538061618652246 0.938764407985703 0.941721125896662 0.952782622295063 0.928212840734304 0.870777837420272
"cg00660167" 0.136232036882967 0.802812047251578 0.925103683829269 0.932067981768808 0.934449421562402 0.925277319545263 0.869918894397693
"cg16802439" 0.0900258281317698 0.721071446161817 0.88970594093921 0.904755117596898 0.910550294147519 0.873132068549269 0.768379182937811
"cg19037107" 0.101245495455119 0.836718810775137 0.865121693777342 0.87992206670571 0.875763103038216 0.860966922328175 0.785084922418141
"cg01692842" 0.0737464258225186 0.803234171213116 0.856452448691961 0.857251100874933 0.858793817708352 0.831691498704308 0.688309920923284
"cg11313468" 0.0656691524812382 0.74399672343072 0.848024009534866 0.858548494442278 0.845013656192883 0.821200699528297 0.776655631664393
"cg12483340" 0.0663221058115414 0.72784896410533 0.845614597519866 0.860338577831885 0.859962808082778 0.847513568493582 0.71061533155682
"cg00439981" 0.0588206574719645 0.574435833545685 0.872578236802251 0.883788610316585 0.892637083596154 0.878003211929158 0.795271605441826
"cg15658793" 0.0710766670172344 0.691392151733947 0.880584214427778 0.885405782908036 0.88163634341094 0.837571610616851 0.670215798674337
"cg05936004" 0.0956574670952302 0.786715118714849 0.867915376758883 0.878858912994061 0.870621932045058 0.834958502943073 0.76078734005417
"cg03340036" 0.085775797788558 0.750510842029947 0.857963300525804 0.860126309446867 0.86670560251738 0.855367889062833 0.764471023573757
"cg08154963" 0.0708832322768456 0.776046255109057 0.832149806250795 0.846279330330936 0.8483415428165 0.822547707521381 0.674022262692277
"cg07790752" 0.0663255823459727 0.713124926008897 0.862485555076346 0.869522180890851 0.867644341188289 0.833494438299113 0.603793444729871
"cg25605731" 0.073707282797966 0.453425053545802 0.920153111297244 0.925894363388798 0.93309576473195 0.915360481546446 0.864146815203764
"cg13468144" 0.119669956791379 0.873089419088694 0.859125255754239 0.871577254749881 0.86290621314463 0.844350486367449 0.789680210117074
"cg07409471" 0.0949713868648464 0.749664710235973 0.856142080110733 0.86735935882908 0.873695511303474 0.845415098766144 0.794582070081804
"cg25600606" 0.12650119410588 0.835785781469887 0.871729902202544 0.885151121072098 0.880177830435121 0.869129081765064 0.786665300478292
"cg23819411" 0.104803597926274 0.74281445728237 0.877898756917891 0.889845801040069 0.887824165284021 0.868042702572667 0.730143396490947
"cg08253808" 0.0571924362753322 0.678633701863928 0.814282135857409 0.840050551273597 0.853299941978605 0.822225040864374 0.743118572185251
"cg21685770" 0.0688091350114748 0.644247985122592 0.85885320648166 0.879940723906698 0.8818800259714 0.869728165806987 0.60378358709254
