"CD4" "NK" "MO" "CD8" "GR" "B"
"cg00366435" 0.0696664061709604 0.880197690321169 0.907232062296979 0.429427183234131 0.920557057489247 0.918973480293871
"cg07679948" 0.101774187577948 0.956177890813629 0.961046109048293 0.351934536172723 0.968596974215182 0.970012224905826
"cg07970799" 0.137293551919797 0.785670561381735 0.936882503750687 0.503757933553969 0.947017881407518 0.940198016943132
"cg11848483" 0.0805468735252518 0.902755090259544 0.918447024557001 0.268753557875981 0.924329504498522 0.904918669748077
"cg03388043" 0.0496917235671196 0.719512059538593 0.928941192954226 0.0621051390186041 0.947247834430871 0.947434203976954
"cg16452866" 0.111481196736222 0.946307095506698 0.933762220498436 0.211449867576615 0.95350704416639 0.954896465513953
"cg24841244" 0.0410082596169679 0.777758949581767 0.902806458561193 0.0568279300770242 0.909872751421192 0.918985762129901
"cg14477767" 0.159058814724113 0.819331842204831 0.847896040632267 0.707101612229278 0.874533226744333 0.853772694595131
"cg04340595" 0.0673497792865916 0.600833882637699 0.932604146017315 0.14255504122682 0.938995078880666 0.929066340926828
"cg26166854" 0.0921915729851048 0.640401893321828 0.845022059314947 0.437963692463322 0.880101576250665 0.866233450767413
"cg19001909" 0.130812164079798 0.907156287755951 0.950450521139196 0.226590441007618 0.955564437849575 0.958446862717233
"cg25226014" 0.064562325386234 0.577238727201516 0.920587670911025 0.137222407915452 0.925826374711168 0.907027848159296
"cg05074138" 0.110484957164763 0.854166833525251 0.877994043232541 0.368645627914295 0.874830310671423 0.87725100580284
"cg07786657" 0.047184246588521 0.186594077544055 0.953041517924426 0.059289711924645 0.961055251495008 0.967333480491109
"cg11236515" 0.197062354337504 0.932606152830666 0.972655370183081 0.430391118759529 0.978691634373076 0.95119439223818
"cg09032544" 0.0447578976383673 0.18613633947275 0.941761583522484 0.0576022872113397 0.958662722668485 0.960287965575141
"cg10837404" 0.210785260792273 0.89862625208691 0.898281849029149 0.68344181410411 0.913136584739291 0.909542479912147
"cg05705140" 0.0873946881737613 0.860023090376096 0.895987252762535 0.266975830113025 0.901729122370666 0.806250868249206
"cg10240150" 0.0823853512480898 0.765065908607702 0.863345995007856 0.277581093811928 0.857243255563749 0.882623643522817
"cg01154505" 0.20741592135782 0.944610424332846 0.957588461997674 0.60859531592045 0.96846435678748 0.82245909434775
"cg13619891" 0.0936937913944315 0.830713815908499 0.918350720569668 0.120285408060462 0.923316392139033 0.924572807839933
"cg14522718" 0.113248447210566 0.719109153910845 0.931094118033022 0.200447424732129 0.922583148879797 0.932121700983961
"cg11162888" 0.122250482519582 0.873150635179254 0.889866759890259 0.28709579352257 0.892904570294682 0.903463195628472
"cg24662823" 0.132109180985823 0.729973224319751 0.886767325430457 0.376264152223179 0.89418395025792 0.895511492036519
"cg11710595" 0.180647530378907 0.855781971248964 0.86771053323646 0.590312270344548 0.890513583597272 0.86882636580519
"cg07545925" 0.046959826646645 0.674010243994859 0.88057331911194 0.0524197550233885 0.889816038159268 0.871063718755501
"cg09016797" 0.138194257508763 0.884545341529686 0.86563594376094 0.417918115588632 0.861574498740692 0.87202536946508
"cg04180114" 0.089784673285189 0.849185650875066 0.857158519468517 0.222540669122028 0.874518705103357 0.855404669718927
"cg08884752" 0.128850147215198 0.853619666434215 0.792972663106172 0.484703630740494 0.840380639083507 0.860713148724022
"cg02661764" 0.127848246472866 0.876330898906527 0.767754314087877 0.539137696791563 0.813116271294614 0.843640952944921
"cg18735089" 0.123983673979503 0.838433766104965 0.908423941288454 0.224902144567967 0.922072822781086 0.896922803979091
"cg27519392" 0.123457032438901 0.867976142434584 0.868344902513629 0.332706518357522 0.875902331919537 0.864392771455525
"cg06164961" 0.054308217053377 0.632078118465273 0.874926954284367 0.0641755126135093 0.890506505079338 0.886030909368421
"cg00620024" 0.159782957441886 0.86653974193948 0.886482359870304 0.433779532186081 0.893527551688396 0.880112235051431
"cg27583604" 0.168502786536383 0.886354289366188 0.8844333432741 0.588561015239289 0.842310930206704 0.806995375625503
"cg06915826" 0.0911633264157767 0.822646732335821 0.842068572174071 0.258818366552524 0.860926566425335 0.844842956013845
"cg11465943" 0.231762288800841 0.918982155632493 0.916702512523663 0.638118467517748 0.920065505895369 0.905304173946996
"cg07728874" 0.0514948362269459 0.705093983477182 0.863510309474462 0.0632480178319048 0.862461470198817 0.87150128196223
"cg07748255" 0.0862368734966545 0.126407161037376 0.936823763178592 0.167442597710041 0.950948642204714 0.946861953525279
"cg26852712" 0.167945332938621 0.885521637597986 0.890275246171203 0.46929288384753 0.91796563762588 0.809656283345908
"cg13651908" 0.110276619529291 0.774302824933635 0.847273268101669 0.344242724019766 0.833496221109795 0.851601900395615
"cg00440980" 0.124810369593915 0.726608546426596 0.794209558748428 0.407421136949279 0.881041791597639 0.87373489951514
"cg18758433" 0.0984311651254022 0.702072584091635 0.856174342502139 0.215311088242857 0.899097361762724 0.875346155061566
"cg16775598" 0.117796269990635 0.851187074247845 0.86907633569849 0.231663989363937 0.886453587108946 0.886420565635726
"cg15564619" 0.0923568054199405 0.90270401343576 0.678175657249343 0.374457655270756 0.770727976221816 0.925481586509696
"cg24612198" 0.101410268353392 0.745611167258894 0.897155442547094 0.121876921967858 0.902238034033528 0.905359312970651
"cg16871561" 0.141000515061038 0.849933371568583 0.823658785501426 0.76019346157388 0.491897667086404 0.899843062456842
"cg17991206" 0.0984223951791808 0.769922472975288 0.849850335642885 0.343277256401217 0.832608552542699 0.778326856337837
"cg05103064" 0.145551514356354 0.165717559023893 0.90693947929525 0.480908726298935 0.914531399089581 0.90747589168114
"cg05070273" 0.172416743260597 0.862013761296766 0.856771711400534 0.498100197015252 0.869018382743207 0.871012000125223
"cg26402417" 0.884592127451117 0.53545899455171 0.125377993533171 0.876512847100399 0.150205969573109 0.252442900900986
"cg07598385" 0.745297015983261 0.0477494673789742 0.0574837439144232 0.592436907448437 0.0407577335395289 0.269917398850701
"cg24401262" 0.801201257276104 0.557307307134758 0.0452011647798761 0.831677332297367 0.0321092192728122 0.113147700317332
"cg03574571" 0.784606718445907 0.590690298457653 0.0837469155138131 0.738672364704577 0.0658510158835481 0.0468265139402175
"cg21400549" 0.80671993419065 0.0537914543437903 0.0773610826361959 0.525000044666556 0.102628458727545 0.514912098336049
"cg02386311" 0.78920429399042 0.577579317897305 0.0857359443336148 0.74001793048109 0.0823772712294766 0.0473523450066843
