"CD4" "CD8" "MO" "B" "NK" "GR" "nRBC"
"cg01154505" 0.0970317247926232 0.361920286572782 0.948075364954781 0.764320023486705 0.959151128300526 0.963715577483788 0.891198005245616
"cg16452866" 0.0940410069714763 0.153921797750909 0.943739773425674 0.951317220561731 0.950291218999242 0.954688086087687 0.911386915210339
"cg07679948" 0.123868671043582 0.283450692556504 0.950762952650373 0.955177408065142 0.953077333404244 0.957575294581549 0.940887445049197
"cg00366435" 0.0688135898334538 0.227031844060593 0.894932347484407 0.911532371028667 0.870322606472485 0.907721760881556 0.782711987195229
"cg01874152" 0.0751913529056097 0.470642758678122 0.871303985762293 0.86039122834722 0.823354552287065 0.88886452629647 0.632714907990234
"cg19001909" 0.138372257011717 0.238388185469222 0.958459804435743 0.965171827244281 0.931520279540716 0.962218483648143 0.888585211176092
"cg11848483" 0.0712717937600651 0.122138093448607 0.900474497027172 0.89066055040162 0.90700476724388 0.908096566421808 0.741162663343689
"cg03388043" 0.0667776969809192 0.0595016062134225 0.920505316908805 0.937634031279498 0.705377913686519 0.944727521860278 0.873649748972171
"cg07015803" 0.133295729601054 0.191795506932671 0.925580440323087 0.940835899046896 0.944650703980118 0.943472561939932 0.872605376701238
"cg26852712" 0.133770087430544 0.40875526825509 0.884414412207753 0.886239058935213 0.8574002993389 0.910481877143109 0.886283803593539
"cg07110949" 0.136450941775241 0.154878670364818 0.947042444584051 0.949756499557889 0.91067646444754 0.951754989893278 0.949742595790615
"cg14522718" 0.072785631853174 0.0546746015655074 0.925776624107977 0.941126260623777 0.69884267064077 0.926883846218948 0.91044876777271
"cg26166854" 0.123366012795265 0.57890629129825 0.864943685795179 0.874541463706234 0.670028017443627 0.879342618524622 0.754395718878788
"cg07970799" 0.173449255225852 0.563281950386097 0.925563445654037 0.916314846231446 0.760566916950229 0.92671147089572 0.838226442671735
"cg07133479" 0.149079963723045 0.624228258686733 0.845093106307051 0.87345791206276 0.823511933871382 0.833826808342498 0.764452882745109
"cg05705140" 0.0817357551752035 0.258074020308698 0.877191112080297 0.752175678033954 0.831399043614553 0.891954099611902 0.737340815008123
"cg06915826" 0.0848896371520875 0.159842166758191 0.858031632777123 0.859900842724328 0.85221401650216 0.859888097405234 0.798231619945501
"cg05931551" 0.201058992155936 0.74950713749503 0.863827950223139 0.877430491036032 0.871094131351953 0.873865009490584 0.814859544472911
"cg23357533" 0.144312823020467 0.36913705683766 0.869180160067549 0.891597280913482 0.877054373002726 0.878757537774888 0.862362865437269
"cg24662823" 0.0912781551082907 0.251846604032852 0.885446711633806 0.897613657770425 0.695784467349636 0.895510887671711 0.74370149754454
"cg11710595" 0.18279470215592 0.654075626645217 0.868028186851424 0.897587161431948 0.850832180236494 0.891007619751373 0.712968317738004
"cg18735089" 0.102093187690039 0.112234366742225 0.891113555282747 0.902565407147039 0.84331210632043 0.907907079411145 0.764597662283859
"cg10240150" 0.0806856816668013 0.207110579809794 0.843686891206284 0.880779181448767 0.797190267528471 0.854771678489018 0.66679742025178
"cg01490728" 0.0711800260891118 0.220605646531153 0.819071201601163 0.838445748650283 0.836872503784037 0.826132162649863 0.63893823404228
"cg13750061" 0.0729462826234928 0.0662145139859591 0.856383706784996 0.872257638546427 0.839732996125582 0.863484848080916 0.72643845292169
"cg08338281" 0.0950822705621282 0.102776097321368 0.867131356493945 0.861008552777122 0.835265548826508 0.895712889915449 0.848256142286321
"cg12353788" 0.117667152565218 0.32740482287503 0.848083579673828 0.869933503271453 0.865005257130203 0.868955145085976 0.628099158965821
"cg10837404" 0.225623899988276 0.631612527348269 0.905590334753692 0.903015857277275 0.909338166763147 0.908791233818044 0.892892044212214
"cg14477767" 0.178187785277443 0.724870252476367 0.86812302748179 0.859400849725689 0.815591758599652 0.863860983662913 0.550084202734156
"cg24841244" 0.0645896607665429 0.0547872609418819 0.856083802854711 0.881913580764748 0.740059876999153 0.869121280770432 0.712858901159272
"cg00620024" 0.202752422073367 0.556838806255536 0.887769046240025 0.892310932548834 0.877136031639005 0.901254283075528 0.866518729715191
"cg10558740" 0.11204510513059 0.147599505278715 0.867021421057231 0.89410021436238 0.85381794534108 0.873322196318391 0.770139290389692
"cg23896695" 0.073016021262105 0.0813822399771803 0.853863173328481 0.855390304985136 0.821808104400726 0.833659962001134 0.682883084406841
"cg16775598" 0.113889285937563 0.191719215667203 0.863568605039763 0.874066025795494 0.859808351731102 0.868129245526101 0.712114157881999
"cg24008435" 0.159403263593038 0.406718607837686 0.860804083372436 0.869505231376307 0.860714844565585 0.869783910571221 0.819318396926272
"cg25486399" 0.12014634171562 0.387378207266088 0.845741566474649 0.870425184956294 0.846765133750192 0.838323530162903 0.46198899361634
"cg18650518" 0.076505539471208 0.070436191920878 0.889273431130895 0.881155346949567 0.650441019212739 0.898346214709201 0.790907780849918
"cg15039797" 0.0869385104457281 0.290099395249873 0.948882160750755 0.950362790092662 0.248531258258185 0.955008006128156 0.851440862553775
"cg26400113" 0.0784784520614799 0.0795242790574835 0.843481177943858 0.84852159182762 0.810568325257909 0.851762549592008 0.704390269298881
"cg08280368" 0.0930271300843802 0.1228268425166 0.878271421201338 0.778763018106219 0.840356391852815 0.882392872830049 0.721901778609866
"cg17991206" 0.11152119762183 0.298522689653381 0.865390706684212 0.832993155179452 0.774751970035627 0.861379854169382 0.660726430488727
"cg09695307" 0.0818121667205862 0.143502034072559 0.86479039811776 0.811990659386243 0.783030290262238 0.860718921201342 0.656357229423166
"cg22230912" 0.0864853755604798 0.116050808794663 0.85035798240889 0.89739019648171 0.856907031611136 0.807368703387238 0.559268887116416
"cg18758433" 0.0916398046444632 0.160298347367658 0.815874130290012 0.900351837866105 0.697671251457051 0.886876447778822 0.792551850309042
"cg04340595" 0.0684225367489965 0.0694406086047178 0.896494722758869 0.919619670928535 0.497344441157844 0.922806773614755 0.793343687451749
"cg25599673" 0.116597399913401 0.218675103607717 0.839340995316301 0.845620310472268 0.851793155887806 0.855448018604661 0.737400562652433
"cg04712122" 0.105065996821852 0.150635100351607 0.83052745482293 0.853682100305774 0.854865571716604 0.862270556744176 0.69964651196119
"cg04347414" 0.122267146096035 0.129309966915871 0.870426665569083 0.873977257972301 0.85420765113398 0.898815523610502 0.723760402977207
"cg09526469" 0.0916356076564689 0.366213270204322 0.855165646528896 0.722427582974402 0.811135661734227 0.863086181541501 0.323465728508052
"cg10111816" 0.080797493193332 0.0853297146303539 0.828707066940679 0.844094720385365 0.810516218149894 0.808107163510793 0.755388743757265
"cg21360910" 0.730517477987054 0.631280662197558 0.164947202192616 0.0863802718904366 0.217277490707002 0.153161538767749 0.186551856126524
"cg10376161" 0.835428420802324 0.793985661186041 0.0701906630977635 0.0554307633950754 0.761450646916354 0.0773746950609014 0.444099601602356
"cg22018086" 0.787140967683714 0.639970129804842 0.154249539757572 0.221528291422591 0.315865468011697 0.079707927650662 0.55516839067438
"cg16764781" 0.827537232707597 0.819869844950704 0.0841604283386317 0.258981922401262 0.455589829481676 0.084241688231484 0.42958903526011
"cg07834069" 0.870571880298413 0.8801581651883 0.0746303905564435 0.200287738213628 0.647658665219155 0.067029746890424 0.602782553706448
"cg23671196" 0.819185893058941 0.843731019480503 0.0659858073433404 0.0670899131237802 0.718738351393461 0.0627384944540318 0.169864086496946
"cg26501007" 0.807398605589693 0.796867574627074 0.122731487819523 0.135133390758211 0.114412484451345 0.376562648213381 0.406797688513764
"cg22152931" 0.886966551974396 0.889089827194909 0.0825135976872221 0.0968881971325578 0.774357727758807 0.087093038051414 0.614836043033831
"cg27097542" 0.811669547840073 0.845969953096778 0.0827558729540025 0.28253631784552 0.375169405327658 0.0631731644082223 0.226143694173514
"cg12465678" 0.858716686634756 0.829217994772546 0.093445277514618 0.648260299823611 0.0935731614562857 0.0947347563182123 0.515111631071479
"cg09169413" 0.815021273000553 0.824871219322877 0.0891774147760047 0.0865766422813323 0.435901189233008 0.170854092789518 0.339327941490407
"cg22742001" 0.85369372313529 0.854170099693511 0.0692084074485222 0.115011740957181 0.695414828484788 0.0639098288628288 0.413147997242051
"cg24401262" 0.792293311044732 0.821780298799825 0.0484304543798356 0.0468655168503121 0.536722781911272 0.0427744291700635 0.309287770026444
"cg11666770" 0.90393844550008 0.864366054898823 0.318671479986916 0.303656526623299 0.306140690607198 0.276131282308242 0.224135556382025
"cg21593001" 0.754303758413293 0.770196831898117 0.0904312150574808 0.223996358666575 0.176718726983558 0.0694112864932374 0.0651872969332885
"cg05228359" 0.730337834960391 0.726764026786692 0.0496822069746478 0.0481215240910985 0.32459671930274 0.0428476021708793 0.109096453256109
"cg09885622" 0.85615421431997 0.839471969477275 0.129460661745654 0.380175304172759 0.110231447565524 0.273419184507068 0.415797224715708
"cg01543184" 0.800700069362911 0.846921714880577 0.102164729736822 0.229383165250861 0.298248074820679 0.097308564137643 0.0894930945903004
"cg06650256" 0.89788112118225 0.886368112663364 0.0754257384774219 0.604400137556789 0.309919525373562 0.0887090023228575 0.445503198326105
"cg25025181" 0.756811745485533 0.80414168666786 0.0482432672629218 0.194259194125542 0.226430145640168 0.054805622572152 0.105353978312879
"cg16602097" 0.770411718258852 0.713677548803727 0.0658855571567687 0.0685106222112137 0.399111484984001 0.0742438717205208 0.296478313179534
"cg23249922" 0.932220359117499 0.951823635125912 0.0686340034323271 0.0569770489484838 0.843105995949877 0.190846500866166 0.593916912292308
"cg09287328" 0.944138187725097 0.947345033051564 0.119085798728553 0.0836259707206546 0.781083250971653 0.219103623523514 0.631943328210622
"cg19628988" 0.732429159880969 0.657012118724798 0.0633746837668842 0.285748303321044 0.0682352446737794 0.0841641356750647 0.115339575039682
"cg15982099" 0.848507686002591 0.871045286990858 0.0688481657143661 0.0518434678622533 0.784168956704095 0.0464661872376228 0.138844060143763
"cg27058988" 0.675385895297284 0.520397481627716 0.0411699469931967 0.0384955247843095 0.212936855311847 0.0377773447856492 0.0763516100293036
"cg19369955" 0.772415062297902 0.76350020388612 0.0775958563855885 0.0967702828630291 0.242503307981103 0.0682679918083951 0.388670909785462
"cg11377213" 0.856192749476576 0.808329709652523 0.0622817862644586 0.100634706952401 0.68516291581927 0.0776052068313946 0.334757098539083
"cg20281375" 0.771873928325005 0.760967374186121 0.0665488273101758 0.0997220554900888 0.345018141328853 0.0561719571297778 0.140078083905569
"cg16261114" 0.84030582336592 0.838444116701513 0.088185303110434 0.176084466368456 0.48526094790531 0.0706219310772406 0.239059518146133
"cg21495704" 0.894743760234233 0.891998591567071 0.093581883141451 0.682006751532065 0.0830103626649586 0.100714575574949 0.432138525891463
"cg16922167" 0.804621073580475 0.780979373840167 0.112001790741345 0.235472415699764 0.256685824121615 0.09208213851389 0.13439947374785
"cg25031824" 0.803413624380887 0.802086542348258 0.0824862742030536 0.0751566423906328 0.452410199608356 0.0699199496499856 0.117770580925089
"cg26923863" 0.833878133190165 0.706450123694564 0.048500130638855 0.559962323583735 0.0644216431666065 0.0451161348093997 0.55091983646373
"cg27027151" 0.727382619788281 0.441327456554132 0.168209109458202 0.0584621372559082 0.131965998792953 0.169875690055603 0.177219256152214
"cg18150584" 0.863853947422323 0.877727631093858 0.062603968883163 0.0917316514532225 0.690739772634516 0.0571300375547171 0.129257850615969
"cg13468685" 0.82709486272197 0.83803943636455 0.0805662613327739 0.328658017684591 0.116822787338233 0.0713726206366177 0.387051804799172
"cg09037630" 0.718678858582737 0.708892354225311 0.0501397086310615 0.042811944384937 0.0506655896007248 0.0619466547632525 0.197234878793707
"cg23582982" 0.862184608677518 0.884108803463861 0.102513127970462 0.254078179519669 0.347446913344858 0.0678602188292591 0.269906885524907
"cg16097858" 0.779320875527704 0.795146279498883 0.0779729257944988 0.0743769918348946 0.206570197883858 0.0766333160586118 0.161890829047153
"cg26402417" 0.860450871567751 0.871791864148195 0.0819377247076427 0.103196440508966 0.548201116131694 0.0901003526196316 0.106842987880418
"cg07598385" 0.700593891445981 0.536076172787188 0.0530237195556391 0.134516638312414 0.0357645076961897 0.0330796016870436 0.0377410971990213
"cg25978218" 0.790917592383451 0.806179985139235 0.0687330148772567 0.238570994220138 0.0458137173423899 0.0578567588177707 0.215285478303154
"cg02380585" 0.719414434657157 0.729571681359972 0.0411165650952051 0.035238495315877 0.0381195967440422 0.0354268336188454 0.0496702612026063
"cg07785552" 0.758047068588281 0.618682682189504 0.0738216665784017 0.0629271895977253 0.100090291467775 0.0629995011236843 0.282641462176517
"cg11787160" 0.86633778342166 0.860079558012503 0.146073456639274 0.168736739136328 0.234286129158779 0.133843427962638 0.153878192260017
"cg13448978" 0.781376032797745 0.7200900174006 0.0527609548977967 0.121090920236534 0.185951919790217 0.0373634721771721 0.0547820804488772
"cg25729350" 0.764843330158376 0.648862212930899 0.0671120664483729 0.063400703533389 0.134557596043536 0.0693051360446281 0.111933398543364
"cg20455854" 0.775431593618423 0.64631567647753 0.0768215409928995 0.129462453304225 0.0642202116124884 0.055300549998494 0.0544690489632093
"cg04742550" 0.817610801016514 0.39678324426259 0.0405308096085708 0.574847321191467 0.0377634642935644 0.0325564464261758 0.116705474489023
"cg00219921" 0.745296366775343 0.119118979774929 0.873274688827486 0.873298478537547 0.825581080760468 0.871926796449276 0.804869430599142
"cg25939861" 0.634029200081196 0.066605345126517 0.82757977989891 0.862161939333363 0.598860506771555 0.853079664423972 0.634352558834094
"cg18483549" 0.531752272807063 0.136838675148612 0.866932191309768 0.808014767529493 0.871293923832813 0.86591796508644 0.808949841810833
"cg11531557" 0.712737633140443 0.170806019382044 0.859733230271356 0.877486746299461 0.803107526317373 0.869751173119744 0.754452143738342
"cg08777095" 0.283539013785026 0.0929507607352746 0.88721989317244 0.905305387983191 0.708941976500974 0.903704788343797 0.725423538705999
"cg12655059" 0.272586270860494 0.0845747179029136 0.850897332345079 0.827206925484211 0.832065248221893 0.856425821444053 0.735152699263768
"cg18174654" 0.789034510406635 0.179279540095013 0.828368281205048 0.865783281713168 0.864170036054241 0.856053601468639 0.612287789093129
"cg25535316" 0.575332921581141 0.125246930930402 0.835398383125491 0.851632845649097 0.76457072317574 0.833166738697206 0.721218554886076
"cg06419846" 0.869315222421797 0.288229681583365 0.944237321146673 0.952473898976418 0.937877513564652 0.940465076233061 0.887924835781646
"cg02324835" 0.474266962737241 0.127812986650974 0.837287925173696 0.866438076817432 0.72730877534236 0.863358066609275 0.819563596756242
"cg02387618" 0.123713396962304 0.103686275784112 0.889445857227708 0.898120242126844 0.777913738482241 0.906624663439042 0.764231288258036
"cg16193207" 0.100229806231763 0.0804253509257642 0.845925714324901 0.855690619493371 0.809113008035028 0.84588461802734 0.789684115533345
"cg04394724" 0.753733162988164 0.189772273890153 0.884003267246113 0.877789768021545 0.588055700425333 0.887114935611145 0.86514021187448
"cg01002223" 0.796999921145754 0.268437159108219 0.906594351157684 0.920078785631302 0.914945356774123 0.916122656854748 0.795998392003918
"cg24150662" 0.145086021459865 0.122504060011536 0.923620387727717 0.923062488877746 0.70690321518363 0.933918625186313 0.818003758563996
"cg11210357" 0.0870647034219581 0.0740661030311611 0.845897107839297 0.839974563703943 0.753608416495896 0.859405135054202 0.80115227169089
"cg02598071" 0.394708412457852 0.154175345348741 0.849765644481329 0.878203931146271 0.850530675196233 0.861139907522866 0.777117647127483
"cg07545925" 0.0557368390543594 0.0451275309936358 0.854268505507484 0.838171811672254 0.663640786135374 0.86049127092638 0.640810016440936
"cg20661080" 0.0698396663232369 0.0523828855963854 0.82657876944832 0.853470388813438 0.6912148963268 0.857394061742998 0.685764420283679
"cg07781401" 0.16296451821924 0.139181659034854 0.887002471446053 0.895650071154514 0.865177598875989 0.897873067627422 0.813983367087374
"cg08450017" 0.125398565291572 0.0530562029522278 0.904158284778802 0.910243211933521 0.336049866035618 0.924851724706531 0.787161803477941
"cg21407196" 0.114851044733016 0.0897643107848002 0.83951999617209 0.862894387544362 0.784407713996968 0.82451936702826 0.793854010164136
"cg25226014" 0.0829624286529189 0.0626493269397367 0.878040335417903 0.854424759290933 0.542073530304697 0.881439990173403 0.831258668497746
"cg06164961" 0.0725013126113669 0.0642945006079697 0.868481720284876 0.885981256836564 0.604760833655707 0.878621100746453 0.681903194495266
"cg26033526" 0.204085583964263 0.0682541329491067 0.84471131871382 0.77603863789571 0.630824122122508 0.875173813210973 0.673825242959276
"cg16596052" 0.60618590076338 0.26152457697171 0.933511911143214 0.885452028097614 0.937725982243594 0.929412071682479 0.923619668700915
"cg26720010" 0.128984051226539 0.104759228872807 0.844132383092783 0.875375430245734 0.789177782107231 0.840039267789869 0.779854022075255
"cg01949403" 0.818541814542653 0.240112841238843 0.850921622529003 0.856720846314678 0.835679587324398 0.851664469396152 0.772235285051252
"cg25235205" 0.45489791212244 0.145757353037998 0.820042495811744 0.836635328940831 0.778526637911265 0.833355174170376 0.701697747883433
"cg04403423" 0.171688288391965 0.0870510828893658 0.835309521032081 0.786953799236187 0.71461435494766 0.843732168898709 0.820589050822033
"cg11067179" 0.784695858551679 0.237950085723372 0.863442597347839 0.8173687818601 0.861680438277889 0.858942391255998 0.788534687042351
"cg24441810" 0.0859824414362361 0.0892424569646034 0.852512020518644 0.7616775321339 0.806415991240458 0.856248752029358 0.815304976703216
"cg22512531" 0.272315625060471 0.062749576538418 0.874006126776656 0.872605504221893 0.319142304467057 0.877433442811445 0.747017221036457
"cg10977115" 0.312002254931959 0.0864041124158703 0.886135736774478 0.900111038428069 0.364474477176232 0.887096882630735 0.721928998225873
"cg18522931" 0.793685713549913 0.824105784993383 0.0799615243089983 0.0735990209766592 0.654688298922804 0.0753580114915224 0.295940181520969
"cg04566677" 0.838219132761926 0.855314964314038 0.0684801027881606 0.0629133410279784 0.591726845201476 0.242803531355635 0.400396805885407
"cg03664994" 0.763367609587067 0.800068151991827 0.0586517405912651 0.122162446514012 0.58349464478384 0.0635433196527871 0.146066576556804
"cg21340621" 0.582808320047583 0.755986529361511 0.0716986944327686 0.243318512915774 0.336045440475783 0.089214284568697 0.168057253336608
"cg09832245" 0.734937780898946 0.784641909419003 0.08084057567509 0.0574106697294549 0.533187933931481 0.0620220384656944 0.215040915751364
"cg07799277" 0.642178842367664 0.769304955807494 0.080619840310689 0.127871446092457 0.484402737471094 0.0764238846062379 0.128576338814607
"cg16207263" 0.561757972077391 0.666245527769322 0.0675059367790297 0.0737621830645366 0.0892624228654009 0.0576169906176312 0.0593617155267912
"cg13854219" 0.768966896598209 0.810191764050858 0.0515617644625863 0.160390007308225 0.521323738682857 0.0782767253856087 0.208572652769878
"cg24448340" 0.866636576649937 0.890281655133099 0.0659615858290766 0.132566719121215 0.755887889685268 0.0587730683936413 0.571098692052145
"cg15935770" 0.860691221911391 0.884842635307295 0.0604062226665551 0.136783625149808 0.759190468584877 0.074908056106252 0.462093398258843
"cg01372366" 0.732400434579418 0.779547221337453 0.060312124889726 0.136416961059165 0.357239809988276 0.0507600239188406 0.348354056978665
"cg01233897" 0.701955593077625 0.732823842643944 0.0782703398545872 0.059224765792799 0.252699481939526 0.0786648436828941 0.0868057780731561
"cg04642300" 0.658161754553831 0.682966334604738 0.0545102019002097 0.0804615196422515 0.0495481824905933 0.0491773086914618 0.0711244801902097
"cg20545410" 0.789642789435934 0.839303547241958 0.108156174088842 0.0804425720284167 0.292586791363359 0.307346876144772 0.438030177299974
"cg09914404" 0.658663241682151 0.74136379232458 0.0942266878632365 0.227348283220438 0.116546022585474 0.065820377739713 0.096787948502231
"cg09349128" 0.543092088756529 0.722955262682017 0.0744303355714539 0.0980378269328923 0.142152045382578 0.178292424221722 0.171540745636015
"cg00159523" 0.758563573423802 0.826874957777124 0.132397893492298 0.140416046134003 0.464392172691417 0.132654239169715 0.116782661046571
"cg24902461" 0.679976964313541 0.808050419448114 0.0790554876030132 0.0880256261893586 0.445456239344494 0.0718160385323432 0.263324127928333
"cg25711558" 0.641858870991724 0.730964557583051 0.0470410376138448 0.050396518199433 0.197024934219964 0.0419875174691446 0.0900354898185838
"cg17329534" 0.125635991018027 0.812728042650506 0.0730044320990464 0.671822286563697 0.374363935793143 0.0722747883676771 0.280603118476349
"cg16563370" 0.684773824754662 0.77831947854246 0.107041801403444 0.139463330671539 0.0996245677817097 0.0763899863722308 0.0881470167589616
"cg22193912" 0.683303007078426 0.784498086227056 0.0462027324870804 0.0924891221259461 0.141354763642416 0.0337223969650468 0.0369925407403022
"cg26872907" 0.916757314027156 0.929456254318445 0.0795673111470674 0.926891215574236 0.910374126091769 0.904183235285751 0.800574219363078
"cg23244761" 0.950733565339554 0.964584041686564 0.128410950865288 0.959001503347728 0.949586405327526 0.949893265105479 0.900287959600078
"cg20559385" 0.873754990039138 0.888365195550061 0.0748756224464003 0.871728210424075 0.871376767695369 0.819378037842912 0.717449465222486
"cg10480329" 0.899418343304477 0.913809227563566 0.119226229228992 0.899506102844224 0.900837640282828 0.845439226851989 0.874533269784372
"cg12655112" 0.926635559973803 0.944153811498474 0.123357392558684 0.883562794122831 0.922398065943608 0.731560721201135 0.752306920573666
"cg20610950" 0.899145201997577 0.905801715958891 0.0932830934366116 0.90230928462363 0.8945142431168 0.586673410474904 0.866315493209983
"cg05923857" 0.801142656509352 0.900731260370807 0.104366363450561 0.86593791381569 0.881430707061078 0.798939357803864 0.831619537439361
"cg01476222" 0.887734077150403 0.892186507275442 0.116541615298192 0.837614203784016 0.845268062142175 0.834061640199684 0.834088348869288
