"GR" "CD4" "CD8" "B" "MO" "NK"
"cg16802439" 0.0522489240346859 0.977665006503324 0.976958797224915 0.979212568517767 0.754045293072219 0.94897844237686
"cg05398700" 0.0803133885088926 0.962965963712736 0.958289617511894 0.949302522951865 0.90253644455031 0.973986571885472
"cg25739938" 0.0541746057088388 0.917152919986214 0.917089401822729 0.919142147793239 0.882345140064099 0.906117918934173
"cg06270401" 0.0498982609431144 0.901299445945649 0.894466373023461 0.919523126105468 0.866479762657344 0.87200786671801
"cg22381196" 0.0460815070070394 0.941586219148041 0.93808647539101 0.943042502397634 0.729926988599045 0.929345313252402
"cg05936004" 0.0483663932374294 0.919739189553005 0.912187221421939 0.913591577708831 0.803573546472583 0.892138974757663
"cg19037107" 0.0638057929780076 0.914027859138206 0.908319140990092 0.917761929306551 0.861534249232687 0.890384277261357
"cg08253808" 0.0514229791780289 0.920616030796013 0.926431447944862 0.909538954156608 0.762320056571705 0.908282182848845
"cg25600606" 0.0845568229128191 0.927805965463949 0.925251628933922 0.92530819456337 0.868482775168134 0.927625305619288
"cg05627557" 0.0335720818415327 0.899912430906017 0.88852839744268 0.898169542950553 0.728019102173168 0.848625723670045
"cg21285555" 0.0600225725190771 0.901400513834771 0.894705383714153 0.897708892407563 0.822038242742561 0.827149787251729
"cg13652008" 0.0786903773939101 0.917774066298463 0.916554756925542 0.918655806230246 0.815663328093959 0.891166959288057
"cg12483340" 0.0610427188281851 0.898456296979125 0.897051224833215 0.891178646013127 0.802816292575569 0.894331270868878
"cg03146219" 0.140977307574366 0.961370439682167 0.961671003362961 0.956751096747861 0.922723793188866 0.966652345274484
"cg00705730" 0.0659622032964604 0.883393413879381 0.869392098177624 0.891554691556194 0.836601954643047 0.913336379486732
"cg11014468" 0.103454072469497 0.912798798701902 0.91209538255298 0.915295369877718 0.89111219538622 0.904849296648747
"cg13595556" 0.0543703107512457 0.906605274479599 0.900249698170848 0.921254135706963 0.713855716499962 0.860608651859713
"cg00660167" 0.122290351318949 0.969027274076469 0.965964852612798 0.968914041635215 0.802476693725058 0.950016335131407
"cg25074794" 0.108061031567599 0.940407817489968 0.936575156340701 0.934295062164923 0.83522960547416 0.908898720148196
"cg08154963" 0.0648816636543684 0.890028973631941 0.892795336011413 0.885199193828556 0.806214001619043 0.849904767460264
"cg13468144" 0.0791131893302048 0.838726201431637 0.89891088044919 0.906932314037213 0.87521758643838 0.894662422588083
"cg11070172" 0.138235372814492 0.956858115836732 0.930814762950579 0.953653411682518 0.916995994736268 0.943328095594904
"cg15878616" 0.0695464369692484 0.979099466046894 0.979569611520946 0.975122857125448 0.557247440394067 0.958799089991785
"cg10487428" 0.0737326855232532 0.897058166432714 0.895063372075432 0.902106763248754 0.799923712090841 0.850286084441011
"cg23819411" 0.0904332112602736 0.938746110938902 0.935078618677659 0.932636027946934 0.749975638573215 0.932529264372682
"cg13618969" 0.0956494286748807 0.903020915334659 0.899708807603435 0.8826009766629 0.875117259710551 0.889883599466665
"cg21792134" 0.108729107953775 0.914784088058324 0.916396730780821 0.922523349878743 0.852866743051605 0.932997100392689
"cg17852482" 0.0779702473111706 0.884398257049193 0.879226550523097 0.877070189414402 0.844558347841178 0.86006802078257
"cg10611016" 0.0576527222724917 0.916537647196782 0.913764676057666 0.905655614633499 0.670875450154809 0.910983121819741
"cg15658793" 0.0576907562372315 0.926617387807256 0.898142733062804 0.872723118137365 0.704356507970809 0.877179207119037
"cg03340036" 0.0640602327508416 0.891026010701825 0.89774802130639 0.884331953037595 0.743635325012982 0.895181079198226
"cg01699630" 0.0964301812500957 0.891216342980927 0.874745213099375 0.892354885939891 0.872764189800852 0.884890167100237
"cg01692842" 0.056806338488781 0.854951213046222 0.849557015668458 0.861932943000229 0.808285132286678 0.835689379043686
"cg21685770" 0.0518263194039177 0.892356526248441 0.892218867461309 0.845092929707946 0.702245529932125 0.866431785212058
"cg11153071" 0.120605706063843 0.983226268745599 0.980524507145918 0.980736731736469 0.651387648742262 0.967903969334557
"cg09859659" 0.111321713513685 0.900638865412926 0.897894981092936 0.879550633325081 0.869694700571288 0.847813612743465
"cg04609694" 0.0885160216718406 0.885435675619448 0.883570822784531 0.877568279750302 0.805850487948808 0.888510263889524
"cg24737761" 0.0869845411634812 0.889204319850408 0.870877647387413 0.883956070674504 0.805128591002232 0.833713120897445
"cg13852284" 0.0831291265758556 0.856380291017979 0.839753983110297 0.881354094011117 0.848693454050255 0.822728725334622
"cg11313468" 0.0592856844083195 0.864109136280802 0.853571055766694 0.862566251499585 0.745893932831322 0.837857353373856
"cg00439981" 0.0515388415250421 0.906798930070054 0.910277917326583 0.903990440531291 0.577536422322177 0.880448343159427
"cg24504014" 0.0819223050469631 0.918250065690551 0.914703223733462 0.910843097622475 0.672248407872143 0.842995291265068
"cg13178361" 0.0875577438106008 0.893552700413044 0.899195448350591 0.889276009597131 0.747880590076935 0.863355917558059
"cg04858164" 0.0940611423753051 0.888310357378199 0.883198803229374 0.870741324006178 0.804505316945391 0.888076387145923
"cg12809098" 0.0944276203734537 0.912552328695062 0.912179447848558 0.916960299084756 0.701693846305396 0.900198226544926
"cg23169883" 0.074868094836275 0.973357800794227 0.971262203712963 0.971692772263173 0.453301888478227 0.949041777793147
"cg04855678" 0.0731602442892224 0.927211523074021 0.926878375508648 0.911616169301353 0.594055404228924 0.847666153070915
"cg18023065" 0.055299558636198 0.965539405736188 0.9723188225091 0.976140371799393 0.380573534439415 0.868344828279123
"cg07409471" 0.14493351039989 0.920154167716643 0.922426404598082 0.930335307437443 0.854952832893 0.89925288034232
"cg10206397" 0.114155962758455 0.904140263833178 0.904100227695218 0.912787761675166 0.765883009121744 0.892245444519844
"cg17322655" 0.928585393055772 0.0815641177910935 0.148251870663077 0.501026662858411 0.82573748351076 0.483286264125673
"cg11316887" 0.885899660557014 0.252852004535138 0.150795184436669 0.144415491585778 0.84109517000552 0.144569268977223
"cg13815684" 0.929725602031569 0.149830068021784 0.216752015298949 0.234112792721882 0.913491472959874 0.680476272644401
"cg14165142" 0.842952335481747 0.0667555231707936 0.0662546644022969 0.209678680102225 0.852819665834816 0.226766652419937
"cg18148314" 0.856965892208074 0.0992362791346715 0.0830380585351981 0.216646641435207 0.858375416644355 0.179161310004179
"cg03526142" 0.852438435348597 0.0616256646022654 0.0620993523468727 0.328760760103601 0.791165678058685 0.120561229573301
"cg16219283" 0.875181033850569 0.137055245678866 0.196994889365362 0.104996994213222 0.87008896857114 0.355929011585408
"cg01867764" 0.780963495383837 0.196095167732529 0.197502923534827 0.0705299091251063 0.43807924602583 0.614034013617656
"cg21359303" 0.92251440474803 0.115309585491741 0.132338408174549 0.336664655252943 0.910908103604802 0.22508938011046
"cg17587997" 0.859717044366144 0.151244729891846 0.147597806801992 0.105560463128058 0.839476458845395 0.149529255580925
"cg09621572" 0.899230490651999 0.155586167677654 0.196393975436869 0.121083874469069 0.906317307174147 0.237300928150502
"cg14597739" 0.914301120987235 0.162254936411839 0.218039141620999 0.130026961551174 0.915845906317659 0.346133069052651
"cg26404422" 0.825127751516749 0.0977862064755381 0.108200396060358 0.117732508773822 0.745128584142704 0.201594502706967
"cg02787852" 0.92186738096764 0.117392350277919 0.121595463315614 0.270416513169965 0.917005768107672 0.522716130736557
"cg03889044" 0.856446231390576 0.085340911466276 0.128681472779219 0.444027647575199 0.520655068327325 0.397695213950632
"cg15519096" 0.877580224897002 0.0753802096566745 0.109802485146166 0.212282679429721 0.848755352243144 0.244356836834866
"cg14480046" 0.912334242641703 0.0881957773441071 0.0898741852911741 0.31503045407211 0.870238588165277 0.51975802055455
"cg26106166" 0.807249621615271 0.104933158091286 0.102610076291033 0.123224848486221 0.640342400713774 0.124905521523254
"cg09221159" 0.758746633092662 0.0684733179897942 0.0734328306022157 0.144943346707909 0.483785545752273 0.114339080364315
"cg07069934" 0.833117176969896 0.0640824113109215 0.0644907376123393 0.0689191698596349 0.834173976096039 0.324164751828023
"cg15903956" 0.872359855961108 0.204525165857929 0.1870047253293 0.0709951482649113 0.714971695857928 0.577132990619753
"cg12810837" 0.798220112362779 0.057339581665031 0.0580496485893454 0.068866568228212 0.720323013215494 0.129312828673445
"cg17078393" 0.882118158834869 0.116708647104511 0.100812939964185 0.117961756322779 0.876515802545123 0.442604738256128
"cg02402436" 0.84951255137936 0.0767370194555671 0.113083042288254 0.0500368805250288 0.859537166235182 0.182485530267355
"cg17161520" 0.830676304044788 0.089424686975823 0.0723738041066153 0.0660655974461639 0.78362595523803 0.227491199259724
"cg01170124" 0.903623562809198 0.0603822342798509 0.0555799594245778 0.292303585445213 0.88863921765427 0.316084762730862
"cg10145533" 0.858977379120766 0.0936707824083677 0.104249293262296 0.104455641540895 0.821196761490118 0.177941942260092
"cg21959598" 0.873682629134086 0.107778233342726 0.158080156717984 0.0930053375537581 0.828597477860197 0.13290566619759
"cg21999229" 0.910584466345786 0.129496528727389 0.181943290814402 0.0905486970508273 0.912685463762071 0.299032773399811
"cg14441276" 0.871607039249433 0.0948083727950892 0.120303032857693 0.0537654211578261 0.872174372105028 0.228430996311205
"cg02212836" 0.803322737294523 0.278635521487659 0.357771197159864 0.0771093635895551 0.16111515697749 0.474989720023222
"cg20805133" 0.919907999198949 0.0503907424450186 0.0577451847609143 0.319489687578478 0.894587560532862 0.334068537502195
"cg08169020" 0.897925332718914 0.045124962430523 0.0405088625843834 0.237530638096743 0.888046352569759 0.187903079210504
"cg27377289" 0.909912731217641 0.102886039936552 0.167525611139127 0.0616852706022187 0.895135580940367 0.535325742606052
"cg18920397" 0.84113117194112 0.0661921381147778 0.0577173666288941 0.132664709773804 0.726361250047407 0.193205054506997
"cg17169196" 0.922311688681308 0.114310217236244 0.156090023612113 0.0890067138351038 0.916143292198079 0.370931907196331
"cg11354682" 0.837042171250029 0.362258997544244 0.420237666370091 0.0791636371909371 0.129473897176042 0.111943947461464
"cg00795812" 0.813037570592753 0.062124304664364 0.106159810361456 0.385884832690066 0.250108634803846 0.428404652867257
"cg26348243" 0.931472037351466 0.078712819285209 0.109513201839265 0.123240369362703 0.93298646356995 0.474501993655943
"cg10699171" 0.822271475852689 0.0897551840017414 0.0916051805474786 0.104243817273875 0.552220739068255 0.11719095929653
"cg14437551" 0.93468956354503 0.107815076731331 0.150111356119122 0.075815840108254 0.92958285776714 0.218600224687382
"cg18128887" 0.726040087878812 0.0233345918647028 0.0248965786319582 0.0327833540144361 0.353464631716364 0.059477092359118
"cg02737268" 0.941377550801827 0.0910605174072498 0.0862563278499113 0.060298905084851 0.934510295278607 0.465721552619323
"cg20513976" 0.843718305205878 0.0237426607612828 0.0212984228960445 0.0344905540764541 0.720413753873732 0.0814877901056501
"cg00446123" 0.86249337548166 0.0516617526477753 0.0453281179490753 0.0566645808375422 0.714468966839167 0.106611188126669
"cg27051683" 0.930712831565932 0.0551565066209126 0.118098030797518 0.459833356176258 0.496892886048286 0.462229320453749
"cg23280720" 0.873574512110264 0.0342396015039095 0.0426987154007754 0.209953699426607 0.596270236666699 0.264117799203446
"cg23954655" 0.765865134416027 0.0708653636249168 0.085106281445448 0.0735483086132519 0.128412201410307 0.148054559780592
"cg09993145" 0.849206424586442 0.0934991784282212 0.0773531024212828 0.238455528290874 0.11374418751192 0.0462127177093145
"cg26341831" 0.858377172818229 0.179450876053808 0.0595324905087334 0.0483419114645481 0.199505779057136 0.102739406131277
"cg07679948" 0.971703780847845 0.0831610943133041 0.373237007980368 0.974078302251014 0.96813474103386 0.866670374262822
"cg00366435" 0.929797176553881 0.0940261351970972 0.553127992656575 0.923448552361459 0.917939557720332 0.845041658566368
"cg07970799" 0.958424833165165 0.120213676142675 0.4834187503017 0.950283882023151 0.950372773520213 0.771272335110938
"cg11236515" 0.976273801938516 0.109769362273401 0.350140799614214 0.938847136554389 0.976033009245903 0.745833099224348
"cg03388043" 0.958270175254383 0.039535803240851 0.0464070835675535 0.957059808301381 0.946581874100291 0.548497253886367
"cg11848483" 0.934073744619623 0.105937305279994 0.352275437370054 0.916521892746306 0.932015233940411 0.842252219971573
"cg11465943" 0.931857480783096 0.16733702907812 0.619849513794955 0.900826266122942 0.929668780822395 0.876161107714959
"cg04340595" 0.941209739879724 0.0638934513760482 0.154685939707085 0.925170207738482 0.947977810876509 0.472407947039762
"cg16173109" 0.891932152822533 0.104282840395594 0.442887136578228 0.889292030738532 0.889530501617798 0.761582035078924
"cg07786657" 0.954414721604378 0.0515969241304987 0.047365790542797 0.968498293494087 0.959004282276268 0.254997471717483
"cg09032544" 0.957355122898705 0.0522788008452683 0.045233546855627 0.965902206898419 0.953203460051953 0.334440054827671
"cg16452866" 0.957954710722734 0.0981809420592165 0.215505046966112 0.956787638721397 0.938792443927968 0.807061230305786
"cg25226014" 0.933301682421037 0.0830626233061944 0.195865091524958 0.916046681695628 0.929065245868811 0.529296212529629
"cg24841244" 0.922643489332649 0.0521724314826412 0.0610643134813501 0.927672475148791 0.914295497312513 0.657863030752004
"cg26166854" 0.891170927961576 0.107162957084256 0.428146173419631 0.874747051326904 0.861325781499569 0.627185472074737
"cg10240150" 0.873385087748092 0.0922439518407165 0.327255062061708 0.894779348510635 0.881935686455879 0.728984803204753
"cg14477767" 0.882794170074074 0.174521860200856 0.727054674448655 0.853355911789483 0.856357974135957 0.760491244141568
"cg07748255" 0.955831734364848 0.104653630679438 0.202123386011499 0.944777939686936 0.943358265309078 0.315025674230601
"cg05074138" 0.887144805646029 0.115481630756619 0.382745869813952 0.888132356459966 0.893528956294419 0.773782599437198
"cg25893560" 0.917726614084391 0.161375560722958 0.50916949104781 0.905877849301376 0.899501363170154 0.817985626643322
"cg08884752" 0.840759637993575 0.116010696943565 0.530832760197974 0.856709655044237 0.806595651508284 0.83027283199098
"cg13619891" 0.940179993765921 0.0952130741477307 0.111496599323647 0.939170298570863 0.940388344361182 0.72100383859512
"cg13606287" 0.906777540240227 0.0988284093398272 0.267421905793178 0.886139089897569 0.898176905518796 0.445194034174472
"cg19001909" 0.960068491326173 0.153866367762803 0.260437057043286 0.962691624529532 0.959232108251448 0.856509592045198
"cg27583604" 0.84983059524385 0.135763251330102 0.561207874792676 0.776103243272459 0.892018656621515 0.811797499421359
"cg17984638" 0.91959847197056 0.0990882491865653 0.21388474372292 0.923569216483038 0.915351923827979 0.236181776959836
"cg08450017" 0.930037113830309 0.0807958299026209 0.120249735050311 0.921237473224626 0.911477727680596 0.297959998878476
"cg07545925" 0.90510015968319 0.0602815090509671 0.0587144540353028 0.89221074197473 0.897092985132061 0.685093723422245
"cg15564619" 0.766565782879833 0.0703785416371455 0.410127822964028 0.916633454794164 0.704706046729938 0.83857363555511
"cg00440980" 0.901865546001358 0.139187723633863 0.450453545300017 0.891080767130863 0.828422198889581 0.712529324337762
"cg06164961" 0.901315227581868 0.0652535015915624 0.0680286542201046 0.895818836506877 0.889454752245288 0.65568001132495
"cg01178899" 0.908857785975048 0.11480859287295 0.263632455794098 0.910529239169059 0.891481123351957 0.523317172962591
"cg05103064" 0.924388285145652 0.176887851650589 0.491679164961764 0.918470249212427 0.918150329980775 0.321111842786496
"cg14522718" 0.924626879603041 0.143082083481943 0.270723625746863 0.929469229146838 0.941357208751124 0.740670684211603
"cg18758433" 0.910290874398894 0.0993386494982984 0.237892332782298 0.870133333830576 0.878024672408211 0.624163769911685
"cg02661764" 0.819505991387589 0.12082418510971 0.545653613070584 0.841607670841484 0.769894192588608 0.80838906521103
"cg06915826" 0.877565023403288 0.11252545458424 0.334693714023261 0.85763849958493 0.855932437000499 0.79922374035987
"cg06329392" 0.936351826461895 0.193892525307537 0.440101886250682 0.935958101560345 0.934345717155203 0.933140931812888
"cg10837404" 0.920064816346225 0.246996882610697 0.735659760508756 0.914161346991165 0.907017528018893 0.868230980746268
"cg24662823" 0.906884086002932 0.1686138691404 0.452324846146666 0.904880651645561 0.900671024253709 0.68161272707423
"cg15997393" 0.975988252169299 0.179433107667219 0.398471429074342 0.862189984576731 0.9630021006802 0.683812934526766
"cg05705140" 0.90857863383812 0.103468189508578 0.251135573979035 0.820892145768779 0.903290164540264 0.71604346782957
"cg11162888" 0.896935084860943 0.154299147806815 0.38006825334923 0.907539300536361 0.900777164567793 0.768789580814952
"cg07573020" 0.889448604650661 0.0621402598629218 0.0822129023016564 0.872393371517392 0.885862809042878 0.401371343264987
"cg04180114" 0.879282915828418 0.110626563387203 0.287445337137774 0.864746649812539 0.866307489617375 0.750175166730625
"cg24612198" 0.911228709405616 0.0956975251041032 0.109248387743797 0.91031872765146 0.907475297991267 0.655902044102495
"cg09354050" 0.88817076267739 0.0612760379126982 0.0565701569167407 0.890804767872886 0.89010114501827 0.318602679541267
"cg14728071" 0.902284978194518 0.0453878418894232 0.202172188510674 0.626417995582173 0.902020472209808 0.510579044562373
"cg00620024" 0.907782179117891 0.163328797839732 0.40885561195909 0.887092917030443 0.899408461508792 0.788461777282817
"cg13651908" 0.847973524775555 0.127637419812983 0.392118041545443 0.858133427054364 0.864715739821083 0.73449151497902
"cg09145126" 0.0695681150920518 0.835184317706541 0.882486731270177 0.0987337579089247 0.0819242204053675 0.648124449456371
"cg21400549" 0.103943476775172 0.883852195029267 0.647618878427513 0.517124721573254 0.0830308327334036 0.268096920665967
"cg25711558" 0.0506555405294586 0.810430783870666 0.851225356678461 0.0704311032079788 0.0589116857724385 0.426414749593546
"cg12774429" 0.0887370222158483 0.834857593843426 0.84096122338265 0.0914238032256854 0.086748676163975 0.651073015884795
"cg10453850" 0.0526691060665754 0.90045122028752 0.905739755963748 0.363865608739524 0.0606707239396447 0.695733326008558
"cg05148465" 0.0657840951974993 0.79913862583695 0.746758531611921 0.0736166152235643 0.067876278720783 0.631400656354321
"cg16922167" 0.0900564228305996 0.85286890507829 0.845810640831539 0.160419869238254 0.0900972955520902 0.529414203718079
"cg23671196" 0.0567732238205868 0.838055576518684 0.8776028873395 0.114007348548685 0.0581381550400305 0.702640380540658
"cg07834069" 0.0670246426536165 0.88248279130441 0.874077423452251 0.263460542451305 0.0778467694298106 0.749150036140114
"cg26579986" 0.0353780260084281 0.796207425095699 0.693940702193582 0.18875295362251 0.0420496530579062 0.318082124339422
"cg07280097" 0.0595325433450588 0.850741342590274 0.845701009034206 0.146347571276041 0.104313498112664 0.58279422715527
"cg09885622" 0.173750400170112 0.837827136013778 0.655543022555833 0.177632676250269 0.124566436035615 0.171676976746737
"cg16824282" 0.0663214862801395 0.882575871196306 0.877036799205143 0.208574754623582 0.109926024625896 0.724652297630232
"cg09832245" 0.065977476954463 0.833158086372037 0.828926218062448 0.0855159578533202 0.0848946966912955 0.61371481139424
"cg20455854" 0.0470713692181853 0.786753605560694 0.703236116043005 0.100670380550677 0.0400063264427938 0.374957486219858
"cg14564351" 0.0695271852082943 0.693795236103728 0.232777357305325 0.140261865252969 0.0694532681540677 0.128814601553809
"cg18907610" 0.0876287258781331 0.870459348336312 0.880499500835929 0.159292922824326 0.0639806520672727 0.7668170469035
"cg06242730" 0.0627511155926059 0.857747886639269 0.863100557908219 0.0572292562571181 0.150086420545355 0.677578794234084
"cg15085899" 0.0449205914199626 0.918696428389475 0.940410171574522 0.363241519890228 0.0447229281469714 0.635059744957913
"cg13795831" 0.115632198204766 0.900136504135996 0.938256706377956 0.133153527937824 0.103720000741378 0.688037145546111
"cg17744604" 0.0788414191952964 0.804215128177488 0.638969631552279 0.115875488351639 0.0632772180860283 0.597255714931841
"cg05389236" 0.252100685278268 0.950250394459977 0.955498770593184 0.162382570201952 0.100705309622271 0.874415848707976
"cg00409104" 0.0649083269672641 0.843781524427239 0.84614532167632 0.0698933253164315 0.0701536975999175 0.693603430850212
"cg12465678" 0.0606900345943838 0.871150940182451 0.643779896166406 0.438783315242442 0.0726048634487429 0.143779459853494
"cg08545593" 0.0742334377847447 0.876742639486323 0.889109932863289 0.137758151570859 0.0749367472616132 0.794767439346796
"cg20049422" 0.135498235324544 0.913366548181392 0.915468436995787 0.221594438427062 0.0546714699851786 0.786564692834469
"cg18150584" 0.0615513526560823 0.874495199678387 0.845178672587197 0.209873569497413 0.0724911006263456 0.527591302424808
"cg08772789" 0.0828584810204502 0.852112706832363 0.820960564314691 0.0700904277822096 0.0964360628363583 0.696978670432456
"cg23379806" 0.0673653761948817 0.840976989028517 0.828527289201656 0.069925694492914 0.0739486276189884 0.503281032060237
"cg13468685" 0.0784183126607494 0.828695230112196 0.623003672849041 0.197978376331878 0.106757248070249 0.12439832192906
"cg19628988" 0.0863385012580694 0.869778753347687 0.797670440881588 0.203755689752713 0.0763180271473392 0.301836170841819
"cg01231183" 0.144712266420428 0.907345683520606 0.875033586297533 0.104419906417217 0.15996429794633 0.61045655068361
"cg03574571" 0.0811970350692246 0.858027799101367 0.831597677928359 0.0589861946273799 0.0947106579443766 0.679866017439654
"cg09572125" 0.0400354575459528 0.81443617651826 0.605778965031173 0.212705691698683 0.0440176044817619 0.513216851149942
"cg23582982" 0.0390056306012987 0.897915001677459 0.89377567111349 0.276735928984528 0.0378438063854022 0.534562082198652
"cg09287328" 0.237863492555646 0.950379139224849 0.946482133848305 0.0978079718106578 0.127352919518353 0.815066680547567
"cg03746834" 0.0826995760187883 0.88931785321517 0.889357179128625 0.0795536356663051 0.111191018493839 0.739689394486825
"cg11377213" 0.0586930880272435 0.865725530353227 0.819633247461766 0.123389282126834 0.0659726903171249 0.655358979770013
"cg22742001" 0.0569460141801145 0.884234449516479 0.874843034909831 0.0980405703230942 0.0817300385900732 0.722924503774678
"cg22152931" 0.0647763631408494 0.891716342878985 0.90870898543423 0.0837080819742638 0.0755392905293649 0.760370257430978
"cg07785552" 0.0687550522877199 0.822848802896356 0.683611147810262 0.0600392518744637 0.069470243853836 0.298479889399961
"cg01925950" 0.0776332516324315 0.880754598133745 0.888406745495728 0.0645507433353396 0.0548814645724304 0.728635977097541
"cg10376161" 0.0697991241358896 0.886875149739537 0.879942566467762 0.0668198712028277 0.0546478351062112 0.747164781055017
"cg15935770" 0.0697854230906996 0.903073998604693 0.912139205596709 0.0801374949346922 0.0738650847910839 0.772232165381389
"cg24448340" 0.0496094395287032 0.907013422529661 0.906426438205019 0.0949743357897779 0.0620785079084533 0.795606486556745
"cg15982099" 0.0738091698173131 0.91177838322754 0.913931949714035 0.0620909593499157 0.0779815914090883 0.757569265894008
"cg02046552" 0.0425811048753586 0.834770924804496 0.600139782049883 0.10347642180959 0.0436869885756106 0.524098120668314
"cg23249922" 0.188471233181181 0.968849060911658 0.974686254986811 0.0362643059254593 0.0406188713559141 0.812166726992493
"cg13448978" 0.0529633943499943 0.93812051842319 0.92062872707116 0.0905106625277306 0.0501767705008634 0.496193785499438
"cg02380585" 0.0333046821980285 0.92003374298448 0.882614023712028 0.0324889284744102 0.0425385898909048 0.248403703607768
"cg25939861" 0.880102730384246 0.813846992296543 0.0867409032634831 0.869790161207574 0.864289634160623 0.589881597189145
"cg14094409" 0.969960335131584 0.435359279851823 0.0608830701228367 0.953407864896097 0.968515481849523 0.303902901569139
"cg00219921" 0.902500711016291 0.808719207191835 0.140684332491511 0.906174080057481 0.896917277849848 0.781151631504123
"cg04042333" 0.968113262831692 0.515489799948715 0.0951705511726434 0.882064337117708 0.965392238163742 0.218947720786702
"cg22512531" 0.890726348884399 0.522688866108246 0.0849833377576214 0.897870331836546 0.882351009010714 0.31444533510924
"cg10977115" 0.901900088262291 0.387843097020996 0.0763880175885854 0.896159241643535 0.893486079368349 0.326942746656392
"cg14506192" 0.905647074368338 0.479836887545199 0.115629439261184 0.899002436130576 0.90132228181959 0.315050769410655
"cg08418872" 0.90919527261204 0.685204997232389 0.201599168836812 0.967532961354906 0.941908057031511 0.436113387803323
"cg11531557" 0.900736724927858 0.550743298839996 0.159321315219601 0.897607694558408 0.89659855319556 0.650246884124596
"cg19529732" 0.838364657548664 0.197193591772389 0.0349994468142528 0.841173079675868 0.870087270645421 0.180034914682824
"cg08622923" 0.822215238167454 0.475634337363258 0.107560732656398 0.850707578157949 0.857700482742582 0.307089513497186
"cg20894640" 0.905805051821809 0.193962332383796 0.0841923015330602 0.90705108842249 0.896733966225347 0.253950354671156
"cg11804414" 0.812699217878823 0.301943673492104 0.0603789969933621 0.815926651179065 0.856019418156137 0.222081653966117
"cg21330949" 0.871414260489275 0.16238652115233 0.0604525710751829 0.83984862976018 0.87162266889658 0.20092725587179
"cg02374486" 0.841656946597217 0.366184792688315 0.0942614084130291 0.828471063288089 0.846848390422746 0.251066983760378
"cg00277591" 0.858304655983091 0.0734620434865658 0.0627175292791779 0.913460149250107 0.900224815787527 0.251776301926075
"cg22689323" 0.888315455733047 0.0881872935397256 0.0681748747840604 0.902823848471157 0.874744296985526 0.356635190780582
"cg27470208" 0.893952041150282 0.114233082593173 0.0753581681607527 0.885237988453005 0.890197268728276 0.336925928669966
"cg25350872" 0.935276626033079 0.863215196907422 0.292096902099097 0.916931798175143 0.925589639278043 0.774489623129466
"cg08109681" 0.881085616588815 0.100845895969163 0.0662078002664837 0.861422048656296 0.884157787577513 0.239607710717971
"cg15293582" 0.93134089759126 0.607888723857113 0.232654919433861 0.935351580097439 0.935241750151547 0.383452819084872
"cg14278300" 0.888519600066605 0.0820035219431315 0.0707295088135133 0.88399779383168 0.884315077729134 0.313582080615742
"cg02324835" 0.882828031416036 0.315403661532627 0.123647159797799 0.869533144077486 0.861123284912578 0.658678894956955
"cg07728874" 0.872421588495261 0.0639643834617996 0.0689193975877728 0.880204600920381 0.880663353411966 0.620600030683404
"cg23752651" 0.810715500391596 0.688300144557997 0.195191812104733 0.893999649286821 0.853447836967958 0.439840030774256
"cg09453312" 0.890200019937848 0.060508361314349 0.0568405878000734 0.869534109648026 0.861968822209963 0.16690525330701
"cg21805118" 0.844588287978571 0.247219500355907 0.0657959956059083 0.755252363877019 0.867083844450529 0.222475952108889
"cg03172657" 0.768465415155162 0.238472347451733 0.0750236239590509 0.903931668721565 0.81869037180171 0.51195389328351
"cg20105257" 0.96795219202583 0.329869043405082 0.190248347057955 0.906175949205239 0.959482609106216 0.765730000863512
