"CD4" "CD8" "MO" "B" "NK" "GR"
"cg00366435" 0.0918921980412045 0.319466473085499 0.906376875680359 0.91363360145213 0.861102792706615 0.912375331251129
"cg07679948" 0.137491372430098 0.342775862567826 0.954767146622299 0.956693962047368 0.932472594444137 0.955671428911742
"cg01874152" 0.0891209796597994 0.433170590016618 0.894093781617486 0.837541194702819 0.810146014486156 0.894932237402929
"cg16452866" 0.116678311130412 0.192239003487728 0.95028491013764 0.951473026659831 0.916651423383633 0.953128992784122
"cg11848483" 0.0974924761999 0.193954950366298 0.910804555870122 0.891837408848501 0.893695733205069 0.914022954098621
"cg26166854" 0.124131902742691 0.532814746904697 0.88733234901054 0.874718945922698 0.682330629911017 0.881158721651843
"cg14477767" 0.177672481047242 0.714610909140443 0.879187450980873 0.845586814107254 0.793708685702641 0.868580943152436
"cg07015803" 0.147046116379865 0.221347940965856 0.937291020575433 0.939700002626107 0.903559735974474 0.940163120856061
"cg26852712" 0.118627023974894 0.350247222365083 0.890187816561524 0.833282414237846 0.80896380069858 0.910076762311404
"cg01154505" 0.175998799924172 0.479780872617801 0.94925663952054 0.745070322324563 0.944510334497116 0.955372513988852
"cg10837404" 0.223442409772438 0.662083714434589 0.910021487911653 0.90173104856448 0.90208560758778 0.90937661912862
"cg06915826" 0.0986824694898362 0.223452963003671 0.869666354910003 0.866210512619819 0.840933622821744 0.859234832406907
"cg11710595" 0.198664924594081 0.625368020576322 0.878228061513392 0.89422176016343 0.824868908882406 0.899089477820277
"cg10240150" 0.0963711803932608 0.245800618738496 0.851967993785222 0.876753287984588 0.780203862964915 0.854756523979693
"cg07970799" 0.198846627894667 0.549583821452026 0.930156022607086 0.914195937421846 0.773700365450488 0.927982350735254
"cg12353788" 0.129060806868142 0.333894103067449 0.849908203471409 0.870909165216459 0.836035457795834 0.859108464601307
"cg04712122" 0.0914204992909306 0.157581005745314 0.853826584875178 0.86700799025519 0.839150208147799 0.844331169345516
"cg03388043" 0.0885249451856526 0.0723523265842247 0.916941654044041 0.932721958488002 0.67357075350078 0.937869604285745
"cg24662823" 0.121836636650048 0.314366805811454 0.895841989174257 0.900280641406799 0.683755079385942 0.898726071386567
"cg05705140" 0.10085886105108 0.255963767787941 0.883526096900777 0.764663010519241 0.804275684268269 0.888652549805611
"cg25486399" 0.117602718184523 0.387426147858323 0.815381294327966 0.856957105159346 0.814669609142458 0.799045342385232
"cg19001909" 0.208091704628687 0.321642777947833 0.960261554948804 0.965879943889125 0.910547078818272 0.960250432216145
"cg23357533" 0.173783091359414 0.418300809165588 0.879264539578481 0.896903282375605 0.873512129885467 0.87464547149863
"cg00620024" 0.201585849877074 0.51995682381397 0.894526108483523 0.891520019135577 0.857330107477823 0.900457448991056
"cg22230912" 0.108421227876867 0.188992473859337 0.857880564990178 0.891364014145919 0.823193828426672 0.821913834801375
"cg13750061" 0.0935085845354617 0.0881337534258462 0.865388564970199 0.871998586851537 0.815757016966402 0.859188846071881
"cg05070273" 0.212654727095521 0.517757861131094 0.88882723988983 0.890898448547114 0.878962758449669 0.894801238631194
"cg01040649" 0.139954921697562 0.298872555509836 0.874253077182698 0.824413007492208 0.834783156916974 0.875562663360397
"cg08884752" 0.15966148096385 0.432023172710727 0.776223331916587 0.86660007541921 0.875496560693858 0.841163077564244
"cg25599673" 0.139211406289169 0.301560282715176 0.844319752215696 0.840498087728212 0.849184943005403 0.861379022165748
"cg09526469" 0.108203056323437 0.356903997022186 0.857440757521801 0.687548127348335 0.775347191888243 0.863519408707527
