"CD4" "NK" "MO" "CD8" "GR" "B"
"cg00366435" 0.0614803515800598 0.880197690321169 0.895315323718915 0.223886884563315 0.904742711878457 0.916606027642601
"cg01154505" 0.104149777133547 0.944610424332846 0.928385704901182 0.390636695381654 0.946690056274391 0.780949817410852
"cg11848483" 0.0689967631687286 0.902755090259544 0.892687696928266 0.140715591912261 0.903698675599037 0.886508979693028
"cg07679948" 0.155521199464439 0.956177890813629 0.94527305052006 0.336225570801634 0.953697025497405 0.957982446636662
"cg07133479" 0.13286910813102 0.82880707704124 0.845190298172199 0.61115254450319 0.83317054734578 0.879320982528388
"cg19001909" 0.124628354052456 0.907156287755951 0.934583637924723 0.209024720418526 0.946469530458212 0.952865337834638
"cg01874152" 0.0876635876247552 0.786677407862376 0.845112176435142 0.423038965675918 0.849627483927724 0.839567534750423
"cg05705140" 0.0969440535524448 0.860023090376096 0.88930289328597 0.351751616574473 0.889494975515195 0.78834052018049
"cg11710595" 0.168850783894326 0.855781971248964 0.867442335445412 0.637082111906595 0.880069144581991 0.892580319501333
"cg05931551" 0.182408188293436 0.863397969411448 0.856404005463239 0.73110262468118 0.865940619160341 0.874263153380912
"cg10837404" 0.19088600641183 0.89862625208691 0.89950932106033 0.615931995865765 0.906192626160543 0.913922438460065
"cg26166854" 0.101907503471291 0.640401893321828 0.847771222881473 0.510295980203464 0.874867714123853 0.875737434627249
"cg16452866" 0.149939835194892 0.946307095506698 0.935791786831761 0.213678684068046 0.941688109104044 0.951713157599513
"cg18735089" 0.0858930488212169 0.838433766104965 0.892504511230463 0.121433873301898 0.903973229829682 0.905225987186577
"cg24841244" 0.059587645327173 0.777758949581767 0.879034083088115 0.0866980522575507 0.876297627657748 0.898684770512633
"cg14477767" 0.195446535576506 0.819331842204831 0.87459781567323 0.717529354084035 0.880942005714358 0.883684692787338
"cg01490728" 0.0696179350827709 0.838856970331835 0.82189627740618 0.218967641367296 0.819274543762387 0.846158061935705
"cg07970799" 0.183394608419106 0.785670561381735 0.915150373208808 0.554620604892293 0.924347965096426 0.922398935372144
"cg16775598" 0.0916876848984109 0.851187074247845 0.856549661929299 0.185486350618732 0.873303953498671 0.880530489595417
"cg21254135" 0.0965806257939737 0.841965970811293 0.861558915762092 0.235348880362519 0.855905914346127 0.871001907896352
"cg09526469" 0.0968225847289258 0.811093083883022 0.849555542191012 0.38167885694581 0.862120947634437 0.753816898308203
"cg23357533" 0.136521658554817 0.878572345463548 0.863818672699414 0.365628269859541 0.870129542650139 0.884986604924875
"cg14522718" 0.0764447114374303 0.719109153910845 0.90886170901884 0.0917835812415899 0.911782878139347 0.937989808108035
"cg26852712" 0.205387169635954 0.885521637597986 0.905830438128252 0.578780044054851 0.912730158286054 0.913742353812695
"cg10558740" 0.0952376745690776 0.858356658775691 0.87593052824336 0.138974210001201 0.87647237306498 0.898660622017519
"cg13750061" 0.0692431756539315 0.838075776097738 0.855757145081282 0.0883239836734096 0.860569386218308 0.871082242568463
"cg03388043" 0.0821053332963835 0.719512059538593 0.903622055191819 0.0992018585994058 0.923369709211649 0.935042410791231
"cg23896695" 0.0718699273376569 0.822202973736259 0.852096385752116 0.0986237775750362 0.833678376982472 0.869182753054983
"cg24662823" 0.110319587868544 0.729973224319751 0.874061981790424 0.286268802086877 0.87729497627269 0.891756958863788
"cg26400113" 0.0803687778378819 0.811676819721741 0.861561287193403 0.101737323264518 0.861212004022251 0.873102663805435
"cg25486399" 0.122737564669862 0.816897410417311 0.839770801312688 0.355596477007527 0.832851631151424 0.871713167889031
"cg11162888" 0.1067164608909 0.873150635179254 0.860925359319295 0.142324955846533 0.873546701928857 0.888657049429303
"cg14136214" 0.108416668502437 0.86030305147611 0.856934421160012 0.225120767507208 0.86028066101272 0.830660474839348
"cg03558688" 0.241100351430972 0.883674535253419 0.873145427945149 0.750757661785462 0.887069611749416 0.894248417772725
"cg09695307" 0.0764441579109588 0.78534266667118 0.857057809115651 0.161983146388288 0.848547207708467 0.80526131220795
"cg24008435" 0.154661362123921 0.849250263917368 0.861971871243193 0.394126608615429 0.861189850895472 0.879846331211272
"cg22230912" 0.080982771493776 0.840465703053207 0.826530703075115 0.124404907731143 0.800119901517513 0.890439181690724
"cg24441810" 0.0874276429958256 0.849910064547594 0.868358394405132 0.100143550859323 0.8755232828059 0.813764719200435
"cg06915826" 0.0914763592831636 0.822646732335821 0.840802382554886 0.171231730314472 0.843592284987077 0.851674910723382
"cg27519392" 0.135651752439463 0.867976142434584 0.856617445300889 0.274528436766952 0.872617788708924 0.875498460807097
