"GR" "MO" "B" "CD4" "CD8" "NK"
"cg05398700" 0.0887273292021351 0.819045088092658 0.923039462109195 0.940638477563776 0.950076986371119 0.919088395389627
"cg22381196" 0.0728833837069662 0.61156810053744 0.915871454098341 0.918606479103555 0.924151679846447 0.906131315945167
"cg25600606" 0.096860228595651 0.78308825866846 0.899972881635692 0.902018765673661 0.902694915407849 0.896054066497697
"cg13468144" 0.0981068749010379 0.828177125617775 0.89969422278646 0.894319612813789 0.904541743910516 0.860350634230633
"cg23819411" 0.0879901822596114 0.622415631407103 0.918888998623679 0.929180509414467 0.935886581932417 0.911969459262539
"cg15878616" 0.100859945995024 0.517388905813907 0.962219713486347 0.965682543768529 0.969047591827479 0.951745113168995
"cg25739938" 0.11453641192784 0.820947618300846 0.899615178731215 0.899353251157594 0.906414854392279 0.892537655766592
"cg16802439" 0.110913284299779 0.637463813329803 0.943683364939548 0.941367940959891 0.950132469358827 0.910764505269236
"cg00705730" 0.0943158576662633 0.786808149752206 0.879023758288602 0.881087026820277 0.890006938954501 0.858535265268598
"cg21685770" 0.0808520406187307 0.620436832395846 0.904439303319628 0.900205524999328 0.901942964187495 0.889992380549522
"cg06270401" 0.0958015484348966 0.749356635329974 0.885655662956569 0.896192464867859 0.896707111579946 0.855734589322117
"cg25693317" 0.10424066967759 0.751665367224959 0.889712853293875 0.890618734291849 0.895801522719143 0.86767230678412
"cg12483340" 0.0853313440649263 0.679770933605331 0.880379160266381 0.88060468080785 0.8892285174515 0.86867902405785
"cg11313468" 0.0859195415385699 0.685034436226959 0.877824379984457 0.878885438604316 0.886271645707401 0.845474232158952
"cg03340036" 0.111723013769313 0.715384835576911 0.901073592511645 0.892085541316042 0.901268380927004 0.884089392708421
"cg08253808" 0.0812024231695417 0.65363959792153 0.852901204572624 0.883702546713655 0.892935505900626 0.856710874653714
"cg08154963" 0.0999437646450324 0.737363468582369 0.870475786568889 0.875542162720788 0.881784508393851 0.855561772250944
"cg01692842" 0.110731247802776 0.766321631163854 0.87379512497198 0.883538784491286 0.904840151194935 0.844051575647971
"cg15658793" 0.10414952947402 0.650370713384706 0.916165721606236 0.90796071319439 0.911736945082445 0.852662628194081
"cg10487428" 0.103761971648939 0.70718125721356 0.88821229429554 0.888852219685369 0.893176764446897 0.858269850331215
"cg23338668" 0.115863693090445 0.791676317815648 0.876445141070784 0.871223341748953 0.887559786472695 0.865797582938594
"cg19037107" 0.132909590799233 0.797938645996263 0.894250182025439 0.896381908520652 0.900349549835699 0.885732357060983
"cg05936004" 0.117725673520846 0.736488495930592 0.908410030928653 0.899784138512509 0.901347839282133 0.851383617441922
"cg04609694" 0.108424606601518 0.749705677604832 0.86925367341211 0.870702254510791 0.889431764559822 0.868537922484874
