"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg07679948" 0.101808072552341 0.954478043927949 0.954894993454788 0.970612154692526 0.96986272654725 0.364743337775937 0.975129851109853
"cg00366435" 0.0791092255715923 0.866186755790129 0.733246489258063 0.914643894600524 0.916414767639669 0.516178864123558 0.926952013946084
"cg03388043" 0.0495073872511841 0.785238672325602 0.890428551981578 0.948176850395916 0.94840688753852 0.0498557681905149 0.964019964131883
"cg11848483" 0.0900877448498953 0.884925688210527 0.741358454650373 0.903042814788135 0.922964458440559 0.325514199767124 0.929039140916803
"cg16452866" 0.104755563821333 0.948440869714861 0.905696463323278 0.955141837977039 0.94137675507073 0.215085268612612 0.963790105217872
"cg07970799" 0.127966876820983 0.726130799724435 0.832466938873089 0.937289416186401 0.944509335106162 0.478961536982899 0.956313756526851
"cg04340595" 0.071898224378662 0.539270116609406 0.833767865249925 0.900998907190577 0.945777279101762 0.153531945279482 0.952046772997453
"cg11236515" 0.167235053887952 0.911591006107221 0.968845512043102 0.942849669114643 0.975073349366036 0.358079820834824 0.981027146752393
"cg24841244" 0.0494521595910459 0.72230563024498 0.67998214824045 0.9084530961544 0.901937509039956 0.052355657348386 0.912373738906446
"cg10240150" 0.0845881690259046 0.793071554520382 0.60147473871934 0.885201527933876 0.876459354262289 0.304668266840447 0.870234387784089
"cg25226014" 0.0739740916638663 0.554872759715488 0.846118361340834 0.890756263297977 0.915463095796774 0.164135467288978 0.922359457859504
"cg19001909" 0.160045519846211 0.93360043900215 0.860069264476636 0.961285307777017 0.961364890135758 0.250957697398277 0.964423289031667
"cg05074138" 0.112659232823841 0.825773668981899 0.698682088975372 0.870950201675695 0.877499884993156 0.366468844913594 0.875784777902643
"cg14522718" 0.135171783643886 0.762381070061468 0.93845430547419 0.925042173267143 0.942888558346601 0.250018315325702 0.932041081970571
"cg07786657" 0.0533613092440735 0.153623587765164 0.80205782178129 0.909459612346545 0.95018975335142 0.0487928480299043 0.964360649613283
"cg26166854" 0.0869305663215368 0.545127023482986 0.712853140832415 0.851571225770879 0.842365000873684 0.402326304411095 0.883008284683315
"cg06915826" 0.0897279601863737 0.823525826749174 0.748553174209855 0.844362727608802 0.849479433677382 0.298794262011285 0.867923098464163
"cg09032544" 0.0618994506823128 0.219225703560472 0.814961773535624 0.912040845846578 0.950110704121433 0.0469225255607656 0.968588664533869
"cg14477767" 0.156683694739684 0.815677311074164 0.537030819663224 0.842323213705308 0.846225610679592 0.705360380427027 0.871604486162962
"cg05705140" 0.0863920589249951 0.797544088337616 0.66281325634022 0.800969695000155 0.899211855620097 0.229703208227893 0.902095010688518
"cg07015803" 0.157916162521244 0.936550397494162 0.835216364013149 0.938077218184481 0.932348552674823 0.254754130680553 0.945043677347443
"cg24662823" 0.134286156511005 0.704816245949305 0.700606332822873 0.889390501197618 0.896950526503577 0.413175208613192 0.901842705941824
"cg08884752" 0.116273192882539 0.851120888210675 0.662840409440954 0.855011728744294 0.793715219307617 0.518571565476832 0.842669974044332
