"B" "CD4" "CD8" "GR" "MO" "NK"
"cg25131632" 0.0751749215717832 0.928117146138043 0.910111487885907 0.940743108655778 0.9365788506208 0.9004478282434
"cg13738327" 0.111954231095144 0.96123473555679 0.93033529328549 0.963310922037493 0.958641088280532 0.905937033065609
"cg19276014" 0.134435358484729 0.967359251600232 0.969084094028087 0.971280899508287 0.961642025744903 0.960747732761282
"cg15348679" 0.0923981224911629 0.9232081745473 0.963430083369264 0.912529460001362 0.881869151439724 0.934471783869432
"cg27106643" 0.0948627604877723 0.919674387166164 0.927242238744894 0.94059729485324 0.921925206491423 0.904986289421063
"cg02212339" 0.114620357075575 0.930161252044275 0.926440524275021 0.953447549835306 0.946464715253912 0.934832767189219
"cg01024458" 0.0698159505526093 0.873078034020717 0.881593022708974 0.920217018645553 0.905631265454256 0.862954587045189
"cg17768768" 0.136442922287074 0.95921344864302 0.957825829546412 0.959381343937303 0.949369253321312 0.949858922213621
"cg16210395" 0.0715919309846774 0.896288335831415 0.874156546873197 0.902330956050558 0.900699451497993 0.857490872113218
"cg05205074" 0.0808705327267808 0.887916646161593 0.891121989376188 0.898235295880505 0.883018180461655 0.870524470025965
"cg14482811" 0.110545456682001 0.950313598529831 0.926599747066188 0.935130975123807 0.92711826111854 0.809015974403673
"cg11661493" 0.0701480728296202 0.878258561791933 0.873371169120407 0.868695333020602 0.863478795988813 0.866625346075376
"cg07721872" 0.0923817337975884 0.838488796213757 0.87881788002691 0.92031505578338 0.912406142892728 0.890439069342226
"cg11699517" 0.160842390518295 0.972246084036599 0.970937790878714 0.931168605264765 0.946687124061566 0.960055171112319
"cg26552743" 0.0756714106460357 0.884517191656508 0.886885544537607 0.858860672680617 0.865053911683827 0.852302318326232
"cg20602300" 0.104009641359506 0.900603220652412 0.894487019055648 0.895091352779983 0.898357159094192 0.889379599264159
"cg14936008" 0.106241615154987 0.900588170614399 0.905096672598796 0.893358064866866 0.89324395764701 0.893701600713666
"cg21596498" 0.0851046381988534 0.855621012956218 0.884718435890815 0.88200178850138 0.884175011214041 0.866337529512773
"cg00760938" 0.0745670690803865 0.8800680510487 0.876728466297596 0.867869371664484 0.868728201365344 0.817533047578499
"cg14066207" 0.0961880138177865 0.824311111968312 0.831976523265315 0.935029253814835 0.928136869534215 0.89426111599763
"cg22212560" 0.0685152269138858 0.901786600141384 0.904626598578387 0.869019467150294 0.711069168769777 0.884748359696399
"cg13356455" 0.0840366668577751 0.890538163663887 0.870642469940825 0.877221370860678 0.880239401979763 0.818684107886499
"cg04828493" 0.113860505636606 0.945657326625664 0.945712773205358 0.957279110364512 0.86225422976779 0.771090112970222
"cg17995557" 0.0749589672313168 0.875478837436382 0.865369437106298 0.878217873434643 0.868768978273488 0.801350538930656
"cg25683989" 0.0888705240084276 0.878166278803778 0.883301785479924 0.867545735245417 0.86971236648695 0.856142086888966
"cg21248060" 0.130095642676507 0.936963137603008 0.915187431224697 0.946804266728122 0.930459222899161 0.797717209339174
"cg16148346" 0.0961380759708958 0.876395313950532 0.873547626300176 0.876043289687783 0.859384060186048 0.873850868236162
"cg15035590" 0.117641306089746 0.901808750260662 0.896961895517624 0.892941265627483 0.885815912243436 0.886791549924939
"cg15532942" 0.0986474197314778 0.8798126458441 0.871574991153504 0.876802650037964 0.884437478127218 0.841809338756178
"cg26438284" 0.0983472120206328 0.897500761807382 0.857160041538224 0.878514719848339 0.888901372804869 0.806621124257239
"cg18250453" 0.105922202756538 0.880491145175727 0.874827606951821 0.892057713296594 0.888517349594586 0.828087239655665
"cg00464927" 0.174416553691009 0.946579352812483 0.949016774224597 0.959369071181403 0.935264992007721 0.911769562179825
"cg09469986" 0.0942814802209465 0.870338975655537 0.864349612462267 0.872208549774458 0.866243619393501 0.816940533015204
