"CD4" "CD8" "MO" "B" "NK" "GR"
"cg07679948" 0.116552047945509 0.316775866349423 0.959241047107644 0.958842573394495 0.950004358541007 0.963409626116395
"cg00366435" 0.104872936046754 0.36548361519404 0.906751384053075 0.910246737552803 0.872743852251143 0.912216420703091
"cg16452866" 0.103848149261914 0.165290444634987 0.948711207780091 0.952011260220508 0.943409112269593 0.958005939032363
"cg01874152" 0.099313054236594 0.443941149539042 0.904682402242045 0.846093429288972 0.833610253235554 0.904302606021197
"cg11848483" 0.108414320102276 0.198836470726098 0.916035824294445 0.892877831757072 0.903536725769832 0.916436098699842
"cg07015803" 0.132553426792663 0.189359862699302 0.935081203258948 0.937890933781391 0.936085809673414 0.945019285915678
"cg26852712" 0.122605325127522 0.384138649134317 0.89306879417215 0.821794883315973 0.856735452074465 0.917414606011139
"cg03388043" 0.067632421938441 0.0594745588506409 0.926443690706656 0.937507609142686 0.742038929089941 0.945721463753385
"cg14477767" 0.207341474744626 0.745195470408799 0.897594214277507 0.876367728512458 0.842963349930894 0.890247342664547
"cg01154505" 0.188057713662769 0.507966555407232 0.954271089661509 0.772431051889944 0.954575838627782 0.963631393570133
"cg06915826" 0.108030224800782 0.236703656712785 0.882648512258784 0.869664975150889 0.862664812625858 0.86730449158739
"cg26166854" 0.149033447109399 0.511849050592247 0.897468776995682 0.883699145819297 0.719695962465314 0.896044181446387
"cg19001909" 0.183419048624006 0.26555125372298 0.958788947338338 0.962139447502351 0.922872451858993 0.959500550210953
"cg10240150" 0.102946991355227 0.257593229728871 0.855637528147352 0.871967723083786 0.801273794241561 0.847800009997847
"cg07970799" 0.193944733357086 0.508720766895768 0.932265177145781 0.917774137588379 0.787175512293068 0.926925188762374
"cg05705140" 0.1117817375098 0.262382825365154 0.891948791179543 0.777834692830628 0.83690652698829 0.895369033653926
"cg04712122" 0.123157945065216 0.177638899865518 0.87153024144034 0.882661361813249 0.879960666913809 0.890081827740289
"cg08338281" 0.0956696214429683 0.0975168760655428 0.889783653693742 0.819230107221636 0.845208002327556 0.909843074912513
"cg12353788" 0.141230318661152 0.325130775733295 0.857809856276198 0.864066982158216 0.85201006815807 0.862870395545756
"cg24841244" 0.0906778888259061 0.0755695615618367 0.877546868460532 0.889572829543576 0.793915458495075 0.878905240639309
"cg07545925" 0.0745763384267261 0.0615769143340937 0.877446425117075 0.858915632771198 0.743614915158135 0.868052754150187
"cg18758433" 0.107415181493525 0.218796897099171 0.861072243406166 0.884294716986316 0.701640732859962 0.889513760563553
"cg13750061" 0.10543054723644 0.0956350338766114 0.847303958605195 0.871851638799601 0.856035588141472 0.869845982418714
"cg11710595" 0.229847778907554 0.622442711205268 0.880228723612329 0.889049275917166 0.853629657760117 0.898415432868
"cg09016797" 0.182040247629732 0.416583171511075 0.87630412925792 0.881135914322344 0.869891999874703 0.862141937411839
"cg00620024" 0.21617983733194 0.499887752817133 0.903456261059494 0.888456712656223 0.878405454913598 0.903139862092681
"cg24441810" 0.0872430309670882 0.0901783405636782 0.879348213052549 0.781939446874162 0.820715100936959 0.873065846608281
"cg09526469" 0.12267777595982 0.373207522097802 0.867924854932099 0.694671734388101 0.807030634312263 0.869611955995731
"cg24662823" 0.14989235108521 0.345502379841121 0.899084830683655 0.900882136831729 0.694836978939089 0.898852947661449
"cg10837404" 0.27063344530986 0.674596408782648 0.910722716859542 0.906334176834497 0.914350443101346 0.916898408205837
"cg15564619" 0.0804074023672818 0.264716469207955 0.587159121094338 0.900074504954837 0.880632557712001 0.708235893525259
"cg08884752" 0.161286217788567 0.42725315410881 0.759448137728537 0.861961890598519 0.8776827274116 0.827810575632568
"cg04347414" 0.156608536362699 0.225402070472025 0.883830844552127 0.870153858857969 0.865258458603414 0.90754917950966
"cg23357533" 0.202960456271258 0.435031960243168 0.883026079085886 0.893858099091906 0.881896628165321 0.880611858813983
"cg25486399" 0.134500279416587 0.394758361333039 0.784122761850719 0.847214099396659 0.820374346251163 0.777063273193861
"cg05070273" 0.230873637045961 0.517553630049919 0.900273401825015 0.891001820805067 0.892606869474093 0.899709654683093
"cg16871561" 0.161997186007453 0.738651897224279 0.809044934466997 0.901593825264312 0.846468629943331 0.455775676032308
"cg14522718" 0.13340780446125 0.163522545190156 0.928899876994228 0.927175300405547 0.698020581292573 0.916207500771782
"cg22230912" 0.131987515571224 0.206225054356338 0.856986122722771 0.891624452857024 0.837404521279957 0.818312643529629
"cg25599673" 0.174806290925078 0.33905409178647 0.871505168450032 0.854050443131425 0.868330229253876 0.874490718509303
"cg01040649" 0.174769448518171 0.342937580900805 0.889143181383692 0.827583415981638 0.858417163071152 0.891276333206631
"cg06164961" 0.092324256048069 0.0825869400579244 0.884845960686946 0.890938771970841 0.653693229991724 0.885887470459744
"cg24612198" 0.135786509219379 0.144446083449703 0.901849935921917 0.901480044425828 0.76027520184611 0.900001119427835
"cg00440980" 0.133076070868383 0.344465881995243 0.77958546959885 0.857540739752469 0.723212911934842 0.868594511867041
"cg26400113" 0.131370331834087 0.174414587843456 0.884634357128541 0.847379700456452 0.802728218371407 0.873017730464413
"cg10111816" 0.100812233893805 0.103484851223715 0.848101140514182 0.833977924293334 0.812213559892281 0.83019391636304
"cg04180114" 0.122400748886654 0.155588626119186 0.842608198236629 0.828886948770701 0.839107222800964 0.863187384896884
"cg04340595" 0.0926793900307948 0.136580370692383 0.913061040439506 0.913112236855256 0.511914775994191 0.922257250609202
"cg23723835" 0.128269090067878 0.257959010485153 0.88310318747633 0.703631494472014 0.830658815396778 0.882837510642094
"cg13651908" 0.141403956269822 0.335630186627265 0.834281478791065 0.846431450167917 0.766660004859577 0.827328320798675
"cg16261114" 0.83790395230107 0.843520898409069 0.120955526028083 0.268051644535426 0.508174039180308 0.0910993161200121
"cg27058988" 0.6534243383512 0.526539806760655 0.0517976753546867 0.055110094188015 0.248954720845059 0.0469922152940863
"cg01233897" 0.715260593938764 0.693946985854715 0.0917145804588124 0.0723847218873614 0.281120499954287 0.0917427328559825
"cg07837085" 0.748080563693506 0.608197526185294 0.104246268191068 0.463506532691277 0.123203590037157 0.0911462002374927
"cg26501007" 0.758798932417336 0.670480636283988 0.12476571834951 0.131884483476276 0.126593113807621 0.390337423763955
"cg05228359" 0.712020569711881 0.706227158251688 0.0584129094644153 0.0616476885675408 0.329938258888242 0.0498669093672711
"cg22193912" 0.739207623573391 0.824535271363002 0.0441456676138688 0.230703203217754 0.194651699174593 0.038977523567236
"cg27485845" 0.799538443019672 0.564907850739723 0.142174493437918 0.330646961058087 0.125333687536742 0.476429056670564
"cg18739675" 0.802296707187879 0.731575013774994 0.0757073332596086 0.669476057200215 0.0815335489324976 0.0821558291047598
