"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg07679948" 0.141823862967921 0.952908075537948 0.954894993454788 0.961225599547786 0.972788011325428 0.372656390251214 0.972618841531373
"cg16452866" 0.123170805416053 0.945209542406881 0.905696463323278 0.95428612173433 0.961250785357405 0.1870357931553 0.971986041699748
"cg03388043" 0.0787423500364967 0.78912236465751 0.890966929553677 0.943065285032178 0.963479001914656 0.0789560446699961 0.96758208908362
"cg00366435" 0.11158921785559 0.872894559796 0.745172739153924 0.905515980912481 0.923374716861237 0.498091756146746 0.920960264354018
"cg26852712" 0.135406883712558 0.898094742996246 0.932755209393983 0.848383942649254 0.93542608048556 0.436634050120794 0.945535305056175
"cg07015803" 0.140949849690956 0.933980462374473 0.835216364013149 0.943633377517697 0.949877348364138 0.194402267508235 0.952984723234861
"cg11848483" 0.114603846941649 0.889345313921547 0.753127380711959 0.891658746009791 0.91630298847992 0.259222520932962 0.919256992693815
"cg01874152" 0.106227612016788 0.849407969651163 0.608775374875508 0.84602844425629 0.917300882993616 0.425469137944754 0.899308700785129
"cg06915826" 0.096401757978067 0.841154230155156 0.760550726124482 0.868767037407587 0.878328904369596 0.2748291690646 0.873118476770105
"cg08338281" 0.098290404154034 0.842084717860326 0.885977103350825 0.823267914949685 0.908539918161832 0.118898074549842 0.91417739368693
"cg04347414" 0.163408908611203 0.869664603947256 0.688593538718832 0.897982671335369 0.932955226355028 0.367763616459949 0.936745611041041
"cg13750061" 0.110390598454971 0.85317660370481 0.659555331643387 0.86372227193208 0.86669126706723 0.12622189895829 0.88335807256288
"cg24841244" 0.0990440290366702 0.772718976738513 0.693243712307966 0.880098390603453 0.886295536105097 0.105468937366918 0.881349999799204
"cg10240150" 0.110428129902493 0.801059380511133 0.61642326321148 0.870052979674454 0.872491536144319 0.301620214669802 0.853759959555891
"cg05705140" 0.114168918506728 0.815663486135334 0.676390455084219 0.792623718166606 0.90570934431368 0.26002753157198 0.895553504127384
"cg19001909" 0.22043421495544 0.929055375015639 0.860069264476636 0.961546263431721 0.966091202435526 0.296442689810676 0.969962817779469
"cg24441810" 0.0906249869052074 0.796331077634576 0.77676554703483 0.777052699761543 0.867736390659087 0.0963444319769154 0.877791685496449
"cg07545925" 0.0821013312771416 0.724622768335819 0.582945626298725 0.838709722883156 0.877565097760853 0.0847138296180337 0.875765112974766
"cg10111816" 0.097898823356948 0.796039268545256 0.758199829623879 0.843195260623762 0.854094562784951 0.121239613056215 0.828771192493338
"cg14522718" 0.168837135533725 0.751329345077789 0.93845430547419 0.913673900367251 0.942448128707038 0.303539085445237 0.930972252684388
"cg04340595" 0.109678683939638 0.549668685256421 0.834372932213881 0.874998805344042 0.94466623139174 0.226634498357494 0.948567351505875
"cg18735089" 0.163626749748684 0.81951917846073 0.728015056336054 0.891124525972513 0.912843903289516 0.277511629795011 0.918803998144595
"cg07970799" 0.18234927486972 0.747305424732863 0.83306686980417 0.916708424273301 0.940066536207228 0.42834013515084 0.942750608651452
"cg06164961" 0.095937293199637 0.664472451485372 0.609608010253054 0.8726633555885 0.891989145905619 0.109395630474618 0.896466104911221
"cg23357533" 0.189115899863496 0.871574708476171 0.87119550792106 0.89244781641731 0.887793882058278 0.464636293525323 0.880486008114686
"cg24612198" 0.137742204738502 0.778842996822106 0.620695378956792 0.897096834807567 0.90776201579193 0.139867084160047 0.910287029868352
"cg12353788" 0.148918291546021 0.848503876841923 0.62483651170328 0.870957394502355 0.878626525558784 0.307243185564381 0.864479135400108
"cg04180114" 0.127900282173509 0.831138818817473 0.784805025446488 0.82557299068616 0.84117400421251 0.222321864755999 0.867969506259278
"cg22230912" 0.141015999211164 0.847525043600684 0.509742737555992 0.898106947066192 0.87801565868459 0.288552978109678 0.82416408424111
"cg23723835" 0.127495647516712 0.824537797289874 0.728688138973273 0.716596235707861 0.881015956264706 0.344936103767298 0.871222363747915
"cg18758433" 0.128004012073012 0.700612514890063 0.79159963977236 0.870248904717187 0.861221820035135 0.284734191698144 0.902229176723118
"cg24662823" 0.157038403050574 0.707743779062969 0.713653677734893 0.889358410991844 0.91112125350417 0.442716363378198 0.902209035251972
"cg11210357" 0.118406557017473 0.762382125989188 0.814382361610786 0.817720963794699 0.86708634129383 0.150894393067841 0.865545307693815
"cg09016797" 0.163809380460302 0.856594074894295 0.686691879401301 0.873583513042358 0.87597309838501 0.324978388985498 0.866057844350386
"cg00620024" 0.204088249248881 0.874200527613426 0.879854148999546 0.886211257754987 0.908822021605519 0.428237630919979 0.903397018732289
"cg07930673" 0.118365849544524 0.730823184273824 0.673678580246758 0.859769578560773 0.87710535742247 0.141653367420862 0.880301438227133
"cg26166854" 0.112248154452444 0.60903105396297 0.725596420842614 0.856515213528332 0.86695531936294 0.349939496733549 0.895787006611811
"cg05070273" 0.21321351410371 0.896171238816335 0.742273756201893 0.899995958389101 0.905810835043023 0.506045057206803 0.901303809671485
"cg16775598" 0.167030097832686 0.850365583550445 0.663269671275008 0.880575359014059 0.877739866504593 0.288322681238609 0.884922752577628
"cg16230121" 0.141142581879146 0.786025275719538 0.685421314946994 0.852429865883015 0.861672136667301 0.299907961451535 0.865124147072104
"cg14477767" 0.206179459917231 0.839618058512457 0.554389002128394 0.873912067111541 0.889912604242179 0.743191120458655 0.889041382622483
"cg25226014" 0.105153987441569 0.565430328969138 0.853705405301251 0.856961569297951 0.897766904347005 0.179344244663038 0.898318562826739
"cg04712122" 0.138660623262005 0.83004271562472 0.722178690497839 0.855011222907641 0.845704657116206 0.188814363344571 0.842179372898755
"cg18650518" 0.14663338600156 0.68391172348699 0.802095767560057 0.87537191481273 0.898860987315127 0.284001107242518 0.904709438069535
"cg26400113" 0.124406515891246 0.788586196248611 0.556408441664914 0.807520494493961 0.844540832830577 0.283331399766421 0.843680425077681
"cg15564619" 0.0891130556903366 0.887373134900235 0.492709471939467 0.904265931660687 0.586157466020545 0.34115586459329 0.742348707408485
"cg10837404" 0.25839181036927 0.897260908815943 0.890472343557974 0.910733924356192 0.91569032177907 0.715288154806513 0.917338476675083
"cg22765299" 0.108579653437711 0.731929126564187 0.729451719785172 0.720866727994257 0.864527509543757 0.275886963673299 0.847047289767797
"cg25599673" 0.189559812806451 0.863633541954782 0.684529106209143 0.855503578353136 0.870569149511263 0.487042181763017 0.867981903655115
"cg27519392" 0.158246577339701 0.81991813211897 0.662863419189145 0.846964726829488 0.862139315314765 0.32612327238989 0.859758603918343
"cg01990910" 0.848352098884424 0.410967598053865 0.0767160170677158 0.491519351083963 0.094727758939541 0.908623098502154 0.0882190913361246
"cg25140190" 0.828577390282774 0.227802736536982 0.0879174608425119 0.613916273596022 0.0975386603091844 0.86133668284827 0.0949412540997951
"cg23379806" 0.732939180604409 0.346738151177523 0.163141959182159 0.0835512814660478 0.056281104037979 0.787216249638625 0.0552547821036212
"cg04682193" 0.837092407311701 0.0902629696563552 0.737323113181374 0.792429422116736 0.0701833242278766 0.740843498968209 0.0453552009065859
"cg01233897" 0.696258151133858 0.250761601998622 0.0570914412636693 0.07848466033244 0.0688544161690808 0.620402071804314 0.070766746840399
"cg25729350" 0.646418560531721 0.123004787468156 0.0936016447539622 0.0767307352291925 0.0554657271120651 0.432071492723341 0.062122801694666
"cg09370867" 0.751124982173593 0.253138244534489 0.0840417118856211 0.175179440270564 0.0928328863623463 0.835009675054705 0.104741956944409
"cg16563370" 0.721046103255737 0.128799631299241 0.0862075952657212 0.170132826390561 0.104651639704196 0.799395430542732 0.0946197299341683
"cg16261114" 0.823958427137057 0.481397034331517 0.187356228495542 0.284202506973419 0.0851230616482184 0.834463447635697 0.06172291806506
"cg05228359" 0.704543099014645 0.311754893273405 0.0806572126071894 0.0651097292693998 0.0388116738963536 0.655348645362851 0.0355731022706592
"cg22742001" 0.862797982444324 0.719127266386214 0.392999155036073 0.151800752792695 0.0613617119304328 0.902628244510386 0.0523916520576598
"cg09287328" 0.930838662958558 0.77549798572109 0.632019188409629 0.142669530997449 0.0979467965741795 0.937303905306777 0.221578974415812
"cg25978218" 0.684659874858357 0.0590475878128503 0.222371607090852 0.237755720912184 0.0676865654342565 0.519208711361593 0.0503198901224566
"cg06760238" 0.781864523460357 0.0968889292994229 0.477540708406209 0.484744082018953 0.0631658441188842 0.77504757815896 0.0742992011043699
"cg18739675" 0.786014919767203 0.078845601846041 0.506072538681449 0.622926072077438 0.0503882259580256 0.606418893058069 0.0586117834042496
"cg15982099" 0.865712705977796 0.804039679155576 0.0400104143036164 0.146404088808265 0.0527176858260619 0.916145574094999 0.0460961069885175
"cg10099758" 0.691571357741575 0.0714418616633874 0.0890573787515822 0.108589467236045 0.0816023058195408 0.596347991425231 0.168017260344189
"cg25711558" 0.694993835975571 0.190384643988175 0.064857224114215 0.0650128283375348 0.0420007472798468 0.803058483488689 0.0390513111258508
"cg09169413" 0.790473171681737 0.395011458507795 0.32940275720649 0.0898452255913976 0.0770163818659964 0.817985825443639 0.144177381855953
"cg23249922" 0.926982677071756 0.838503148117762 0.614023102109811 0.114140260387457 0.042603519617962 0.954136760476358 0.197643361836638
"cg04642300" 0.650888573814068 0.0599484939559672 0.0622896079567828 0.100907784729292 0.046126300185689 0.518913712786133 0.0484676548733549
"cg21593001" 0.721880790506948 0.170077925690052 0.0475226854523772 0.178830770854057 0.0531734188792235 0.786207813866229 0.0474550463715407
"cg01022219" 0.899012855570554 0.307462465552349 0.149104243287231 0.716756709725826 0.113891988925447 0.90179442395023 0.0932338058461725
"cg26681770" 0.68957651727148 0.0758591967669273 0.0401852026119632 0.140596846229384 0.0423314971024623 0.761920946281907 0.0400139481120093
"cg16097858" 0.715114453546613 0.175325598619614 0.131668801761793 0.0900451145704536 0.0806920482693141 0.674924427724558 0.0754595836487763
"cg04905719" 0.668206745266754 0.0741144295096881 0.0285210062300223 0.0673016289026081 0.0343509750763608 0.717774624524715 0.0365501072586981
"cg25031824" 0.801132051074919 0.403357847700372 0.0686444218137474 0.21046574193753 0.0726444981070432 0.83684589336935 0.0655460553397876
"cg18150584" 0.835709367161353 0.6057349288296 0.0488847111601281 0.171192156983815 0.0512705237942847 0.860689659336711 0.0491750501992373
"cg22193912" 0.73682014013832 0.174479805785417 0.0296309188801796 0.21709502273695 0.0302414250887699 0.866051504286971 0.0316499723741369
"cg26402417" 0.859686647828619 0.594454826090659 0.0851424119097856 0.194261556890233 0.0676680346742581 0.910276951562469 0.09571258507536
"cg06650256" 0.841018447075126 0.25567814650436 0.497159257665579 0.5144499850883 0.0548411624344701 0.709092238462917 0.0687940838338568
"cg01543184" 0.817944517690814 0.302998898285484 0.0753803881424857 0.316641030083555 0.0788083095609559 0.896732604305033 0.0717852908781287
"cg09662852" 0.693514373542133 0.0780099544340507 0.0563440723827943 0.129126074957239 0.0612630960649004 0.581004190100636 0.0543499039493242
"cg01231183" 0.815207423410999 0.413100184956131 0.124847621384885 0.0962049978548733 0.112922244115376 0.844794244571154 0.106371057829518
"cg07598385" 0.696529867347364 0.0641627758187792 0.0393590527588252 0.184506993261843 0.0337926587898252 0.627157719719569 0.0271877630113414
"cg25025181" 0.776856686654617 0.258299372439366 0.10579400030943 0.207418915367589 0.044100947886126 0.839555315592526 0.0521647073753034
"cg23582982" 0.827991734384891 0.353344396270784 0.302291257181532 0.271782076913413 0.0584610053548257 0.855301783506225 0.0432706769117128
"cg25394505" 0.782078311207679 0.0961265005335494 0.229215808276791 0.209138848217974 0.115675918528225 0.731945854426916 0.158706523908973
"cg09885622" 0.826385070547109 0.112808357012251 0.476913667140828 0.293403626079179 0.127399037099573 0.671869479775944 0.232933479537382
"cg11787160" 0.838994564580263 0.288895787117424 0.0995156846866725 0.21003361950714 0.149573211551027 0.84779003651985 0.14943668157132
"cg12465678" 0.850842526843712 0.105282584516826 0.562054508068376 0.609281876082696 0.0719160380714837 0.698851524949866 0.0740148192828283
"cg16922167" 0.801914902309132 0.238571560659162 0.107612208209964 0.225294972901226 0.0860063115459472 0.810517402638009 0.0783390502070564
"cg21495704" 0.879052005465932 0.103383128112188 0.450184502348066 0.659300205932942 0.0647588199320959 0.872944931940566 0.0755992132278758
"cg26923863" 0.839475690508263 0.0797201213799364 0.640494301519156 0.524234576058774 0.0345008191205518 0.798750469746328 0.0304320700620782
"cg07785552" 0.761184836819713 0.126584237942648 0.330206997869218 0.0784098812858049 0.0579481653942973 0.696939509550505 0.0524919003090386
"cg20455854" 0.753503737436307 0.105039772869241 0.0453851320287046 0.121991966900282 0.0319641630392079 0.723317301356747 0.033635255542162
"cg13468685" 0.811945851186564 0.107743871822886 0.402808340431258 0.264108882224896 0.0712801698900453 0.640570814638272 0.0633984119294975
"cg19628988" 0.788792626881916 0.0648846114405005 0.0790467792027322 0.226629785805313 0.0480788622313318 0.787385181081033 0.0669881753395997
"cg13448978" 0.804504273944791 0.19656325292507 0.0338154756545709 0.126882201013707 0.0306398335035458 0.833358003085119 0.0303554545128473
"cg02380585" 0.746315071979407 0.0446369319566404 0.0268719770083195 0.0338120499378298 0.0302509757393854 0.78413039821269 0.0282002672403668
"cg05875239" 0.912592558865946 0.128243984648481 0.872222452667368 0.833625921499196 0.916598353870674 0.859698249270779 0.924094961042829
"cg13617280" 0.916326099040032 0.113092103780776 0.802710448003717 0.830940690699974 0.9017593019448 0.880540596233335 0.863092254380412
"cg15956469" 0.944443460620952 0.198345392053292 0.921194515487981 0.896451008369041 0.950171895621095 0.824239403738943 0.955271958824899
"cg12811871" 0.950984687017058 0.156958394043297 0.84189030876678 0.746536115997552 0.968892950883955 0.640231301758619 0.977615422434401
"cg27274718" 0.880124750715109 0.139457167026963 0.76906095588176 0.8285744425277 0.878712188933373 0.843751967834284 0.882128292645649
"cg03538296" 0.855696901397268 0.103230022178799 0.68619111294617 0.781784835548767 0.863369180871796 0.720563888685901 0.864413355974308
"cg24430034" 0.959027063410002 0.237591045727969 0.971480864056473 0.907517049750599 0.975878899850257 0.852307551151947 0.980898451492709
"cg27582527" 0.799011912176918 0.0729944285945145 0.565103704892213 0.771444944308561 0.862393501005056 0.504162098464594 0.862637167855556
"cg13917614" 0.912849741505151 0.178462753309168 0.894186852482007 0.780658950771455 0.923680740778477 0.824918856119954 0.942359418178609
"cg00805874" 0.934749414803351 0.185660439413969 0.978340229430313 0.819528924818922 0.951078433238627 0.607915364596149 0.965678377035395
"cg25383568" 0.885712011450003 0.19020418634572 0.936989277980393 0.85648911034577 0.945246802268121 0.65375759518 0.949230549922281
"cg27309871" 0.8830037413628 0.159349382426273 0.74600417747242 0.849059946326057 0.897850094405107 0.674701537270521 0.897581425719538
"cg00594040" 0.853933778059368 0.143291699807486 0.371251616311327 0.835331758591924 0.895294582413632 0.803272004688038 0.890671283647904
"cg21828319" 0.891995310312334 0.166675709916697 0.851448303488617 0.763005951764655 0.882029847874927 0.846919847893298 0.890904735949995
