"CD4" "CD8" "MO" "B" "NK" "GR"
"cg00366435" 0.0690223905195603 0.226448045382802 0.894913939553387 0.914093592921503 0.874029392744016 0.907167120038033
"cg01154505" 0.115319508240886 0.389580699918607 0.933312046109444 0.762875310570222 0.949262708696684 0.952755291439503
"cg01874152" 0.0831921248705253 0.433630957986145 0.859258431928036 0.845084847995467 0.802146184017576 0.869869200954239
"cg07679948" 0.147029257867981 0.319172168095999 0.946380654546149 0.956266874159039 0.953643826832811 0.956099368200559
"cg11848483" 0.0756267245149411 0.138689588761237 0.89517624856877 0.884083015103627 0.905197324927784 0.906902672444386
"cg16452866" 0.131623791359303 0.194732719504728 0.935751646348688 0.950235251953534 0.946409422941891 0.947216264765112
"cg11710595" 0.175767004624504 0.641688405343343 0.86777433527183 0.892215805941763 0.852230838051341 0.88742176893157
"cg05931551" 0.190045998393047 0.735946667547974 0.857652870936131 0.872835920726322 0.867392487440507 0.868866811832665
"cg19001909" 0.147670507694884 0.240298174646092 0.942676406489575 0.957432856033266 0.915132734236141 0.952437961516006
"cg07133479" 0.147808203989044 0.617309907058537 0.839934358886434 0.874079785657449 0.825408322155185 0.835579561970516
"cg26166854" 0.115403684026169 0.543138225031659 0.861692602915281 0.873718570151233 0.668022308952544 0.878192355201586
"cg10837404" 0.202675491462726 0.62131322978695 0.899759271526295 0.90509769510252 0.904809606836622 0.907380648745824
"cg05705140" 0.0926469735900089 0.304761779096987 0.882138908147308 0.76965482641564 0.846371848191063 0.888762141245217
"cg14477767" 0.189037845535111 0.717817218824768 0.873709474507176 0.867606681373612 0.814584819969594 0.875462291592781
"cg26852712" 0.168408080206747 0.485028179249412 0.888964256650585 0.893266493200375 0.865533861385601 0.910270199197329
"cg01490728" 0.0732821195603506 0.223618361181082 0.811779700200482 0.838997320525802 0.834939848619603 0.821112015836154
"cg23357533" 0.143979524835673 0.370731347239169 0.865278312174248 0.886859585959469 0.878161674140975 0.87242938220613
"cg07970799" 0.189610920360956 0.557458929527488 0.916614366966015 0.914727889579642 0.781859901131697 0.923798082887403
"cg18735089" 0.100221654855704 0.118453487426942 0.888778281971682 0.901476337497758 0.839520714774528 0.905004536845247
"cg25486399" 0.122474271349474 0.366800527455703 0.847952481153811 0.869119323336838 0.828109409864443 0.837835862602602
"cg09526469" 0.0990183852324298 0.373444709283479 0.84930737468882 0.738518885995595 0.806878460775301 0.861210568495603
"cg03388043" 0.081919985162522 0.0844463280277005 0.8992035244601 0.929003806674184 0.714600125482309 0.930612331820629
"cg13750061" 0.07479165129267 0.0816105289658033 0.8548622447315 0.869288094595176 0.841729958683779 0.857172111220511
"cg24841244" 0.0692429529520299 0.0765675252850803 0.870613802034018 0.889483916294879 0.764782227435804 0.875549804745285
"cg14522718" 0.0834127777596375 0.0801307392182757 0.914132931354084 0.936538076189003 0.703225044641214 0.91557950729516
"cg24662823" 0.103244921470458 0.266381686995933 0.876835741794794 0.891566908692683 0.710821854871509 0.885415062081493
"cg16775598" 0.108627153721868 0.19242724937694 0.858212493437108 0.874619873244371 0.855578083019121 0.869030432555255
"cg06915826" 0.0918508196754256 0.174383050910517 0.849457686861152 0.853252201302336 0.836703183901838 0.848070646111305
"cg07015803" 0.168936008078948 0.228081927601674 0.917155744925111 0.934223851265383 0.935678708174668 0.930185781177779
"cg10558740" 0.108923263846038 0.146833091623188 0.872400329654215 0.894769289716415 0.854173727129511 0.873541523208039
"cg12353788" 0.124801172001482 0.320862578793236 0.824168674638873 0.853345088492206 0.851181743671288 0.848733070282301
"cg23896695" 0.0737487287839645 0.0941891417013364 0.852309203946733 0.856860235726416 0.81726247336416 0.831874945252254
"cg21254135" 0.102230291081238 0.236637642537916 0.844920021186909 0.846875031784485 0.819470069071118 0.839982384418323
