"GR" "MO" "B" "CD4" "CD8" "NK"
"cg05398700" 0.111776233682814 0.889204708440718 0.964224805946965 0.974659779291108 0.973834136603871 0.974977581383641
"cg22381196" 0.076715112686458 0.756082280932063 0.945336218866489 0.940282633447567 0.959387740230705 0.937950024557674
"cg00660167" 0.112352910814525 0.756331524539183 0.970230422231792 0.965498897423913 0.968848549068702 0.964767830615149
"cg25739938" 0.0907653246563062 0.854285319875455 0.91381143157294 0.912118406322362 0.920471839784439 0.908064598338063
"cg05936004" 0.0820747378362617 0.776804809525588 0.907995005557369 0.926260084171895 0.916289224140431 0.894724021246888
"cg08253808" 0.0816464163747845 0.714483824225567 0.90824341623004 0.920505990561758 0.935721175132155 0.918173004092426
"cg12483340" 0.0793902225625567 0.775610391266046 0.897467523097626 0.900894435484379 0.901895937152197 0.899980402402235
"cg03146219" 0.16121809845052 0.902537193603546 0.967141515652095 0.970166157785769 0.968322228447896 0.968418039637245
"cg00705730" 0.0976075592036779 0.838291613726092 0.910915030849085 0.898194010544488 0.898374637938902 0.911511668576673
"cg21792134" 0.128638725803608 0.856538384185083 0.943473622903436 0.92817975800771 0.94772036101165 0.932624606525457
"cg06526020" 0.0923409789761878 0.823183317666331 0.915348901156259 0.878915906894012 0.905307780646272 0.885092661774805
"cg03637218" 0.0907821711261693 0.851639899553783 0.904696454880373 0.875631487450869 0.884678770028203 0.868156691667758
"cg06270401" 0.0949942471656274 0.831781383381601 0.911709037824129 0.915340489471357 0.880709350363922 0.865453543151116
"cg13468144" 0.117220538464759 0.88072328241795 0.922545814204004 0.870667171463015 0.924950361768196 0.904803707887213
"cg10611016" 0.0823767042315753 0.63926325594761 0.918981014938262 0.917803028068898 0.929583910823969 0.917891223937975
"cg19037107" 0.104321472606818 0.841068272531253 0.9087448679757 0.912980489158306 0.889160373857192 0.876778193492135
"cg00439981" 0.0708633532581621 0.549859760737002 0.940047018626949 0.913025088595676 0.948358841530026 0.904055745724161
"cg04609694" 0.106284934054417 0.807048702891034 0.904087366049154 0.905525141305282 0.909942815489116 0.892217696091091
"cg03340036" 0.0830940181406304 0.719451561273973 0.868575746326595 0.883017041071547 0.902900709835907 0.90069623086388
"cg23819411" 0.117474700663993 0.679781726307073 0.949414559862273 0.941564692824252 0.943153466816252 0.931588100138556
"cg21685770" 0.0724903157156249 0.70911408434766 0.85391753920556 0.89358362170079 0.902793599107607 0.857832575273388
"cg15878616" 0.127741528219526 0.586458486757031 0.979577576160511 0.965844601088987 0.992453288286985 0.966004385961829
"cg04858164" 0.121039686334228 0.833550951523907 0.905874624584768 0.876342740919785 0.917687973413762 0.899285250767797
"cg11014468" 0.142524669360449 0.865069766638437 0.917327268757535 0.912773921353141 0.917296442152627 0.912205733265365
"cg23169883" 0.0963382381335378 0.41612495565447 0.977246035370289 0.950621203215731 0.979731749224988 0.956903618295153
"cg25006077" 0.127067353282538 0.85267296026883 0.918416611038846 0.889922971776369 0.900305824333067 0.872287607804516
"cg21285555" 0.0858682405076314 0.767624825261391 0.866650769820782 0.886682590878353 0.877544066744164 0.82745907137131
"cg09342997" 0.0955399723514301 0.776428982261778 0.866571966999706 0.861903907122057 0.882985263477386 0.883128489628115
"cg13652008" 0.119840572498205 0.777208455946601 0.904916526757894 0.908971397978572 0.909146164032199 0.886776260622014
"cg25605731" 0.0830832626601677 0.502977818132216 0.865708367519076 0.947863519938229 0.948693098362333 0.937834055038615
"cg25600606" 0.159653632020194 0.852515793583719 0.933047438206831 0.930655951200799 0.937315031548076 0.928472076360618
"cg01692842" 0.0748414542935162 0.798728393326251 0.843552018968471 0.867777483640663 0.838220356576272 0.803167519999417
"cg05627557" 0.0823834792386796 0.709068476958104 0.866704106922453 0.874818410409478 0.865719069801988 0.85577171308291
"cg06465076" 0.115847317969698 0.738570109634048 0.908631550493348 0.897204667229077 0.904821000138539 0.889209089058767
"cg17852482" 0.121540702257611 0.817759591000288 0.887065510735928 0.902988579539522 0.889623329538814 0.867632102687462
"cg15724534" 0.154932415835242 0.852939039963518 0.9201368953269 0.915453541100878 0.919997766774752 0.91454344279414
"cg09859659" 0.135343260901486 0.8478895690171 0.878796167636992 0.914448057005042 0.914333094112569 0.867286061654129
"cg16802439" 0.171953033848343 0.720064720611351 0.974159930075881 0.960224330051963 0.984193588672529 0.963281211262031
"cg01699630" 0.130848016176813 0.855328493611234 0.877424455147176 0.887818243677517 0.882219848447633 0.881018273541231
"cg12809098" 0.125220066368069 0.698087539292399 0.921664210566468 0.904709766027213 0.92367170165423 0.902965830506766
"cg13595556" 0.112684016574975 0.68645183180933 0.929327788351451 0.903588209023893 0.898705728845572 0.86450055128472
"cg04855678" 0.0844229225688079 0.535042699135575 0.900629754085464 0.907696873405112 0.931017429119795 0.865443361371115
"cg08154963" 0.106460862168806 0.752017934576904 0.873758193489188 0.885073271264024 0.877991866874245 0.854887514898132
"cg15086439" 0.0927437626878916 0.638512606666796 0.882564146603993 0.865074660870875 0.903285436076119 0.883138525632492
"cg07409471" 0.157231103560893 0.83315753862777 0.924720984664641 0.919811165947613 0.915739660990619 0.898974460339636
"cg19460836" 0.0798851772582571 0.623549786661178 0.873361813156805 0.87509304886671 0.874850234167429 0.857859178849439
"cg07212327" 0.0907403430880515 0.673564170471394 0.876682012918034 0.860720581967074 0.893090691203448 0.847844224272578
"cg15520845" 0.143968854528685 0.825866071787082 0.896814343026319 0.884818879343336 0.91267624751756 0.890288270904557
"cg25757820" 0.1533642089286 0.761169000803661 0.923726289734876 0.928250768518496 0.931751889089039 0.901717577030384
"cg25968394" 0.117261618896281 0.649321328029344 0.89478565374094 0.901096847488578 0.918327999787098 0.901704970352802
"cg01582066" 0.684350273490544 0.17643920129415 0.374320301877673 0.337995526372355 0.283592537833554 0.132965397304298
"cg26609120" 0.656200201431685 0.106119262678768 0.0447166910845605 0.415520744181334 0.349660523659793 0.230749272631195
"cg17717866" 0.870829298476929 0.517655326372216 0.527511292285471 0.298747292661928 0.363703229379398 0.481504471432581
"cg23651889" 0.692627399930877 0.237252752634119 0.0808609420629701 0.288737953140245 0.433424219683063 0.240154990102675
"cg08608952" 0.788279318696915 0.389239722120179 0.333307264397856 0.37331687968914 0.318327039126589 0.335469341074422
"cg26283496" 0.8665349441627 0.419827810190389 0.509645554674507 0.50360608306854 0.443553161918342 0.22082724097255
"cg10825315" 0.507251241473099 0.0819910299701168 0.0541112542265319 0.051343110202801 0.0551759673922402 0.0509453830295003
"cg17486314" 0.738545396882078 0.424107899015341 0.481913330196762 0.183300446551104 0.127026875182853 0.21887935954325
"cg21761853" 0.581378790630491 0.163387422304966 0.167422110425287 0.125392381652657 0.0785573468840534 0.0868279858476826
"cg21052932" 0.589976310903748 0.444964757121055 0.0482439921463893 0.0644871639097423 0.0331272558173167 0.0717936124983517
"cg26562691" 0.868943070561973 0.44989390932985 0.284528194334643 0.466581397313197 0.461857626029803 0.394059020322806
"cg15535471" 0.833511811498242 0.402661856526501 0.417064664201343 0.480748675641118 0.413233477900812 0.160729886782426
"cg21221767" 0.55333837326538 0.0951078394313098 0.0418923623799734 0.0634067764039398 0.131661736934302 0.134765481480956
"cg05021589" 0.707938628048376 0.108860648180255 0.0661975598403087 0.255423883633102 0.390355359878004 0.40997066262413
"cg25133951" 0.751530775524983 0.466334145578795 0.0644033174601949 0.419036753113177 0.272587930288067 0.215126202422513
"cg21057323" 0.687675618919267 0.363588155797754 0.251369531002946 0.150530460816524 0.142697809181909 0.209416267717361
"cg11906021" 0.82815135882837 0.319374860398525 0.408564256715971 0.521428045708766 0.374120128257267 0.188116364859662
"cg03889044" 0.765347024540248 0.501858729812238 0.33156019033841 0.166521592100342 0.131581288321516 0.360143988712427
"cg26169783" 0.667429482355167 0.130147757343748 0.229932400207108 0.223016056349428 0.245244511462473 0.154115154023469
"cg17694130" 0.852306839060369 0.395132665721426 0.385945445518818 0.409837835773327 0.372918823104764 0.331160129440304
"cg07248223" 0.603415487757073 0.366882135648221 0.0593928658741802 0.0717452822050952 0.0584002313190839 0.0794248069800723
"cg07754940" 0.725796524803935 0.277456909485582 0.315156160787472 0.227275947431086 0.209850534306652 0.213893271612764
"cg08653292" 0.850583859320585 0.573031330506793 0.134553763194581 0.31717780524715 0.434100405691418 0.404697846869156
"cg27051683" 0.817411933906135 0.519928278798989 0.407661459309844 0.179094501727867 0.144208051227552 0.439131158061124
"cg02212836" 0.801869137694969 0.255548666005697 0.135019769655968 0.302286944896992 0.418803362092768 0.490225631219234
"cg08428292" 0.830043124086717 0.589255589917082 0.211527626115453 0.214017134305499 0.320464378234194 0.369007681891241
"cg05492387" 0.774158832320045 0.148268518626549 0.192311481426426 0.31934083702989 0.395921085619196 0.347665647734466
"cg20146241" 0.602272639709754 0.30359839299693 0.0519733641014574 0.0646464864471704 0.0385199169281256 0.061107601204641
"cg16047279" 0.62309829982208 0.367670049314212 0.0503748805643187 0.0695790182351332 0.0435364169821529 0.0570694874344429
"cg02007288" 0.880837962111636 0.165121611356348 0.398204476058203 0.444660340954441 0.454281805378214 0.393735769259657
"cg12240358" 0.869869259927328 0.34167526051958 0.0962465136245805 0.433322736505643 0.501678284291785 0.409957197802316
"cg00795812" 0.754784774596861 0.301798459143825 0.30744697126538 0.0887263129938305 0.12547131823091 0.369469560396408
"cg08817540" 0.661283036478623 0.0874314938373593 0.308198039149921 0.0647221946800503 0.0803750166505686 0.170724224170582
"cg10502324" 0.70656678961465 0.121026988905352 0.373428621744031 0.0906101507196998 0.133282261851112 0.214156616362369
"cg18128887" 0.620488184523171 0.312462622394588 0.0356424362278377 0.0475110415904155 0.0182032437167449 0.048233690580821
"cg24314564" 0.85303060329882 0.103944536329464 0.453717899047197 0.360825156539891 0.342861588518022 0.352049019695769
"cg15474337" 0.657746723127327 0.0749401345926182 0.0590369144917868 0.209413210582034 0.187659287117183 0.0889599418501932
"cg27058497" 0.638352825556691 0.233992108029625 0.116358720977523 0.0728703218208424 0.0398021697907069 0.0563024261355578
"cg02331830" 0.723708333022649 0.156198528652483 0.24154686656047 0.0898094379252875 0.11158131910925 0.322923096454718
"cg12991306" 0.790451515155787 0.118193729762421 0.0727986288422288 0.466226702026837 0.360787330392135 0.235937075630998
"cg09221159" 0.715487055776624 0.450446559666021 0.124385010791159 0.0972314003791157 0.0588182136788158 0.106435339798004
"cg03722295" 0.73147045884596 0.260937564643524 0.287631995992636 0.131639040707461 0.121926712738055 0.103303560850928
"cg00661777" 0.677211279525876 0.0834890814911476 0.0734364401147051 0.243958487995688 0.148411785538889 0.0770390994413035
"cg23280720" 0.821501286525852 0.59149787391012 0.193361037164038 0.0982263470530596 0.0569183106656766 0.21252374680967
"cg23954655" 0.71752890605119 0.16366953400568 0.0714494442861263 0.0666540034743737 0.0760409454910814 0.131450411352822
"cg10699171" 0.794278868304128 0.52403411931885 0.0917198389073564 0.104049989009522 0.0600800899757789 0.112875712716772
"cg07427475" 0.813907915074204 0.16469428165958 0.0678061536157122 0.192523356459128 0.166182465862826 0.321067511173201
"cg11354682" 0.836964547618085 0.0911225612376393 0.0512623482382451 0.302046253955521 0.313442140288665 0.0895752011805868
"cg26341831" 0.809063530299777 0.235805572106834 0.0479824397754584 0.183435585610661 0.0492887493759836 0.0842554800830716
"cg09993145" 0.824496455857466 0.100208371243363 0.140209935518904 0.0596616544843724 0.0262349443453077 0.0457505802857576
"cg26872907" 0.956983751749084 0.104377614778695 0.953197481004609 0.830721865030834 0.957734888586604 0.859368864860321
"cg23244761" 0.976495543715985 0.149583520384396 0.973114067006225 0.896833716091148 0.980186787156909 0.906209709858412
"cg05923857" 0.858860301196896 0.105749845113399 0.931121412264907 0.774008976510567 0.936017346849913 0.853413973359892
"cg10480329" 0.86752245796657 0.151490729906629 0.916431892557733 0.891955886963327 0.930376230322141 0.890081547805277
"cg24788483" 0.925921250131234 0.175250172320905 0.950013476997289 0.851108720861234 0.968854078966867 0.885334656857671
"cg18066690" 0.919445113188904 0.160779922253973 0.911435130259653 0.864011431717848 0.913328763573571 0.881390846759684
"cg20610950" 0.581671045344689 0.101328347306252 0.916573326965252 0.864243546985547 0.935188931967467 0.884761242357621
"cg12655112" 0.672405614162214 0.108396100473562 0.869529005182677 0.843698881527215 0.949037439637846 0.881528000935131
"cg16636767" 0.877176410991811 0.163442876245513 0.868317440023223 0.858474796446897 0.910578104171009 0.853268092427674
"cg00701951" 0.654359443307165 0.103895489773116 0.901485291805559 0.834228624027799 0.86402279811113 0.812181761315608
