"MO" "B" "CD4" "CD8" "GR" "NK" "nRBC"
"cg23244761" 0.0964037716254612 0.965974017963328 0.96709310933268 0.964271558361553 0.963986488512018 0.960795507855347 0.900287959600078
"cg26872907" 0.0712768203379412 0.93733178472793 0.936836455381063 0.933639795163701 0.92909015454818 0.929918562012765 0.800574219363078
"cg05923857" 0.0786575402088457 0.927980095866973 0.842544145769128 0.91646784587569 0.837539039553157 0.89665237808487 0.831619537439361
"cg24788483" 0.127981061202122 0.942712514521803 0.908273734586389 0.957266851306594 0.895038738395875 0.936866232966839 0.835016370355472
"cg10480329" 0.101362973313802 0.879299329286066 0.906307606997066 0.901511350673978 0.847823010126126 0.896489573755048 0.874533269784372
"cg19835973" 0.135438068754721 0.938815005859658 0.900291993445317 0.908627233048577 0.924569366943574 0.880334489554787 0.788491895972092
"cg04468741" 0.10314036035578 0.888711899185664 0.857900409613181 0.877671066766023 0.834183493537332 0.87688663471166 0.814219556668015
"cg20610950" 0.0757093761187255 0.900013912317414 0.908192027460811 0.916564106486228 0.599047051872448 0.895403285398287 0.866315493209983
"cg12655112" 0.101701171024328 0.870134175494495 0.896832450150023 0.933643024748307 0.720089706444623 0.91947310203026 0.752306920573666
"cg08908131" 0.089860512329503 0.851696543636134 0.85397251987408 0.827074550111913 0.855441839103877 0.838496508776369 0.654661691615452
"cg18066690" 0.143967823112082 0.896704410751261 0.900172602817193 0.893592366360253 0.892647561052825 0.897404856655954 0.799506236269136
"cg11231069" 0.0666365418360811 0.675728862399492 0.821195586435444 0.811025793014961 0.952783586589534 0.600077114960765 0.869095143364389
"cg15816012" 0.12323346712748 0.910721335713132 0.834996908661847 0.842403767162158 0.894540227596644 0.809711145223826 0.705400263071129
"cg10624395" 0.144791572875813 0.871770391976976 0.886849954054162 0.884870568053242 0.896282692813494 0.896177837191593 0.791800823956252
"cg02244028" 0.133569736071037 0.885226021580737 0.892960070593223 0.881857111615888 0.846927118488149 0.859562232061554 0.705118966671071
"cg14109551" 0.114760101066678 0.889886177028795 0.893378188669956 0.897516996627835 0.760810038075604 0.873825859626528 0.619284681443924
"cg22675702" 0.106376519700754 0.832004512593301 0.850747484208396 0.8505579700411 0.811945640989309 0.84826220436798 0.835133317824778
