"GR" "NK" "B" "CD4" "CD8" "MO"
"cg05398700" 0.0761309293240366 0.96129439656777 0.964583290500255 0.966165617347698 0.968328817457002 0.93383950879778
"cg16802439" 0.0805876454866373 0.961306063117143 0.97462684464864 0.97744317778735 0.979912712018976 0.780120974838033
"cg22381196" 0.0595594167370116 0.91496270755019 0.922965244761943 0.926103586848889 0.924664362196767 0.694707560831517
"cg25739938" 0.0828664468194061 0.8814781695387 0.902597950290615 0.90236735079428 0.908350001337616 0.888998254922457
"cg00660167" 0.110883091364039 0.952216056987075 0.961519984846196 0.961838675817397 0.961796253604877 0.754188240181057
"cg19037107" 0.0840075228034908 0.884907739814584 0.912338426743225 0.898212252126907 0.888259992765479 0.861895497627777
"cg00705730" 0.0810492509321579 0.894250013073165 0.907566450165379 0.871266642845664 0.880421442341597 0.85860706298324
"cg08253808" 0.0785725630192591 0.898715528118483 0.886205386930518 0.913194950440778 0.912810884073582 0.761766024565963
"cg00439981" 0.0716331810764014 0.90452496388767 0.915616969346347 0.917974592079259 0.915712494758302 0.662787238441049
"cg06270401" 0.0785265937341978 0.852510423315148 0.90519229693716 0.872023437557815 0.868710643358488 0.856399941114441
"cg18023065" 0.0686142563415591 0.95809026978994 0.9780020029263 0.973757761792228 0.976725949315282 0.399234738500469
"cg15878616" 0.100051673871882 0.959299242339242 0.973133002595829 0.972954941421054 0.972850873384597 0.553180842593596
"cg05627557" 0.05457496544866 0.859115182433851 0.874412031046354 0.870965149474855 0.884409846251511 0.712206185399116
"cg04572930" 0.0685297407622399 0.945308397368993 0.943223888918321 0.946976320245794 0.961162950859721 0.435113127858527
"cg03637218" 0.11356370794081 0.881204463129162 0.902947360258064 0.894054265431546 0.886824611585039 0.906746396189631
"cg04855678" 0.0667365809743668 0.834472073819804 0.920664448827514 0.932656938423274 0.939483029322413 0.59092154118606
"cg05936004" 0.0885925940014485 0.857778833720716 0.896459773459654 0.881630723117886 0.887077847942693 0.810951658470509
"cg23169883" 0.0809625360403088 0.957737906641192 0.97103325354814 0.969696828352133 0.97263334660178 0.406247088628411
"cg04858164" 0.125568455905572 0.902139473376403 0.916228649916215 0.907525702426097 0.91558636127497 0.868208454536259
