"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg16452866" 0.124217019122528 0.947604336498462 0.905696463323278 0.950246483723513 0.950634600285445 0.187690892906054 0.96505490584945
"cg00366435" 0.0863306024978792 0.866183269406634 0.733246489258063 0.905974792158537 0.912861954541372 0.239278874034097 0.916968413034389
"cg07679948" 0.158405712643118 0.95269191257683 0.954894993454788 0.956080808713026 0.9636131342032 0.318488755109517 0.966273107188875
"cg01874152" 0.0883753309865954 0.837228634922031 0.592784614701895 0.85198747416815 0.900755473874818 0.468292800197683 0.892839496620942
"cg11848483" 0.0920472992129539 0.895212859780335 0.741358454650373 0.878863485434234 0.904005778432089 0.149616637019496 0.913089261561152
"cg26852712" 0.131458877381809 0.875179175647819 0.932755209393983 0.88961384014335 0.907124250742535 0.385252545739826 0.92886897325557
"cg03388043" 0.0896360283768918 0.751407028643034 0.890428551981578 0.928644825571182 0.937250109329402 0.0768011852020454 0.958838635466525
"cg07015803" 0.151815667468298 0.938290425871805 0.835216364013149 0.93743106662466 0.940793021773953 0.218206847674776 0.951462397740344
"cg08338281" 0.0972960211002194 0.830417651574799 0.885977103350825 0.862917237075976 0.891687492362799 0.116707746461916 0.907868053878221
"cg06915826" 0.0893672654659424 0.837195476773315 0.748553174209855 0.853165364155987 0.863942552526715 0.188694825991956 0.859038533411806
"cg23357533" 0.146525557867805 0.868798884339008 0.863923452199822 0.886773438174563 0.875262284650908 0.381520835597947 0.875594598891554
"cg13750061" 0.0897048500491947 0.844644463756862 0.645028398161701 0.859528618310853 0.868829149246772 0.0922209864738108 0.864620637594002
"cg04347414" 0.115531190698838 0.849077150250897 0.688156575929676 0.87496509062904 0.893688757921207 0.123530329206571 0.919132773740867
"cg19001909" 0.20596680176652 0.929941458934012 0.860069264476636 0.962372462577067 0.964009036801038 0.309183597367743 0.968118625983415
"cg05705140" 0.0921051808338532 0.811383607049515 0.66281325634022 0.756965833671089 0.88844154100527 0.253627373808801 0.887659168033295
"cg14522718" 0.116512032798546 0.727457317685563 0.93845430547419 0.924389492982374 0.937185701057898 0.0834635462675782 0.931820707244117
"cg18735089" 0.122107937159679 0.837827102349134 0.715575608874455 0.897049323574035 0.897551410116355 0.131517040724452 0.912353068133282
"cg05931551" 0.189406938204884 0.870096907428904 0.80037144206662 0.86905295078125 0.871729204567613 0.747662549337738 0.877315495300203
"cg12353788" 0.131416250746703 0.860907326616269 0.610067096227241 0.867824412181891 0.865407424731754 0.334785577473646 0.880584792327598
"cg11710595" 0.177579149584851 0.856023285556814 0.610403665526461 0.887862867487663 0.875487167522312 0.649691063572241 0.895229716258079
"cg23896695" 0.0813865874560924 0.81624941912781 0.610886205215842 0.856664330160232 0.861878507025257 0.100249836987898 0.837067687318645
"cg24662823" 0.100056261313203 0.696733946984059 0.700606332822873 0.880357462810644 0.896739271164983 0.250131079993888 0.89814431493726
"cg01490728" 0.0874817874273804 0.832528991370974 0.505100729872781 0.830008298759231 0.830876469642759 0.243608276858737 0.835285831374362
"cg07110949" 0.197487979520489 0.917233540757936 0.961808563684858 0.945489286984244 0.958217738995833 0.214574585251652 0.95902396993363
"cg10837404" 0.211420779588697 0.897836073920205 0.884264861481417 0.897421588878254 0.906642073176596 0.63816115235932 0.90979252557632
"cg10240150" 0.100532900863253 0.794588904458577 0.60147473871934 0.868738657823548 0.856613972695401 0.217737254714477 0.858719645523393
"cg22230912" 0.103374978150677 0.854986687628775 0.493713868194339 0.895849700516215 0.861157447051016 0.143164465381785 0.83290099870291
"cg25486399" 0.120979916060069 0.832485576448592 0.300032082305483 0.857745097159107 0.864830885229215 0.397633654566437 0.844775326317027
"cg24008435" 0.161454376456009 0.860449792510494 0.82438309957996 0.869603438660067 0.874400233437189 0.425483518752951 0.877113445446409
"cg04712122" 0.102474564169623 0.838633533254685 0.708146898950167 0.855733042972051 0.826548986418417 0.159633372413946 0.852139206137775
"cg26166854" 0.111473849458835 0.614668381842792 0.712853140832415 0.848406909419541 0.856499261416448 0.557982282666521 0.883216931299712
"cg09695307" 0.0919386577774323 0.786702387902831 0.576687049741019 0.806404223557593 0.881995775387345 0.152474623206927 0.869239754508248
"cg07970799" 0.185435913538442 0.748517634603609 0.832466938873089 0.907256267568756 0.931521355524443 0.549806626031344 0.937533337851629
"cg10558740" 0.130238278563896 0.840024945109331 0.705302653420586 0.8861272293145 0.87427125934725 0.1712995427872 0.877261342440055
"cg00620024" 0.202557933089142 0.873615060047309 0.87335515658792 0.889670133270449 0.899331542247626 0.558322509262103 0.904206651788846
"cg16775598" 0.131202966876659 0.849753578187243 0.649277771785236 0.869744925669275 0.867271954367257 0.217480000724653 0.873244691492318
"cg24841244" 0.0919228412378396 0.733728368607204 0.67998214824045 0.868130386080578 0.868915400697055 0.0844680607187364 0.875416652899033
"cg25599673" 0.121990654564095 0.846215413873502 0.66951361367731 0.842703796360035 0.84061474626152 0.224601733145884 0.851231951065989
"cg10111816" 0.0925329492056201 0.796599163098588 0.746252437111912 0.839390060019431 0.835324777366153 0.114313469825152 0.817328647543257
"cg18650518" 0.0931457377068301 0.653716165886575 0.792465025034649 0.865047707188736 0.890353276417239 0.0897154170423305 0.904315087350339
"cg13484324" 0.141616460607416 0.88595195723745 0.419391416418254 0.875457034414691 0.885145470947205 0.252706514123367 0.835603101597111
"cg26400113" 0.0802587675019156 0.79374086615021 0.542288815754752 0.815097516447769 0.824915330409855 0.0946926169804727 0.830578313138194
"cg10414350" 0.144513380405723 0.741673967744419 0.739004855341589 0.865734120241596 0.860870928606666 0.46065052656643 0.861686911235459
"cg01040649" 0.140318952819133 0.843941225525572 0.628852201777408 0.848306874947718 0.866701311476414 0.261547094029446 0.870378617107545
"cg16230121" 0.0985701220498851 0.774333107916955 0.67133554734833 0.836849576796151 0.837251650860707 0.119729015465804 0.853997738671025
"cg02387618" 0.130740976664861 0.767145762109237 0.687109298807633 0.883998402873774 0.894408625437649 0.118956451150022 0.910253988766648
"cg08280368" 0.104309630989605 0.82515928838562 0.599870913627857 0.749842660309542 0.872525068636306 0.131113333118969 0.877790422624929
"cg05070273" 0.204059005612498 0.888391859908955 0.729631313123172 0.888750492036396 0.890585913623768 0.508862486374234 0.891005054652558
"cg07133479" 0.179835891266752 0.816848495997987 0.739046817008156 0.861649290877994 0.848201383037512 0.635920662449536 0.843233039522396
"cg07545925" 0.0700901859911445 0.667486516916414 0.566971094017027 0.831976426079498 0.862474204163887 0.0594146414269456 0.8595956023387
"cg23249922" 0.907067870808503 0.81800357774232 0.613740269699208 0.106581846628397 0.0492429569237448 0.945067402146426 0.181453450579292
"cg22742001" 0.837424240399425 0.691810077228271 0.376670049485577 0.128929190238958 0.0552977422271165 0.852823848444232 0.0500395806564896
"cg06760238" 0.759155207890847 0.0796322074653291 0.461934483055925 0.485129148328321 0.0625114706690147 0.71128566895151 0.0650446787376194
"cg11666770" 0.873717556144275 0.316508651522424 0.191811417965531 0.308650578292849 0.296730081033515 0.832440833893862 0.273389285997274
"cg16764781" 0.807565587258893 0.433281503733964 0.416626191349516 0.255749995045511 0.0675710750295507 0.805998660820552 0.0685725650795858
"cg16602097" 0.735374611008933 0.381037282627923 0.280893676836917 0.0756521087127282 0.0500996938497545 0.696230811211508 0.059936900335456
"cg04682193" 0.845318821866176 0.0762431192382694 0.725455508690708 0.809856021885776 0.0622908230490468 0.81784159535687 0.0446048843780277
"cg07220903" 0.818851598239275 0.0758208908313786 0.306217512242797 0.635216910863719 0.0983384949354525 0.789897744625272 0.138255229270637
"cg09662852" 0.653968155856647 0.0662158674714855 0.0526781190032003 0.104446400954657 0.0542218411338194 0.638081962916462 0.0489237290223247
"cg26501007" 0.771204839058367 0.106011812445215 0.414379544755533 0.12826512696872 0.106771448807661 0.754187194269007 0.36672174355826
"cg25394505" 0.726896010863684 0.0944533173950917 0.229801421049895 0.19909226743178 0.114086735035109 0.68240306026661 0.150660430730674
"cg08284263" 0.657009523825329 0.0997020415458048 0.518844677869229 0.0846511850689692 0.0516858495035312 0.467584736538027 0.0520599556114975
"cg21360910" 0.717620203335544 0.200390478066238 0.14024804318411 0.0817631250127707 0.139891639294467 0.60976270584381 0.134069297059698
"cg19548859" 0.831960600733397 0.354652976207031 0.505574701227005 0.11575740399867 0.0571079437303873 0.827307480703147 0.366413570783048
"cg12799049" 0.852050590449775 0.118629275054481 0.638357723186234 0.742998110522609 0.0579832071047802 0.850568742330057 0.0599735706176514
"cg01543184" 0.776597173723794 0.291456793177984 0.0753803881424857 0.234819807695615 0.0912702695730179 0.817626342954381 0.0887548051202134
"cg18739675" 0.816785185113485 0.0664085542355135 0.490548986134401 0.689109618400706 0.0500528346980795 0.791881608717772 0.0610958390823073
"cg09169413" 0.791736447758287 0.400671301285144 0.314042521834683 0.0873541751593105 0.0742136591654455 0.816690944537089 0.148411406881069
"cg09287328" 0.933025242029232 0.768115628287407 0.632019188409629 0.131581101844674 0.0987865002309104 0.940686874840698 0.216913063633197
"cg07837085" 0.783839134013601 0.116950553126822 0.395046391024991 0.481888232258761 0.0750239640233095 0.725924362730056 0.0668552847102406
"cg18150584" 0.833208279435456 0.671333200670565 0.0456124505272179 0.116749069336799 0.049415830169222 0.866112251896677 0.0452326655566956
"cg25025181" 0.735424923104375 0.223222768164563 0.0995914363939236 0.188221822261562 0.0373303935004296 0.794356785662164 0.0456536537658652
"cg20281375" 0.744767349644275 0.329462771031466 0.10247378347751 0.110298754141137 0.0571019654693494 0.731890380529946 0.04608005139681
"cg05228359" 0.719704713946641 0.308693446519608 0.0757936207670333 0.0534812059810094 0.0369089295847864 0.715145334563534 0.0327390646003168
"cg25031824" 0.77246494296759 0.416193312394799 0.0642159641863978 0.0950282169879897 0.0653152085931373 0.781038751433405 0.0598987589373037
"cg27058988" 0.664386202198773 0.201445175892102 0.056448310831637 0.0416275715501432 0.0311564757484698 0.500134161531257 0.0279740501698958
"cg23582982" 0.814404795735013 0.355787086308661 0.302743648988078 0.262473644032293 0.0816831312040844 0.844100824825506 0.0565946145787661
"cg19369955" 0.748713789392161 0.236704657807169 0.437961294639628 0.109559727792411 0.0662850419054848 0.748442265844249 0.0638377522098315
"cg16261114" 0.818023380642078 0.469778880482228 0.177137871761398 0.18657612614491 0.073563425770682 0.822957777906791 0.0570277146003076
"cg07598385" 0.659811012168988 0.053294245670817 0.0396362495040072 0.137974382303061 0.0446289079339417 0.496938286174731 0.0268316200521774
"cg27027151" 0.708712628692519 0.132415686909812 0.177063665709073 0.062985051430303 0.155636026133517 0.424856262521554 0.156683378961352
"cg06650256" 0.880046925229967 0.287074515713991 0.497159257665579 0.575100138456364 0.0584438775170735 0.873039819575566 0.0824536452531439
"cg12465678" 0.843691514179475 0.0887688617574884 0.545532684567756 0.62779733455741 0.0737584150532472 0.800803315797942 0.0743411125310028
"cg26402417" 0.834563107444175 0.553492492040451 0.0851424119097856 0.110828549098498 0.0624877359110206 0.862519523367108 0.076003028430768
"cg19628988" 0.713903710066684 0.0530224277828891 0.0747727384477896 0.240382202413228 0.0472742467498719 0.625392863115278 0.0645828769037638
"cg21495704" 0.86006834002283 0.0980393966819979 0.450184502348066 0.636522351125303 0.0772083958811226 0.856229107050719 0.0941208381475108
"cg16922167" 0.781890399723135 0.230875283558666 0.100911361468584 0.224329573723441 0.0866093207757236 0.75663262170563 0.0742577824780311
"cg26923863" 0.794195120400159 0.0643077353938329 0.640494301519156 0.495203664051603 0.0392594476524237 0.648179328098119 0.0363718504471584
"cg09037630" 0.691586588929661 0.0546802507812883 0.207276551261118 0.0463676250496288 0.0415918268506731 0.661821750505424 0.0530051622837643
"cg09885622" 0.84623739699666 0.0965594062306757 0.460724998097948 0.343709250725414 0.112374100223143 0.815211806869126 0.245959547462123
"cg02380585" 0.674404196907964 0.0296602683592202 0.0251267534857109 0.0294066130751534 0.0274899892639075 0.660544170258594 0.024454861343628
"cg13468685" 0.794221212501602 0.101929257442099 0.38673093900733 0.296618639007158 0.0654082346280633 0.814192120648311 0.0610841406792095
"cg16097858" 0.756368151863321 0.173708930330372 0.123932131610874 0.0710088855152726 0.0635421248106184 0.774720617972402 0.0615563860361275
"cg13448978" 0.747636282693287 0.185327722144646 0.0338154756545709 0.126892263060242 0.0376104110102056 0.69703455502014 0.029425868859874
"cg25978218" 0.759099671460116 0.0457538121112483 0.211383392396356 0.2052270141371 0.0567746422936037 0.757992953766235 0.0458722959808248
"cg07785552" 0.7380837150235 0.110519215517836 0.31713338860891 0.0739873182086039 0.0605813798875066 0.600147897025907 0.0532903481122625
"cg25729350" 0.73209231213888 0.123208495022894 0.0879420129060723 0.0609162263946888 0.0527817669457043 0.614393617793247 0.0571009478644375
"cg11787160" 0.824412918073086 0.222550023454225 0.0931904060156964 0.157476862861203 0.114565193510193 0.818789386544855 0.109528695213974
"cg04742550" 0.787964734525997 0.0413569159326795 0.126385822581938 0.529522246141817 0.0340765086319599 0.385319793997664 0.0265739605848659
"cg20455854" 0.759466238387535 0.0940464712554418 0.0453851320287046 0.140743069333804 0.0511820407508609 0.633841279159631 0.0490621218940522
"cg12811871" 0.961497682164213 0.159914529724785 0.841343376066802 0.842271807390624 0.962548623459928 0.827607570965324 0.969611445960063
"cg27582527" 0.844366809639248 0.0604351106875825 0.548534488292004 0.787607363052029 0.837283848591379 0.778248051683195 0.846438192035033
"cg13617280" 0.886374485749074 0.0960613572035433 0.802710448003717 0.813160100671605 0.872315800599271 0.841664230387485 0.811393545515925
"cg05875239" 0.905970573717313 0.139845003928636 0.872222452667368 0.836953507151279 0.904200341334424 0.868077760784279 0.900728606737698
"cg25383568" 0.942306722471844 0.173562200850818 0.936659801425468 0.867992278147218 0.939590215093629 0.869274260487224 0.942813698863675
"cg15956469" 0.94414653334071 0.19191681364148 0.921194515487981 0.896597944713525 0.948171677244978 0.891588861516443 0.946437483477591
"cg02384859" 0.889714113418048 0.136161328792902 0.680582877861897 0.845041292371429 0.899110893855838 0.831112487930218 0.898907382630469
"cg07307830" 0.86969632603461 0.11988819722733 0.655524319478202 0.85231730865573 0.878817629232561 0.751513747640573 0.884154581903122
"cg06040872" 0.897772524298655 0.136419864062845 0.724970925136463 0.849395421746733 0.885411517280428 0.807233794789839 0.881323737845658
"cg27274718" 0.880151835986116 0.131474701225983 0.758052465362517 0.832185752954444 0.865771001113731 0.839331392425419 0.87637212750609
"cg27309871" 0.890716645402902 0.142490186154563 0.734174500012573 0.849860099043867 0.889608340877674 0.832749565485115 0.882113088405931
"cg01940139" 0.878301297289816 0.140897905029762 0.700391069231768 0.854130037118195 0.886797394561844 0.827463257058108 0.883597537556239
"cg26012482" 0.792358250371023 0.0989465264052824 0.646474193185589 0.82535855385621 0.861053663268555 0.766528011514154 0.857522715909032
"cg02150910" 0.878493012355237 0.128148624624515 0.653055495738948 0.845850281791169 0.869999184207618 0.811584006666889 0.855027934477859
"cg06202778" 0.875861501099457 0.113602329010289 0.59320313355095 0.842729772875942 0.817517908436491 0.801746936751134 0.852318918927247
"cg21634628" 0.835948138388602 0.119841948147982 0.685204153041324 0.810457643748535 0.874326379575975 0.782169100438068 0.881654288927487
"cg21474838" 0.87000221104047 0.146341705659401 0.728385337393711 0.855400552479971 0.883588573344294 0.822600365352543 0.883410005515177
"cg13613174" 0.879595497759636 0.123380140204744 0.821757225118637 0.826230734884618 0.870264906580626 0.803760595950431 0.797871393125835
"cg13917614" 0.917998747660959 0.171852314961693 0.893646760689098 0.809384337357386 0.914791359269 0.824891428220986 0.934966620807928
"cg24430034" 0.965203671733516 0.23173229814991 0.971193927246384 0.91219779596915 0.970911158960087 0.868514862902809 0.972657228556277
"cg22488278" 0.880439155076574 0.146834076818395 0.792889235117448 0.817061943993033 0.888745192595174 0.815175707014898 0.888791663781942
"cg00594040" 0.852975456459827 0.128411830714862 0.371251616311327 0.831807038374083 0.878753724173788 0.827522673462019 0.884033898886807
"cg26275360" 0.86968364620958 0.133891666480457 0.703889905287245 0.824642344538185 0.864833419791228 0.812280720812361 0.860893775075246
"cg05593759" 0.880246444917747 0.143164079826589 0.642693724628141 0.837489828435531 0.880204195892401 0.799067818711235 0.882409419885829
"cg19696012" 0.880200959646669 0.158732296246753 0.764797668698381 0.855005651304676 0.886675719691364 0.82988287533924 0.889573872788814
"cg20987610" 0.887776058086451 0.134654711367775 0.645297683563284 0.840275709288559 0.781899433975257 0.864104052522696 0.888172370096731
"cg21333217" 0.963913880725976 0.2363688977958 0.942920569733692 0.92317913505039 0.960083629872827 0.877239472471616 0.967534572664249
"cg05653887" 0.879715061611364 0.137849779978741 0.561566587230041 0.825785752306459 0.871398189165554 0.814438269113858 0.875045586222711
"cg06815003" 0.877865813487864 0.148915616838046 0.640999184689042 0.822904395875452 0.872764356442623 0.858359207196824 0.88821639179854
"cg03538296" 0.834203809540251 0.0825911489671384 0.671654380999767 0.765932493267135 0.829816432445926 0.65417976714395 0.824319150357033
"cg21828319" 0.889257734927674 0.143249466457992 0.843452736168743 0.774873395136183 0.862851488588732 0.824970273300021 0.878894330909711
"cg04784635" 0.836484102884236 0.134802484611922 0.513492967346116 0.850607511489966 0.88812893947753 0.766104649528952 0.88106969669551
"cg05656688" 0.864103403052971 0.134859188496757 0.797937201274026 0.819749386130797 0.907136706254126 0.674466750477161 0.870049264795392
"cg18672716" 0.874632755811751 0.135194155190634 0.696604007986422 0.832423091551876 0.855490744773664 0.788883327203507 0.849759297843966
"cg10628126" 0.888563910694385 0.152439832881077 0.715176202939249 0.856505565827738 0.821675129457639 0.839728657515533 0.892779482928554
"cg20657709" 0.868109104646538 0.141578423275385 0.652471362369768 0.824030883815131 0.858785448446887 0.834915360290017 0.867312133822373
"cg24408769" 0.911199708002561 0.137657833288778 0.941170443203677 0.862370228040278 0.780656875933126 0.862405839028879 0.776462224754789
"cg26227465" 0.847288222814036 0.119805715571971 0.580129591232527 0.832993114526335 0.847468636368789 0.699013049838655 0.870318262578289
"cg13995453" 0.862374989668282 0.132012616622498 0.657181178053462 0.826575216309549 0.862388202087092 0.764510760580037 0.8502142747104
"cg16340422" 0.93257088855011 0.202615441888495 0.444320855794548 0.910016188562992 0.929456700034918 0.863004306624769 0.941420915716644
"cg26934362" 0.784609714537746 0.0897687387368041 0.493816274151773 0.770767190884879 0.852568885533464 0.698489527997307 0.848066027994871
"cg13209388" 0.887202129021913 0.15609703188847 0.74463022263424 0.821570433881939 0.883114136992336 0.83191068812188 0.857764788337373
"cg10796068" 0.863510166440178 0.149989928534433 0.778550149120247 0.833027526773957 0.854312533224344 0.828432978042042 0.862763117329844
"cg19915997" 0.873800393222664 0.16196540530249 0.715526719706505 0.84613695108552 0.875048603548329 0.846899236824896 0.87514650990824
"cg23474890" 0.790725220320983 0.148773782275117 0.864879431538493 0.87328484522312 0.930468543290261 0.599203600233353 0.924849900080323
"cg04527989" 0.881201054055281 0.174400799945232 0.840301223275939 0.839605571188997 0.878751346236826 0.858574995257898 0.887664219940181
"cg26209730" 0.939311135183039 0.218464156786452 0.930785779421768 0.861821887668512 0.932935361103923 0.876847735218631 0.936173346899615
"cg00805874" 0.934325599015791 0.198603756032524 0.977946281736114 0.829181426725378 0.939491618590104 0.736799447602273 0.9472452874517
"cg02663352" 0.880350679798525 0.176767537911401 0.882074465380762 0.829122553932672 0.894381237995427 0.829292015340853 0.900324069528695
"cg08985282" 0.847376115874012 0.139404363618969 0.799302300477429 0.791593336876757 0.875229304924266 0.743803159824304 0.874237151955277
"cg03548857" 0.116938569429293 0.550502757894565 0.0396331309793021 0.116506693766136 0.0403799661947308 0.177914766657478 0.0393161888041806
"cg05756780" 0.22870826860553 0.731787535709 0.455165649128651 0.449934183534696 0.0620854055235035 0.575245062050069 0.120907374069395
"cg10491452" 0.125840034721102 0.555864733198757 0.039484237800007 0.0772095448812054 0.0483235337803299 0.242515434117287 0.049055489119718
"cg08545593" 0.822074628082938 0.810465774939294 0.465487421133046 0.182186244896606 0.057320863568891 0.858080261455055 0.0510958994114098
"cg11948905" 0.381674732431817 0.691207662141997 0.469423443100314 0.256175186928505 0.0499252465777793 0.484403860578612 0.0420103394981579
"cg11147278" 0.364068184442399 0.685335844384337 0.378307386295595 0.231053451764252 0.0456455706182047 0.513641109082899 0.0517048602324346
