"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg00366435" 0.105794256833793 0.862005089697081 0.733246489258063 0.906080913849681 0.924130426712391 0.474842159559748 0.92160939484186
"cg16452866" 0.142433912838352 0.923491521583848 0.905696463323278 0.954051203042163 0.962987506842955 0.261655639793922 0.967982851868219
"cg07679948" 0.171816579301465 0.938982572810574 0.954894993454788 0.959394725021098 0.970439919636392 0.456283222097821 0.965456220290156
"cg03388043" 0.101811139961174 0.743029274003053 0.890428551981578 0.942662366673148 0.961905598786626 0.106505990964716 0.964006182233139
"cg11848483" 0.111838943864225 0.877019884721021 0.741358454650373 0.888387103955021 0.912425627830689 0.309982945371563 0.916922519654813
"cg26852712" 0.133770742056072 0.866052081437596 0.932755209393983 0.863416681482231 0.935684216136891 0.369403950193201 0.939955005046754
"cg07015803" 0.159609819883487 0.906822752157886 0.835216364013149 0.946208105527253 0.952168073112533 0.276053264777599 0.948626398007693
"cg01874152" 0.107638117276598 0.834848135007334 0.592784614701895 0.838101703464681 0.910295237980195 0.458151398739599 0.891093389148243
"cg06915826" 0.0951061098325917 0.817759232302848 0.748553174209855 0.863349181134986 0.867301434687574 0.313360514371651 0.866478545477699
"cg08338281" 0.112301773389714 0.798188534815918 0.885977103350825 0.818894183989102 0.900489768567061 0.159428652483716 0.90659899870032
"cg04347414" 0.153221123721883 0.844683507279224 0.688156575929676 0.884166456234616 0.928838019703315 0.30705208472435 0.927809585110001
"cg13750061" 0.1073809325148 0.818607860470523 0.645028398161701 0.860794544788227 0.879555469585867 0.152237370018756 0.875375801081576
"cg23357533" 0.166222132730654 0.861240228988372 0.863923452199822 0.893530431831112 0.884257177724047 0.48921786572764 0.874972925218106
"cg18735089" 0.145250361017736 0.815138779805688 0.715575608874455 0.894098135058121 0.908919712127745 0.259939930548648 0.9152831184061
"cg10240150" 0.112223443176016 0.780243235095005 0.60147473871934 0.870746036510456 0.869539079579953 0.326810747448355 0.85995936562606
"cg05705140" 0.110543950185483 0.782735522174773 0.66281325634022 0.778441023686308 0.900943274492192 0.291261447594908 0.88841842161168
"cg14522718" 0.169812693908186 0.758549825499727 0.93845430547419 0.918227708016097 0.943388779375248 0.316010346822718 0.931670435597838
"cg10837404" 0.214698872673496 0.88212676887273 0.884264861481417 0.905768981255302 0.914381999750992 0.734630848680651 0.91061391024631
"cg24662823" 0.135029012523932 0.699357489610721 0.700606332822873 0.884169541076392 0.90879856189768 0.443941372621375 0.902018643897843
"cg22230912" 0.124303035302423 0.835706229976937 0.493713868194339 0.896273376128788 0.878713277676365 0.311479659523946 0.827557124388765
"cg07970799" 0.180455438990462 0.732383920205929 0.832466938873089 0.916534037846218 0.940982969409044 0.507945653466278 0.947830620176854
"cg18650518" 0.118987848216328 0.66201922064239 0.792465025034649 0.870621670101514 0.903830658323734 0.269735100874709 0.90580329413643
"cg12353788" 0.145718485108791 0.834074072802188 0.610067096227241 0.877515893665055 0.875036746934029 0.364704442148458 0.861148233114763
"cg23896695" 0.131886932113084 0.816192864493675 0.610886205215842 0.844227360798076 0.873992836374695 0.348338178899001 0.847612101816549
"cg24841244" 0.112253902576671 0.710546385186407 0.67998214824045 0.87145449822376 0.883816334969441 0.151591476847768 0.880486018981058
"cg07545925" 0.0830524299042284 0.664356856014301 0.566971094017027 0.832706594276724 0.877155984401206 0.105298907617394 0.873790160523521
"cg20661080" 0.103470592214171 0.694556379932743 0.629188279683632 0.849568607654302 0.854321479698604 0.270415960585925 0.871941150280928
"cg00620024" 0.195590362613906 0.854522133788092 0.87335515658792 0.886984041382039 0.902199695864781 0.491373798123816 0.900943301360539
"cg16230121" 0.120067908490673 0.764402032366881 0.67133554734833 0.841293058871647 0.851038684023833 0.29934767729914 0.856855161718981
"cg10111816" 0.0992168436801888 0.751858732894686 0.746252437111912 0.836961973530744 0.844321538667775 0.144299658995888 0.819448514620306
"cg16193207" 0.142709968193278 0.78928679448864 0.764313382652906 0.84419781533577 0.867236091869011 0.374140709087569 0.86141459637086
"cg26166854" 0.0903601097080562 0.555851525306356 0.712853140832415 0.841094541941312 0.852706526353041 0.396227845391547 0.882249391900733
"cg16775598" 0.149744805658275 0.821314495945911 0.649277771785236 0.880987610395968 0.875235076486223 0.281376788042519 0.880253532568845
"cg06164961" 0.0974857342703522 0.637001519332227 0.594031633405902 0.868858961690501 0.88889829182313 0.115282326701138 0.894284109705527
"cg05070273" 0.20446949144084 0.885474044795901 0.729631313123172 0.900759738318444 0.897542831097072 0.556630509856133 0.897369514708971
"cg04340595" 0.110577907159158 0.52776784515684 0.833767865249925 0.859898007742821 0.935361062787079 0.182628167205018 0.932136589369796
"cg24441810" 0.0985334193413556 0.737947520284194 0.77676554703483 0.762982396951888 0.854631258751439 0.133685066073379 0.869603609066178
"cg19001909" 0.257444625652711 0.9199961718921 0.860069264476636 0.965207668609077 0.967483105279381 0.446968645735375 0.971366591507693
"cg04180114" 0.1253587676795 0.799014974578417 0.774014656304355 0.810494802441829 0.829059525167199 0.262932881622461 0.857249604017704
"cg09695307" 0.147801662117032 0.782840946962257 0.576687049741019 0.82438023187027 0.894930597244209 0.406323399305329 0.882431475468109
"cg24612198" 0.140481870702406 0.747399088028522 0.60550176675127 0.887630592707858 0.900666692219625 0.153663922657019 0.905486207418064
"cg11710595" 0.190079121417244 0.841123538569294 0.610403665526461 0.888469273934004 0.883368269772421 0.596730500216912 0.896958312782465
"cg07930673" 0.108005543013317 0.685602974955481 0.659556885974249 0.851158790239843 0.868133146052686 0.147615587482172 0.867680992919051
"cg00122659" 0.109579879985879 0.714423423479954 0.631069020940301 0.825543583562132 0.854540304977465 0.308907976124575 0.828985308212486
"cg25486399" 0.11512133363474 0.805010055157162 0.300032082305483 0.844770903989142 0.83315313512073 0.432884118444024 0.799864699953004
"cg25599673" 0.166696297426585 0.848189707694636 0.66951361367731 0.843764169199971 0.850482613119214 0.511272599462812 0.857229121509548
"cg18758433" 0.140670531727835 0.687392509296818 0.79159963977236 0.877283624395124 0.857576423423136 0.28360356234247 0.909551693602555
"cg01490728" 0.14190515506692 0.819496583156915 0.505100729872781 0.826002805673202 0.854653597230227 0.429250987404339 0.842359041948321
"cg11210357" 0.124837380834866 0.731350124546704 0.805338733326469 0.821512692066132 0.866255902868298 0.174434453835006 0.86377952188206
"cg01040649" 0.16413886841239 0.826999262615775 0.628852201777408 0.830939015647966 0.874345921024012 0.44164777624698 0.865704126953754
"cg07834069" 0.842233607534444 0.653841870117669 0.573601427166399 0.241833580469142 0.0473868554864873 0.854508212582476 0.048293930380753
"cg26564117" 0.764551522067546 0.0856916279380393 0.541000362632144 0.514843975539233 0.0772488999321768 0.548978342858295 0.0938581092352148
"cg04905719" 0.626882532157277 0.0852946843304415 0.0266981578185303 0.0437377450326163 0.0212156887101889 0.640918378906857 0.0259409219286631
"cg20281375" 0.72463155355572 0.330840556945476 0.10247378347751 0.165998154289661 0.0527106197871408 0.658534189960297 0.0522029751145049
"cg26681770" 0.652587252097594 0.0942569359502838 0.0401852026119632 0.103855374212788 0.0389407054417812 0.663749855109664 0.0427070672544927
"cg22742001" 0.82392471284541 0.690969700287592 0.376670049485577 0.125590960788306 0.042432349959572 0.879848168341469 0.0423330177913807
"cg04742550" 0.672523905734296 0.0435686676347558 0.126385822581938 0.45064492959767 0.0279412375934093 0.217515928810509 0.0220497307432095
"cg22193912" 0.710998465192651 0.211033289218252 0.0296309188801796 0.193535217618538 0.0334194365885474 0.824879614485957 0.0593717250543215
"cg06760238" 0.765081594981297 0.123538928960704 0.461934483055925 0.466219304669465 0.0520222258614098 0.702405221400085 0.0649579790071551
"cg10099758" 0.659976962057799 0.0694728021408356 0.0834682734378987 0.0787008974458254 0.0578547578513039 0.519589724119414 0.134640100434682
"cg19548859" 0.792647027178812 0.327992703740002 0.505574701227005 0.107156153314074 0.0513297985761513 0.679357769534208 0.312696204545459
"cg04682193" 0.828653724826041 0.103885188511665 0.725455508690708 0.781516326931622 0.0535659964986374 0.654239924127777 0.0421402675029577
"cg01233897" 0.681555500574103 0.232007331322119 0.0532045894890573 0.068161999766628 0.0550558760688585 0.581758922740349 0.0600575456347985
"cg23582982" 0.794815129462802 0.383851065023352 0.302743648988078 0.284296412461607 0.0735615381931379 0.797530922033955 0.0748841268815007
"cg11377213" 0.808869473637144 0.654154803975378 0.274743386701114 0.135878626005832 0.0426462959522742 0.766226133047594 0.0488759308852827
"cg21360910" 0.699879677970937 0.195155626983529 0.14024804318411 0.0781582830811324 0.115279941130359 0.497842321819426 0.110657200320741
"cg09169413" 0.766282541484982 0.396188793128066 0.314042521834683 0.0806454474963775 0.0621700790788227 0.761167395201758 0.127884938207994
"cg19369955" 0.742251295318641 0.263341871390519 0.437961294639628 0.147226016486673 0.0630217312626993 0.727852281276033 0.0646322387090185
"cg25031824" 0.775933623606809 0.424570614498232 0.0642159641863978 0.196816874038281 0.0635140342521075 0.799055833717076 0.0744680105581573
"cg04642300" 0.634857787215762 0.0521639203781785 0.0581343058146214 0.0842358927084059 0.0354052795356617 0.479761723931075 0.0381962175669881
"cg01543184" 0.797771207326085 0.332288739938114 0.0753803881424857 0.302023904277558 0.092464894595932 0.862887678914791 0.0987884895078268
"cg07837085" 0.737630592925813 0.120406767979726 0.395046391024991 0.395127741908157 0.0623209761585361 0.435109167913441 0.0573744313648586
"cg09037630" 0.642273207070206 0.0628059906402353 0.207276551261118 0.0427947706620237 0.0331537082993617 0.486424187085824 0.0434483937962209
"cg27058988" 0.66171705664225 0.204583501998413 0.056448310831637 0.0428276249819083 0.0248966193440489 0.478825407347907 0.0263889107311101
"cg09287328" 0.927909600761734 0.772346891841496 0.632019188409629 0.136663756569663 0.0916929763872592 0.940205586675305 0.217161473404949
"cg16261114" 0.812881330479266 0.470853130632992 0.177137871761398 0.247834299159511 0.0673244845900516 0.806259417070007 0.0595232072621006
"cg18739675" 0.794162952561893 0.0823564945287849 0.490548986134401 0.627284283963818 0.0374311791905491 0.569250708545375 0.0511706443594081
"cg25025181" 0.740714583099594 0.262405998857144 0.0995914363939236 0.172666268143234 0.0292775469654847 0.814144326638104 0.0415186055883043
"cg05228359" 0.707955559623111 0.300888823134299 0.0757936207670333 0.0556994413724216 0.0296222185162872 0.609846689719952 0.0295578334174641
"cg18150584" 0.819107426208383 0.630257429492766 0.0456124505272179 0.153255330898227 0.0384351180371121 0.818782968302603 0.0405242765268356
"cg26402417" 0.841347053054218 0.585166301136018 0.0851424119097856 0.166719618161046 0.0681883930556713 0.90184167475145 0.0968333269264347
"cg01231183" 0.783945345550067 0.375277372598664 0.124847621384885 0.0870668609392551 0.108167724369711 0.787659900057215 0.101821485270303
"cg09662852" 0.665515559328862 0.0707822716475221 0.0526781190032003 0.0925550262470793 0.0482247782683557 0.480940490007453 0.045979484371447
"cg21495704" 0.850437222190166 0.139886986014323 0.450184502348066 0.632089660344167 0.0723489826086999 0.781469293645541 0.0897927884294381
"cg26923863" 0.806054813289424 0.108711850675312 0.640494301519156 0.498373839305681 0.0381644894298991 0.718888914621545 0.0372733713713609
"cg16922167" 0.779235113525958 0.26545484339222 0.100911361468584 0.199677484998532 0.076215982136191 0.76445300970755 0.0812279778559747
"cg16097858" 0.708533542939884 0.162954156103723 0.123932131610874 0.0673575025573228 0.0547413670242608 0.602826554243707 0.0516036139343381
"cg25978218" 0.7054468643987 0.0524447272941087 0.211383392396356 0.21027274091041 0.0584637925337559 0.471339226806274 0.0428771318221583
"cg06650256" 0.847811869252155 0.2741919141489 0.497159257665579 0.499487842896763 0.0565530161619335 0.669770374557101 0.0745508266986147
"cg25729350" 0.681083507203719 0.11735289907923 0.0879420129060723 0.0657126354536918 0.0459440875209812 0.388725984860634 0.0562679661466125
"cg25394505" 0.755787365186115 0.101013677312575 0.229801421049895 0.169445635468196 0.102215667513134 0.615757980698016 0.120743477840788
"cg12465678" 0.826843772699618 0.0962970252002106 0.545532684567756 0.562233504146225 0.0532151949863466 0.614201582972703 0.0629196409520479
"cg11787160" 0.81875647923767 0.269064446450952 0.0931904060156964 0.165811451982372 0.120954905652111 0.804138024974408 0.131394255669183
"cg07785552" 0.7428944580389 0.1440097867802 0.31713338860891 0.0750789607205539 0.0557186675168224 0.611919255049942 0.0631360021709776
"cg19628988" 0.745669150186904 0.086387542115514 0.0747727384477896 0.197214356640615 0.033846106321454 0.693623925994723 0.0615788186126267
"cg09885622" 0.834570726939723 0.103800429903956 0.460724998097948 0.299727383582244 0.101608118394218 0.64829928942127 0.207027556531333
"cg02380585" 0.697708195508887 0.0639555672159636 0.0251267534857109 0.0262046979931471 0.0223758975496628 0.684188878631394 0.02704121039146
"cg13448978" 0.766442746011814 0.230745024308241 0.0338154756545709 0.109454650558837 0.0325563631773469 0.762556268124468 0.0473350681367837
"cg13468685" 0.78019337706539 0.097198367658118 0.38673093900733 0.247098658439928 0.0575975410419086 0.580586139154391 0.0560638969895301
"cg20455854" 0.766498014946986 0.153444143682482 0.0453851320287046 0.139126816504237 0.046049811907252 0.672606958376191 0.0664028284950541
"cg13617280" 0.8908381737739 0.135798314955922 0.802710448003717 0.802438483635275 0.89528479652673 0.764317019315294 0.8388426628938
"cg27582527" 0.831233456894909 0.0775284369731703 0.548534488292004 0.761336701461683 0.863231177915254 0.461853543849435 0.864234027528233
"cg05875239" 0.906789074010699 0.167624171938083 0.872222452667368 0.818961669169787 0.910034915815067 0.721929722561673 0.921690257366492
"cg25383568" 0.940317224602692 0.208039306756189 0.936659801425468 0.848989625374624 0.954763853002384 0.643911090992932 0.966096250613331
"cg12811871" 0.964672019202254 0.197177373994724 0.841343376066802 0.767782425624148 0.9734078347232 0.579244482170378 0.981649460103453
"cg15956469" 0.955051308131957 0.234299491905938 0.921194515487981 0.894121108013947 0.953304400185713 0.737734973854754 0.960687359454369
"cg03538296" 0.854697240307569 0.120614281753348 0.671654380999767 0.751512402394588 0.850935762610819 0.589313013677267 0.853044428452418
"cg07307830" 0.808012532782139 0.148617042990263 0.655524319478202 0.839995393705517 0.887459223332989 0.531145008382163 0.89057442393914
"cg27274718" 0.890595129854311 0.184378900504561 0.758052465362517 0.816256300197897 0.879153989229302 0.803084236182125 0.888305120287643
"cg02384859" 0.878443572369194 0.168353730802867 0.680582877861897 0.820749796522983 0.900976807864008 0.54882673881429 0.902951223780434
"cg27309871" 0.885524789443172 0.175839971351321 0.734174500012573 0.83619684075606 0.893287480291001 0.606605745441801 0.889166801086672
"cg06202778" 0.865051275709858 0.13844783878064 0.59320313355095 0.832498482598791 0.829750714218215 0.564736070599545 0.861394036088879
"cg21634628" 0.816086688791073 0.15092472280577 0.685204153041324 0.785441166559503 0.884971511521503 0.5702046391989 0.892274866803061
