"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg16452866" 0.143655921244053 0.948440869714861 0.905696463323278 0.952004331256921 0.959179285875236 0.281582598556577 0.975857712456066
"cg03388043" 0.0993550671804616 0.785238672325602 0.890428551981578 0.935422376606509 0.963409545700722 0.138041613662879 0.977847055791902
"cg00366435" 0.095753023232157 0.866186755790129 0.733246489258063 0.900825232429595 0.923519347271463 0.291920305879815 0.923684095645831
"cg26852712" 0.143821768596761 0.902745413066233 0.932755209393983 0.91015993144634 0.934367571701317 0.492749615075176 0.950598604335824
"cg07679948" 0.185519955407219 0.954478043927949 0.954894993454788 0.957922238013297 0.972352661409713 0.434103802623313 0.973389319100449
"cg11848483" 0.101803617305306 0.884925688210527 0.741358454650373 0.876511004825042 0.906562672427766 0.223897424497091 0.915198036511109
"cg07015803" 0.161419403452961 0.936550397494162 0.835216364013149 0.941868409511805 0.950137735738731 0.29319737348746 0.957617508396077
"cg08338281" 0.0998063168053057 0.829771414536001 0.885977103350825 0.866037361229468 0.904676858696636 0.202649601822352 0.911217300203906
"cg04347414" 0.113670862407975 0.855782584744563 0.688156575929676 0.899690878265087 0.92851233442636 0.157206552891316 0.944401969619829
"cg01874152" 0.101665969412816 0.849324641620331 0.592784614701895 0.852369639233056 0.910321813780085 0.584788986189552 0.89004760698117
"cg06915826" 0.0857493163774999 0.823525826749174 0.748553174209855 0.85121445632542 0.863564314315057 0.245350344767567 0.864306688372383
"cg18735089" 0.126568895033113 0.835409458202475 0.715575608874455 0.897053713828006 0.906290855457806 0.224229284985442 0.918389026856053
"cg13750061" 0.0993011308691317 0.84328024944253 0.645028398161701 0.851889498722233 0.877705137890995 0.197572685721096 0.876392968510144
"cg23896695" 0.0877991680277702 0.820393948314205 0.610886205215842 0.871031399618717 0.867133862018368 0.164626112179887 0.844555706132587
"cg23357533" 0.138036250692411 0.861853077960036 0.863923452199822 0.884473767348772 0.879507772305594 0.405141479913834 0.875832747051173
