"GR" "MO" "B" "CD4" "CD8" "NK"
"cg05398700" 0.0968622366659042 0.843807307039032 0.937575465816643 0.952645995820482 0.958461862923855 0.938813990446338
"cg22381196" 0.0742357586409045 0.662573105382601 0.92627078284004 0.926256886519088 0.936587936452656 0.91736144839664
"cg25739938" 0.10614661642024 0.832713865915414 0.904625620910647 0.903858600039276 0.911376143354218 0.898017753144758
"cg13468144" 0.104852873805881 0.846722828017837 0.907759490345593 0.885971692337045 0.911744785507344 0.87603995434472
"cg00705730" 0.0954776346794684 0.804978784095931 0.890279501545243 0.887124785781763 0.892960244478407 0.877232819377331
"cg23819411" 0.0983964828729227 0.642662488430622 0.929662726119653 0.933551397676744 0.938451364832594 0.918893685454074
"cg25600606" 0.119022606274902 0.807592094520905 0.911646254543153 0.912126007624416 0.914913779927929 0.907495717037551
"cg15878616" 0.110347563250731 0.541766404970304 0.968346017959582 0.965739740469867 0.97730842587201 0.956777797684113
"cg06270401" 0.0955166185751545 0.778447722877607 0.894850971733355 0.902950591198505 0.891060842915467 0.859164808320587
"cg12483340" 0.0832344776523252 0.713596624544407 0.886410347147997 0.887765770693684 0.893699371463511 0.879726569355868
"cg21685770" 0.0779008435941051 0.651734686025898 0.886608092455839 0.897868382658668 0.902243188276946 0.878641861040299
"cg08253808" 0.081359126653745 0.675114030734719 0.872433749863477 0.896691997483573 0.908036330335283 0.878403390926201
"cg05936004" 0.105142990338051 0.750717783081767 0.908263551385847 0.909128589921704 0.90662126923212 0.866680230549557
"cg16802439" 0.132456725316919 0.66661707472329 0.954439799693548 0.948023137110034 0.96215404088131 0.929299813266694
"cg19037107" 0.122819666731322 0.813160867126259 0.899365953537296 0.902240231098648 0.896400428902108 0.882572064036684
"cg03340036" 0.101618662370955 0.716820150528816 0.889603764446333 0.888884894170926 0.901844497012499 0.889950629704465
"cg10611016" 0.095998576805101 0.611906058104026 0.903075063451523 0.910590849560215 0.92267647328769 0.907688876431812
"cg04609694" 0.107669428055482 0.769944392411727 0.881547917872243 0.882992685144141 0.896670959005455 0.876895489640009
"cg00439981" 0.0826780797231625 0.516247153677198 0.916320834014297 0.907252057161856 0.930932154193181 0.904243215130586
"cg01692842" 0.0980642618583317 0.777759311927053 0.863121087558977 0.87797597242636 0.881327282505995 0.829621908948482
"cg08154963" 0.102243916712246 0.742535633051028 0.871634283128994 0.878906083383107 0.88044592903399 0.855323799067598
"cg11313468" 0.0893923031413518 0.703562966636695 0.869862330061627 0.872079071228369 0.871048417231792 0.842640353696891
"cg03146219" 0.199920039382298 0.885555194696431 0.95820119589294 0.957182693955723 0.958256426813833 0.949548750034696
"cg25605731" 0.102553089848749 0.453927470331865 0.924844130871411 0.945359875143246 0.954631962884447 0.942311361660967
"cg23169883" 0.0950254268156043 0.365356337422927 0.960165505179327 0.95437230365093 0.969105702903283 0.934100368429588
"cg25693317" 0.12828454465771 0.774477957814134 0.897379206601521 0.895374142804009 0.898432789106208 0.873068184786729
"cg01699630" 0.128690515943599 0.824473539878262 0.877569838990178 0.884709469487498 0.884933267684408 0.866358430293421
"cg06465076" 0.121087488791922 0.717626032926551 0.891521029429851 0.891528745376529 0.904302725975332 0.890574498868669
"cg01040749" 0.116529789994608 0.710926302715278 0.881904320469824 0.894300225103507 0.892905854085131 0.885990312774208
"cg21792134" 0.1659014757781 0.823366644935342 0.922302147695957 0.915385487954939 0.933481303320643 0.918098635464556
"cg09342997" 0.107795514832658 0.730881777955163 0.858187442164376 0.858783175187613 0.883684909710737 0.880732511943163
"cg10487428" 0.114637747654969 0.724455389061528 0.890212181188188 0.886956458556666 0.888195139008833 0.853911099863837
"cg13633625" 0.0993219348479658 0.602696123450197 0.868437668366827 0.895604423737886 0.906934210377034 0.884205939180292
"cg23338668" 0.127226797822508 0.801994464196153 0.881309361689437 0.870896259551176 0.874647956542281 0.866544816101919
"cg06526020" 0.137894360406557 0.785168568266621 0.887086727338665 0.883291344602906 0.89416841231454 0.886643719186119
"cg12809098" 0.124815046302313 0.649209932587257 0.903068938051064 0.90585275944358 0.911314166592278 0.893871869627152
