"CD4" "CD8" "MO" "B" "NK" "GR"
"cg01874152" 0.0775011722742327 0.447111675471889 0.884014379040601 0.851605309103245 0.821833717306013 0.895631386260714
"cg07679948" 0.136221332199763 0.297467837379736 0.948318961591803 0.954239379412756 0.950418654493587 0.959156895277301
"cg00366435" 0.0786213491698336 0.229707704607603 0.894211517263714 0.911124351887479 0.866178832191276 0.910252730422948
"cg16452866" 0.108312462841281 0.170619673696867 0.93568140050331 0.948488636190105 0.94653965785941 0.954252099242834
"cg01154505" 0.129535529650226 0.388236705692911 0.941933143223903 0.741514529758568 0.955183797887024 0.960474681649646
"cg11848483" 0.0840648571373933 0.136111039296297 0.899531213939653 0.881215966043425 0.908305623596454 0.910980486611195
"cg26166854" 0.132580641096015 0.584937445722088 0.886055017974444 0.87133263940685 0.703175565209818 0.882423716573247
"cg11710595" 0.184569467372002 0.647550960626477 0.86835533496806 0.891785017189544 0.847711213981638 0.896779654467397
"cg05931551" 0.199766847610733 0.742111813014802 0.859838385513692 0.871149191225443 0.872476419477492 0.872591057051985
"cg26852712" 0.121343784569575 0.36570762404249 0.859448439064667 0.869067748840361 0.84009487347893 0.907139342175315
"cg14477767" 0.180881330936972 0.718183592131155 0.872154877466582 0.848605395157389 0.808543155306566 0.868488109983502
"cg07015803" 0.143958065299027 0.204572206617925 0.924439772335592 0.932993723737515 0.94050500744335 0.945307287084612
"cg04712122" 0.0863897585036713 0.14579469465343 0.851444287135508 0.878647562822144 0.881989411578517 0.891181116437525
"cg19001909" 0.176996885057976 0.280100752753905 0.956838751478065 0.96283083208619 0.925284575210928 0.960034146498653
"cg25486399" 0.122139170759891 0.381060228026109 0.862270420875776 0.866053870684246 0.842379227342612 0.844179429904101
"cg12353788" 0.121358945979178 0.326018063649018 0.841379487342523 0.863319824603303 0.865814560768691 0.879101324317812
"cg10837404" 0.217680290618412 0.628162072959368 0.900196684841735 0.894668452952693 0.912679331063529 0.908892677490728
"cg07133479" 0.166821598717437 0.625146550310796 0.830736465136345 0.867885643900885 0.821082634118387 0.838645580583816
"cg06915826" 0.0923274056292136 0.178393822578209 0.864604469397116 0.855116271986555 0.854593213167677 0.85377037845123
"cg05705140" 0.0871779627287269 0.244956531398367 0.869601934154649 0.747571733784453 0.828997539955567 0.887829443083426
"cg23357533" 0.153471354647673 0.377226172995059 0.867832681255208 0.889073109000353 0.87763900154861 0.875356450731936
"cg01490728" 0.0779456270772701 0.229537459125901 0.794075690090511 0.830534626132281 0.829954420985854 0.823450616657312
"cg10240150" 0.0907873164488983 0.207124050348887 0.837490550405475 0.872834511101364 0.796520077107188 0.854935760689672
"cg24662823" 0.0942408006001666 0.241070813243823 0.881689821802441 0.891342303945012 0.686447384664655 0.895749716747241
"cg07970799" 0.197522590105129 0.561071342699554 0.919176356041127 0.905662108188503 0.777009969904375 0.923098232803192
"cg00620024" 0.206012349816281 0.550422826767 0.892021194893921 0.892762845375135 0.878005533248849 0.90385330461104
"cg17939040" 0.229139583959242 0.643287279596905 0.918872055212181 0.824935267917242 0.910572569004569 0.928770012926389
"cg09526469" 0.101813040418708 0.362964884985967 0.848873081559985 0.720439416898877 0.801514395001838 0.860051904137086
"cg08338281" 0.0952421427960579 0.1010819545782 0.868956101278582 0.859797112922484 0.831240135078724 0.904518807552535
"cg13750061" 0.0818533475601554 0.0730661320652134 0.853296169119381 0.867167737899474 0.846380736520559 0.85284830667786
"cg24008435" 0.159659251355363 0.413155054004715 0.861872384079032 0.861083608397941 0.854987004016696 0.87130216594503
"cg07110949" 0.169489550076234 0.184200850954252 0.947986084622436 0.945040549415857 0.90586699212649 0.949007741468496
"cg22230912" 0.0944490237379567 0.128506690941344 0.837647431508983 0.892502408255168 0.849653403594766 0.828796788093899
"cg01040649" 0.125995345112955 0.237877904434021 0.863759147274998 0.843857323932429 0.851204880477672 0.877548461766922
"cg18735089" 0.118458062535961 0.114660269040636 0.882257380768815 0.897044933320064 0.840904103990336 0.90631710941051
"cg25599673" 0.107315105412446 0.198890507947603 0.831906971705777 0.84047692262929 0.846579523550199 0.854250060634135
"cg09016797" 0.188257886740773 0.477253148783988 0.862063334267094 0.885296942831275 0.875546026782189 0.862094925663008
"cg23896695" 0.0761399306247197 0.0885450596802639 0.852681635787312 0.842297260701747 0.81097456379967 0.829579668504703
"cg21747310" 0.129107681852756 0.41169657673664 0.801793754990295 0.830464953511547 0.778973413959834 0.82622827760751
"cg26400113" 0.0810385174193081 0.0754535623510022 0.85693418947635 0.84496409956287 0.803947555914558 0.851874524046421
"cg10414350" 0.157766364003888 0.472614538922492 0.842731927596144 0.863619103627054 0.743626128071833 0.868408968253331
"cg17991206" 0.129865711844769 0.321207229179749 0.867382799434232 0.832687907627316 0.777498271229168 0.864601071920458
"cg05070273" 0.209677164997812 0.501899871849757 0.880895651715395 0.882026885374126 0.884646197931315 0.889137217505084
"cg10708271" 0.108362072219685 0.166069609693463 0.855638484196848 0.831911158938592 0.834429352923293 0.863205918216923
"cg08884752" 0.167835011126022 0.410151461815097 0.776622928945712 0.877278325181897 0.887563940969474 0.858130614700046
"cg16775598" 0.130186477678995 0.20126112052375 0.861122448575775 0.867634599374953 0.861166639637107 0.863591405899998
"cg13484324" 0.141519430205655 0.235886672229269 0.878892940783633 0.872395604199601 0.893329114901276 0.831517135139208
"cg24841244" 0.0815315262927568 0.0636741273201179 0.855878310189348 0.878610179492078 0.748266399250033 0.874598030129424
"cg08280368" 0.090615819947456 0.12146137449968 0.882497262204812 0.75640775386177 0.83435636199735 0.87489137188861
"cg10558740" 0.126341286562168 0.156835304596625 0.86622248212321 0.890170442451474 0.848849995943463 0.869811350662842
"cg23019886" 0.611288127857476 0.479049503699917 0.0634442793488668 0.0812803526345793 0.239498229782006 0.0721487984492486
"cg14871225" 0.640156128699842 0.574554050635394 0.103696215856736 0.20924351511571 0.105726601627402 0.0885035397406907
"cg23904595" 0.64558076368974 0.578412209587417 0.0921839514290518 0.192039914373632 0.155813244752617 0.0772976741030159
"cg16144883" 0.875703090020468 0.774424526986188 0.283532766476677 0.368512681495996 0.506092107075204 0.297381682644165
"cg17588003" 0.736124621359001 0.667110464006548 0.0816324242622847 0.220956655106518 0.208542951638145 0.325987957881808
"cg18048071" 0.774495872872428 0.738891999535722 0.259025320931332 0.344095446191674 0.148540144250314 0.24030565579891
"cg25306006" 0.647350445143382 0.516128889319971 0.115833011160787 0.10104608984221 0.21341228290033 0.124938171284833
"cg12789448" 0.822825838792036 0.818293939774841 0.243417551641583 0.292257469174834 0.375090563309847 0.187894087715493
"cg02123534" 0.811342318457583 0.369743834125559 0.143021659845799 0.742456311571695 0.180659775314899 0.391109034101096
"cg25394505" 0.715072286105147 0.699874988823195 0.142240902201209 0.224260291699151 0.114633578736343 0.182484307949244
"cg09763644" 0.584125792759607 0.3785715644997 0.0692881543469225 0.0608709674774275 0.100077477856933 0.0928490451319522
"cg21400549" 0.663720964019156 0.311097000881878 0.0733742367522469 0.520084126612867 0.0493901588101633 0.112954523536845
