"CD4" "CD8" "MO" "B" "NK" "GR"
"cg07679948" 0.0921962497427962 0.342211249723297 0.964262477690005 0.969573399702629 0.950418654493587 0.971215934558487
"cg00366435" 0.0886924823447287 0.467816949365966 0.913020439908208 0.920880629017086 0.872867060148164 0.926808955554568
"cg07970799" 0.13233911153888 0.502307605457215 0.945043362309676 0.940580650629643 0.785136568460814 0.952059167178505
"cg03388043" 0.0436177640478721 0.0462869495098566 0.934605961566149 0.948189278793959 0.715417068740958 0.956889681130334
"cg16452866" 0.0967817861909467 0.199133571075147 0.933409234319312 0.954150231676142 0.94653965785941 0.957848561584233
"cg11848483" 0.0997674159026203 0.297250057617602 0.926805377287207 0.907181549757708 0.912944722325607 0.93035631589981
"cg11236515" 0.169268295610823 0.405580841766227 0.973578771655891 0.946300570733122 0.910074361986892 0.980277465922774
"cg26166854" 0.119658681553841 0.482650289041996 0.863873791335022 0.87451692919444 0.725482328449783 0.892025508274757
"cg04340595" 0.0630362220167783 0.128200213909552 0.936746701019798 0.920945616874628 0.479030908573163 0.94341075003085
"cg14477767" 0.183981347168468 0.733899145973176 0.856845710721922 0.856536429040915 0.829197862041433 0.882967506710665
"cg24841244" 0.0550862432911523 0.0582040284547448 0.904218119240808 0.915915177502691 0.755364232725948 0.914289031629211
"cg19001909" 0.146058453083458 0.247988736327015 0.957835445671995 0.961543875192419 0.925284575210928 0.959976825315048
"cg10240150" 0.0922934737117774 0.296182594179046 0.873884070004439 0.88937898361464 0.803081444720707 0.871290184724099
"cg07786657" 0.0490053161642611 0.0495557807187611 0.951301296436244 0.956198833745211 0.112553580346901 0.955455965489253
"cg09032544" 0.0573727278244112 0.0567502633926813 0.947598986952637 0.955942355608604 0.184110065942808 0.959226407834914
"cg08884752" 0.132029508634359 0.506167440351308 0.806504036392214 0.864878458816629 0.89152811940569 0.851053768588607
"cg11465943" 0.216225724541707 0.636199223979607 0.920183297792607 0.905027995985607 0.902823895896095 0.926220520495906
"cg05074138" 0.13115584031074 0.390244374352707 0.88187777525422 0.874309429963346 0.839915171618909 0.875677452622335
"cg01154505" 0.222519554956699 0.624684443485583 0.965253220083099 0.813465001775921 0.955183797887024 0.973888201304157
"cg25226014" 0.0863866002274419 0.155758733909636 0.920514449783209 0.899402477486597 0.545037615197671 0.922367306957374
"cg05705140" 0.0983950846477517 0.253016655321201 0.89748853869437 0.803286335664359 0.83744464435506 0.90611856187659
"cg16173109" 0.166124139037105 0.492920271288124 0.884636376423636 0.883138302365459 0.838729829856348 0.88558490641559
"cg00440980" 0.120247946020141 0.399158149743212 0.810749074993538 0.878847811756059 0.707744646154654 0.89367288597663
"cg14522718" 0.120546212989402 0.201336411395944 0.937833613856278 0.930927398924861 0.683008905570775 0.925766062407714
"cg13619891" 0.114145400036154 0.122659602444032 0.929342392317528 0.930248429609584 0.840963512204599 0.934649573015569
"cg27583604" 0.167384665414109 0.588953848170387 0.889591104429806 0.804053455548659 0.893694740311696 0.845495854141662
"cg24662823" 0.147205384177246 0.393013747073127 0.89526933010568 0.899667623643504 0.700493756850574 0.904865742872888
"cg10837404" 0.244164541359381 0.709092948378709 0.904034334247406 0.909057395620846 0.91769182766322 0.919301162766041
