"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg03388043" 0.0960403557895079 0.788383803912267 0.890966929553677 0.938130342685207 0.965103044855537 0.13605109438225 0.97853445926263
"cg16452866" 0.143655921244053 0.948440869714861 0.905696463323278 0.952004331256921 0.959179285875236 0.281582598556577 0.975857712456066
"cg00366435" 0.104243085866431 0.873055954948597 0.745172739153924 0.906428100643484 0.927178580958049 0.310878408721083 0.927395895048536
"cg26852712" 0.143821768596761 0.902745413066233 0.932755209393983 0.91015993144634 0.934367571701317 0.492749615075176 0.950598604335824
"cg07679948" 0.185519955407219 0.954478043927949 0.954894993454788 0.957922238013297 0.972352661409713 0.434103802623313 0.973389319100449
"cg11848483" 0.110634206205835 0.890655277566105 0.753127380711959 0.883495416547198 0.910962581157216 0.239315286738002 0.919297480004477
"cg04347414" 0.110562317083279 0.858835165875924 0.688593538718832 0.902979796357907 0.931139722168256 0.155540429377803 0.945594678036311
"cg07015803" 0.161419403452961 0.936550397494162 0.835216364013149 0.941868409511805 0.950137735738731 0.29319737348746 0.957617508396077
"cg08338281" 0.0998063168053057 0.829771414536001 0.885977103350825 0.866037361229468 0.904676858696636 0.202649601822352 0.911217300203906
"cg01874152" 0.111092727007765 0.858581327283954 0.608775374875508 0.862245507710333 0.917016910417738 0.606439555726852 0.896167946382698
"cg06915826" 0.0936839739796834 0.833318785379738 0.760550726124482 0.860429834905109 0.871808771116819 0.260422708617404 0.87144596579089
"cg13750061" 0.108174158170144 0.851649615288139 0.659555331643387 0.860613764252673 0.884510936977748 0.210807831040785 0.882389231456283
"cg23896695" 0.0961047283428851 0.830379930204027 0.626284003782523 0.878933942516734 0.874966124224339 0.176106063470881 0.852037095329305
"cg18735089" 0.137116514646646 0.843964755031867 0.728015056336054 0.902917074043569 0.911152389742168 0.239154865406572 0.922222385910113
"cg14522718" 0.146127463567111 0.762381070061468 0.93845430547419 0.913956592952782 0.945087489981976 0.183363879201942 0.943229833722039
"cg23357533" 0.149123726630884 0.869380701358371 0.87119550792106 0.891505093103007 0.886129474148155 0.42720497758845 0.881665341934164
"cg09695307" 0.103312178357718 0.809803735728416 0.592044106629407 0.823127554420454 0.899327966191766 0.259320973474241 0.885063602961547
"cg05705140" 0.106366126852375 0.806982132272244 0.676390455084219 0.778387467464899 0.903584716290113 0.320656607455199 0.891941525583764
"cg07781401" 0.161806844561385 0.870507434181175 0.815638319904571 0.898031586658528 0.903992482246682 0.273642465501396 0.903156020814637
"cg24662823" 0.116049865344979 0.717719876046513 0.713653677734893 0.876543462749449 0.910006235197361 0.319231657239666 0.904859326976088
"cg22230912" 0.123175334642018 0.866051983940854 0.509742737555992 0.904296454315538 0.879765060132624 0.239266829531477 0.843564586795164
"cg01490728" 0.10838880393484 0.843888904043164 0.52220586155138 0.839810817848724 0.861347375193559 0.340054421890056 0.855273491271596
"cg10111816" 0.107116380114315 0.798615291039561 0.758199829623879 0.856877520211102 0.851793881264481 0.255365664992751 0.827721148810438
"cg16230121" 0.106585152039993 0.780262534973492 0.685421314946994 0.855653319340765 0.859906264863875 0.201691716280257 0.874279841735381
"cg07110949" 0.231708282174578 0.92616440039693 0.961808563684858 0.945938024552632 0.964064398637775 0.381630123887351 0.969040198398764
"cg18650518" 0.110364054050401 0.677317458392401 0.802095767560057 0.866610551145277 0.900718147966224 0.182385797225652 0.911870278015464
"cg10558740" 0.145391002122164 0.841421159614702 0.717638532008317 0.888618371899145 0.884649689456786 0.267839767341951 0.889884704717727
"cg16775598" 0.142881062968508 0.848681668288533 0.663269671275008 0.878890201093107 0.877074050940547 0.326165391479139 0.888104584516117
"cg02387618" 0.139218552604905 0.783653342156429 0.700201571103896 0.886274756758958 0.902868612884813 0.228259750528297 0.916071051235129
"cg10240150" 0.121047963411137 0.802387785717421 0.61642326321148 0.87117563655747 0.872605921603368 0.294962578541069 0.868125542328654
"cg07970799" 0.166918336615315 0.728616217053146 0.83306686980417 0.912438434650504 0.940915530094383 0.487817306991498 0.953366555665651
