"GR" "MO" "B" "CD4" "CD8" "NK"
"cg05398700" 0.093591081303699 0.860199855631056 0.942920960322366 0.953239761087228 0.958735470006395 0.926712792774558
"cg22381196" 0.0650261876308414 0.687541422530893 0.937484801665329 0.932789957224215 0.94482712281923 0.90168614297912
"cg25739938" 0.0901153337542186 0.858288135550543 0.906237250678572 0.908685569111195 0.913377812871745 0.875240406667732
"cg00705730" 0.0833552207841411 0.830348626735259 0.899867025858199 0.892207852977647 0.888675366894986 0.871384962959643
"cg06270401" 0.0803876601814658 0.816586041459197 0.911291050850296 0.909132287222929 0.891408072475661 0.837369289799496
"cg00660167" 0.133848513578745 0.795251159695299 0.957552976007242 0.956608411194217 0.96023945751069 0.935214781980716
"cg16802439" 0.122771889105122 0.743154120939105 0.97392360757643 0.968197766746764 0.979449187023411 0.899879102963328
"cg19037107" 0.105611978746257 0.841039157798518 0.906703815986752 0.910870192613371 0.897294777458744 0.865625099524612
"cg05936004" 0.0926667657292072 0.780786169048854 0.911072665358192 0.91668921810066 0.912931038823566 0.854031604079301
"cg12483340" 0.0804852492611298 0.74559690717855 0.901523048075414 0.900862222040532 0.900028943426481 0.86432559411352
"cg08253808" 0.0753305553521003 0.697504168875843 0.890439615518181 0.90332906824944 0.913989305379049 0.869123775974407
"cg01692842" 0.0787545684490406 0.808069461910231 0.870845105508186 0.878811066033267 0.86573984183248 0.812402542713821
"cg08154963" 0.0905276521366948 0.773571402489768 0.881319743079171 0.889481646286431 0.881623116219404 0.829389823446336
"cg00439981" 0.0699651402645025 0.572026033750531 0.925983383964986 0.915630087251427 0.932407131232649 0.886462972344493
"cg23819411" 0.115480472261477 0.713870184735592 0.94005816374034 0.935731627076019 0.939243830389371 0.885414611594228
"cg03637218" 0.119597712361828 0.85586719082798 0.896044664876065 0.880704706092625 0.880308360493752 0.85970224803385
"cg11014468" 0.143601502831647 0.872670937110178 0.914332017538326 0.910266319003047 0.913679309818832 0.883839588808164
"cg13468144" 0.137476887254167 0.881360761690917 0.914492316207481 0.886441587355799 0.91037987998128 0.864943201868547
"cg03340036" 0.0946643494196829 0.735785207814073 0.880743966926138 0.885983175981281 0.898312552990683 0.876396813429163
"cg21685770" 0.0795812687474358 0.66731400826932 0.882281927031134 0.903384513007188 0.906399062299194 0.858406722819196
"cg17852482" 0.108825576277857 0.810574838225977 0.885600998612551 0.893896301854736 0.883893638062146 0.829209385311064
"cg07409471" 0.127707405657093 0.796010855484945 0.913274430587179 0.909288841050865 0.918024352115232 0.874168615901547
"cg10611016" 0.0967850704791432 0.654997409785192 0.917750913110914 0.917158806814259 0.922810770490679 0.889579621804116
"cg15878616" 0.108757389755739 0.547863778620942 0.975184048752057 0.969214188633849 0.983601282008217 0.933189864486909
"cg21792134" 0.161735549488995 0.861185435678323 0.929009658831799 0.928117010631674 0.934806517414399 0.900298962005663
"cg04609694" 0.122877036072316 0.806227644519462 0.897842857708687 0.896643533489236 0.903306252119922 0.861647557445253
"cg11313468" 0.0872291220452066 0.75058810555619 0.873994912219353 0.87639276115886 0.865865466412192 0.817076301332964
"cg06526020" 0.126379695435284 0.822035545413 0.899718850700336 0.879504986383322 0.898980416833303 0.865429679810104
"cg04858164" 0.13688927050644 0.829960829769105 0.900055382854832 0.883866502147471 0.904765003164792 0.87853635909449
"cg15658793" 0.108893480932513 0.691960132493486 0.919884928787825 0.935686323570447 0.911649134252445 0.836505611372675
"cg25600606" 0.162128667514495 0.848116707930894 0.922222423087379 0.917795170213343 0.9229163034034 0.887216501455955
"cg13595556" 0.0843715543648032 0.629884123445253 0.921623881506146 0.907439425489975 0.905582707722502 0.801840174662907
"cg25605731" 0.080732750432167 0.459550123563931 0.915748336773934 0.954129995604405 0.954322169246584 0.917210864232498
"cg01699630" 0.144333689505995 0.855961556263493 0.882484022793619 0.888420238593889 0.884611510261593 0.853598994662116
"cg11070172" 0.207492360995045 0.896577030557972 0.964620068520317 0.964715967172502 0.943517141671774 0.91169844809587
"cg09342997" 0.11179373932549 0.757174500601357 0.868128529477391 0.865834855492801 0.881754157840804 0.851747670717125
"cg13396713" 0.0775425694550471 0.549081193753103 0.909155892010576 0.890011001343818 0.916684006716287 0.863556189862364
"cg01040749" 0.122078545253981 0.733153756841361 0.895537245324868 0.894095877852443 0.895743518625844 0.87055732003818
"cg07790752" 0.0757141774982302 0.727294917123569 0.852570748656241 0.870238403200545 0.821662159732384 0.757805694866279
"cg05627557" 0.077687563521009 0.666179328015101 0.85557322540212 0.864645227432006 0.857397219007313 0.819675293765855
"cg13652008" 0.150663683955281 0.809992014964812 0.90264189227512 0.905551029951739 0.906656680789642 0.860262860431701
"cg23169883" 0.0817682650680492 0.358385331637504 0.970176450297557 0.959642081749028 0.97278992698278 0.933908792685475
"cg25968394" 0.122899900421575 0.700433801651211 0.887663483403356 0.895087916954178 0.900760159048794 0.877300578653608
"cg17442155" 0.0998241735131386 0.68976238643857 0.873095439495918 0.873943186868968 0.872391546549235 0.825455114438609
"cg19460836" 0.0855024347419985 0.605551463405096 0.880043570487702 0.875868271280742 0.880250392890868 0.845143635941703
"cg10487428" 0.121559707643073 0.733622819583388 0.893980536254411 0.885362088710854 0.884668381034132 0.824324855845561
"cg09535475" 0.0879702810168106 0.653739891335902 0.868966619847384 0.851364812896759 0.869189444599722 0.829641421180663
"cg13785123" 0.202171267432275 0.802732363952915 0.962103165094439 0.956252396222978 0.965871996534381 0.936845897516809
"cg11596902" 0.0761838090701059 0.644505068942726 0.912417297239617 0.82461325923157 0.824292693653294 0.779297425406554
"cg01761758" 0.13637999541289 0.783180742227573 0.883690116564115 0.872979323784572 0.874434418056055 0.839054272481262
"cg24310395" 0.79173588379132 0.651419479718637 0.48471176633739 0.112239701097363 0.0647915409814714 0.127573162334084
"cg15535471" 0.814815612411287 0.47436615984697 0.435106763999465 0.285657737247578 0.297888704843616 0.153605265355916
"cg02668248" 0.775521208607366 0.756400814713507 0.10155679015106 0.127865902050984 0.0839607669357921 0.253336532073259
