"CD4" "NK" "nRBC" "B" "MO" "CD8" "GR"
"cg16452866" 0.11213777033931 0.951059333127083 0.909317659978681 0.953465700880341 0.954532856413088 0.162877418526634 0.967891516384662
"cg03388043" 0.0748543242104387 0.759646582085591 0.879751131884682 0.945917704767119 0.952541200482672 0.0706597940816387 0.967960035591294
"cg07679948" 0.150055063953253 0.955520104171699 0.945981099014866 0.957428043876583 0.963140177692655 0.301840395941263 0.966272886917917
"cg00366435" 0.0772241865764632 0.869706586849501 0.764724533399896 0.905238464693294 0.910547141283804 0.239574651263261 0.915929817406651
"cg11848483" 0.0796507134323497 0.890833940926617 0.741233860182483 0.88778529632372 0.904042986269806 0.128365125670155 0.910673958027312
"cg07015803" 0.141784940350395 0.941260622535171 0.859009372087388 0.946259318131185 0.939154574158432 0.199578011504143 0.950995474963605
"cg26852712" 0.147967241303458 0.898659863171016 0.903182496611883 0.911350948305534 0.918994105209853 0.488944365752436 0.937040315130087
"cg14522718" 0.100637191349639 0.752028121023756 0.920632599664157 0.928374938365387 0.936919106860812 0.0722372052428595 0.940828334136409
"cg01874152" 0.0884953238749852 0.84237007405993 0.618194801339929 0.860858318982105 0.888402695224702 0.53153455496455 0.885452216736749
"cg19001909" 0.169756574391616 0.936406028545104 0.878215776012654 0.964611597844241 0.964152879795718 0.23872116977144 0.97209951412952
"cg07110949" 0.167319152542935 0.92416322938869 0.954130220479431 0.950304956585918 0.955917761370399 0.171248535434978 0.96399704690622
"cg08338281" 0.0976296344130889 0.833633632384435 0.861972855400686 0.864822037853613 0.886786705438582 0.130073919718471 0.899806413202398
"cg06915826" 0.0802597408883578 0.830823725509036 0.780166730587084 0.857516399820301 0.858988357722167 0.155710684508011 0.86632695346816
"cg18735089" 0.104609921613947 0.839104653919413 0.746771461044076 0.902570773013004 0.90201092445822 0.136897480642714 0.915284362294532
"cg13750061" 0.0816472776177092 0.838559816230208 0.69683479664533 0.862920936827002 0.868814488969954 0.0896330820607686 0.877873252533979
